param_08,command_type,param_02,param_03,drama_id,param_04,param_01,param_05,command_id,param_06,param_07
idle_normal,1,110311,110,5152061,382,1,-280,61001,1.55,1
idle_normal,1,131911,106,5152061,145,1,-210,61002,1.55,0
joy_idle_normal,1,102311,107,5152061,-50,1,-225,61003,1.55,0
wish_idle,1,102111,108,5152061,-245,1,-240,61004,1.55,0
idle_normal,1,107711,109,5152061,-440,1,-255,61005,1.55,0
doya_idle,1,122811,103,5152061,40,1,-105,61006,1.45,0
idle_normal,1,122911,104,5152061,-160,1,-120,61007,1.45,0
idle_normal,1,122711,105,5152061,-355,1,-135,61008,1.45,0
"",13,210,"",5152061,"",110311,"",61009,"",""
"",13,206,"",5152061,"",131911,"",61010,"",""
"",13,209,"",5152061,"",107711,"",61011,"",""
"",13,205,"",5152061,"",122711,"",61012,"",""
"",13,203,"",5152061,"",122811,"",61013,"",""
"",13,204,"",5152061,"",122911,"",61014,"",""
"",13,208,"",5152061,"",102111,"",61015,"",""
"",13,207,"",5152061,"",102311,"",61016,"",""
empty,5,2,210,5152061,-110,2,160,61017,0.75,0
empty,5,3,210,5152061,352,3,-45,61018,1,0
"",31,1,0,5152061,0,1,1,61019,1,""
"",31,2,0,5152061,0,2,1,61020,0,""
"",31,3,0,5152061,0,3,1,61021,1,""
"",31,11,0,5152061,0,11,1,61022,0,""
"",91,0,"",5152061,"",0,"",61023,"",""
"",37,telop_1,"",5152061,"",3,"",61024,"",""
"",102,0,0,5152061,"",0,"",61025,"",""
"",93,0,"",5152061,"",1,"",61026,"",""
"",3,callout_in,0,5152061,callout_loop,110311,1,61027,0.2,0
"",93,0,"",5152061,"",0.1,"",61028,"",""
"",21,vo_rag_6001,0,5152061,0,vo_rag,"",61029,"",""
"",3,1001_in,0,5152061,"",3,"",61030,0,""
"",93,1,"",5152061,"",1.9,"",61031,"",""
"",3,1001_mid,0,5152061,"",3,"",61032,0,""
"",92,"","",5152061,"","","",61033,"",""
"",3,1001_out,0,5152061,"",3,"",61034,0,""
"",93,0,"",5152061,"",0.2,"",61035,"",""
"",3,doya_idle_joy1R,1,5152061,"",110311,"",61036,0.3,""
"",3,gutsB_in_joy,0,5152061,gutsB_talk_joy,102311,1,61037,0.2,0
"",3,wish_talk,1,5152061,"",102111,"",61038,0.2,""
"",3,hello_2,0,5152061,idle_normal_joy,131911,1,61039,0.2,0
"",3,sad_talk_joy,1,5152061,"",107711,"",61040,0.2,""
"",3,handsup_in,0,5152061,handsup_loop,122811,1,61041,0.2,0
"",3,leanforward_joy,1,5152061,"",122911,"",61042,0.2,""
"",3,talk_normal,1,5152061,"",122711,"",61043,0.2,""
"",21,vo_rag_6002,0,5152061,0,vo_rag,"",61044,"",""
"",2,-110,142,5152061,0,3,0,61045,"",""
"",3,1002_in,0,5152061,"",3,"",61046,0,""
"",93,1,"",5152061,"",1.9,"",61047,"",""
"",3,1002_mid,0,5152061,"",3,"",61048,0,""
"",92,"","",5152061,"","","",61049,"",""
"",3,1002_out,0,5152061,"",3,"",61050,0,""
"",3,gutsB_idle,1,5152061,"",102311,"",61051,0.2,""
"",3,wish_idle,1,5152061,"",102111,"",61052,0.2,""
"",3,idle_normal,1,5152061,"",131911,"",61053,0.2,""
"",3,sad_idle_normal,1,5152061,"",107711,"",61054,0.2,""
"",3,cool_idle,1,5152061,"",122811,"",61055,0.2,""
"",3,idle_normal_joy1R,1,5152061,"",122911,"",61056,0.2,""
"",3,wish_idle,1,5152061,"",122711,"",61057,0.2,""
"",3,gutsB_in,0,5152061,gutsB_talk,110311,1,61058,0.2,0
"",21,vo_rag_6003,0,5152061,0,vo_rag,"",61059,"",""
0,11,"おっきいお友達も元気でとてもいいわ！\nさっそく体操はじめましょう！",10,5152061,1,110311,1,61060,0,15
"",91,"",0,5152061,0,0,"",61061,"",""
"",25,bgm_MC175B,"",5152061,"",bgm_MC175B,"",61062,"",""
"",32,1,"",5152061,"",2,"",61063,"",""
"",3,kids_gungun_in,0,5152061,kids_gungun_loop,110311,1,61064,0.2,0
"",21,vo_rag_6004,0,5152061,0,vo_rag,"",61065,"",""
1.7,11,"まずは空に向かって\n腕をグングン伸ばしてー！",10,5152061,1,110311,0,61066,0,0
"",93,0,"",5152061,"",0.1,"",61067,"",""
"",3,kids_gungun_in,0,5152061,kids_gungun_loop,131911,1,61068,0.2,0
"",3,kids_gungun_in,0,5152061,kids_gungun_loop,102311,1,61069,0.2,0
"",3,kids_gungun_in,0,5152061,kids_gungun_loop,102111,1,61070,0.2,0
"",3,kids_gungun_in,0,5152061,kids_gungun_loop,107711,1,61071,0.2,0
"",3,kids_gungun_in,0,5152061,kids_gungun_loop,122811,1,61072,0.2,0
"",3,kids_gungun_in,0,5152061,kids_gungun_loop,122911,1,61073,0.2,0
"",3,kids_gungun_in,0,5152061,kids_gungun_loop,122711,1,61074,0.2,0
"",93,0,"",5152061,"",5.2,"",61075,"",""
"",91,"",0,5152061,0,61066,"",61076,"",""
"",21,vo_rag_6005,0,5152061,0,vo_rag,"",61077,"",""
2.3,11,"グーン、グーン！\nあはは、思い切り体動かすの楽しいね！",10,5152061,1,102311,0,61078,13,60
"",93,0,"",5152061,"",7.8,"",61079,"",""
"",91,"",0,5152061,0,61078,"",61080,"",""
"",3,kids_furifuri,1,5152061,"",110311,"",61081,0.3,""
"",21,vo_rag_6006,0,5152061,0,vo_rag,"",61082,"",""
1.7,11,"今度は腰を左右にフリフリ！\nキュートに、そしてリズミカルにね！",10,5152061,1,110311,0,61083,21,17
"",93,0,"",5152061,"",0.1,"",61084,"",""
"",3,kids_furifuri,1,5152061,"",131911,"",61085,0.3,""
"",3,kids_furifuriB,1,5152061,"",102311,"",61086,0.3,""
"",3,kids_furifuri,1,5152061,"",102111,"",61087,0.3,""
"",3,kids_furifuriB,1,5152061,"",107711,"",61088,0.3,""
"",3,kids_furifuri,1,5152061,"",122811,"",61089,0.3,""
"",3,kids_furifuriB,1,5152061,"",122911,"",61090,0.3,""
"",3,kids_furifuri,1,5152061,"",122711,"",61091,0.3,""
"",93,0,"",5152061,"",7.3,"",61092,"",""
"",91,"",0,5152061,0,61083,"",61093,"",""
"",21,vo_rag_6007,0,5152061,0,vo_rag,"",61094,"",""
0.5,11,"フリフリ～、楽しくなってきましたぁ♪",10,5152061,1,102111,0,61095,0,60
"",93,0,"",5152061,"",5.2,"",61096,"",""
"",91,"",0,5152061,0,61095,"",61097,"",""
"",3,joy_idle,1,5152061,"",131911,"",61098,0.2,""
"",3,joy_idle,1,5152061,"",102311,"",61099,0.2,""
"",3,joy_idle,1,5152061,"",102111,"",61100,0.2,""
"",3,joy_idle,1,5152061,"",107711,"",61101,0.2,""
"",3,joy_idle,1,5152061,"",122811,"",61102,0.2,""
"",3,joy_idle,1,5152061,"",122911,"",61103,0.2,""
"",3,joy_idle,1,5152061,"",122711,"",61104,0.2,""
"",3,kids_jump_in_saren,0,5152061,kids_jump_sideHair_out,110311,0,61105,0.2,0
"",21,vo_rag_6008,0,5152061,0,vo_rag,"",61106,"",""
1,11,"最後はみんなで大きく…ジャーンプ！",10,5152061,1,110311,0,61107,0,0
"",93,0,"",5152061,"",0.1,"",61108,"",""
"",3,kids_jump_in,0,5152061,kids_jump_mid,131911,1,61109,0.2,0
"",3,kids_jump_in,0,5152061,kids_jump_mid,102311,1,61110,0.2,0
"",3,kids_jump_in,0,5152061,kids_jump_mid,102111,1,61111,0.2,0
"",3,kids_jump_in,0,5152061,kids_jump_mid,107711,1,61112,0.2,0
"",3,kids_jump_in,0,5152061,kids_jump_mid,122811,1,61113,0.2,0
"",3,kids_jump_in,0,5152061,kids_jump_mid,122911,1,61114,0.2,0
"",3,kids_jump_in,0,5152061,kids_jump_mid,122711,1,61115,0.2,0
"",93,0,"",5152061,"",4.1,"",61116,"",""
"",91,"",0,5152061,0,61107,"",61117,"",""
"",37,finish,"",5152061,"",2,"",61118,"",""
"",23,se_10058300_kids_finish,0,5152061,"",se_10058300,"",61119,"",""
"",3,kids_jump_out,0,5152061,"",131911,"",61120,0,""
"",3,kids_jump_out,0,5152061,"",102311,"",61121,0,""
"",3,kids_jump_out,0,5152061,"",102111,"",61122,0,""
"",3,kids_jump_sideHair_out,0,5152061,"",107711,"",61123,0,""
"",3,kids_jump_out,0,5152061,"",122811,"",61124,0,""
"",3,kids_jump_out,0,5152061,"",122911,"",61125,0,""
"",3,kids_jump_sideHair_out,0,5152061,"",122711,"",61126,0,""
"",21,vo_rag_6009,0,5152061,0,vo_rag,"",61127,"",""
"",3,1009_in,0,5152061,"",2,"",61128,0,""
"",93,1,"",5152061,"",0.4,"",61129,"",""
"",3,1009_mid,0,5152061,"",2,"",61130,0,""
"",92,"","",5152061,"","","",61131,"",""
"",3,1009_out,0,5152061,"",2,"",61132,0,""
"",93,0,"",5152061,"",0.2,"",61133,"",""
"",3,kids_jump_end,0,5152061,idle_normal,131911,1,61134,0,0.2
"",3,kids_jump_end,0,5152061,joy_idle_normal,102311,1,61135,0,0.2
"",3,kids_jump_end,0,5152061,wish_idle,102111,1,61136,0,0.2
"",3,kids_jump_sideHair_end,0,5152061,idle_normal,107711,1,61137,0,0.2
"",3,kids_jump_end,0,5152061,doya_idle,122811,1,61138,0,0.2
"",3,kids_jump_end,0,5152061,idle_normal,122911,1,61139,0,0.2
"",3,kids_jump_sideHair_end,0,5152061,idle_normal,122711,1,61140,0,0.2
"",27,bgm_MC173B,0.5,5152061,0.5,bgm_MC173B,0,61141,0,1
"",3,kids_jump_sideHair_end,0,5152061,talk_normal,110311,1,61142,0,0.2
"",21,vo_rag_6010,0,5152061,0,vo_rag,"",61143,"",""
0,11,"はい、お疲れさま\nみんな、楽しかったかしら？",10,5152061,1,110311,1,61144,0,0
"",91,"",0,5152061,0,0,"",61145,"",""
"",3,idle_normal,1,5152061,"",110311,"",61146,0.2,""
"",3,gutsB_in,0,5152061,gutsB_talk,131911,1,61147,0.2,0
"",3,surprise3_in_joy2,0,5152061,surprise3_loop_joy2,102311,1,61148,0.2,0
"",3,memory_talk,1,5152061,"",102111,"",61149,0.2,""
"",3,wish_talk_joy_shy,1,5152061,"",107711,"",61150,0.2,""
"",3,eieio_in,0,5152061,eieio_loop,122811,1,61151,0.2,0
