guest_lane,enemy_id_5,drop_reward_id_1,enemy_id_2,drop_gold_2,drop_gold_4,enemy_id_4,drop_gold_1,enemy_id_3,drop_reward_id_2,drop_reward_id_3,drop_reward_id_4,drop_gold_5,enemy_id_1,odds,id,drop_reward_id_5,drop_gold_3,guest_enemy_id,wave_group_id
0,0,0,0,0,0,0,0,0,0,0,0,0,100000001,100,100000001,0,0,0,512000021
0,0,0,100000001,0,0,0,0,100000002,0,0,0,0,100000001,100,100000002,0,0,0,512000022
0,0,11001011,101010101,0,0,0,255,0,11999091,0,0,0,101010101,100,101000001,0,0,0,110010011
0,0,11001012,101010102,0,0,0,255,0,11999092,0,0,0,101010101,100,101000002,0,0,0,110010012
0,0,11001013,101010103,0,0,0,255,101010102,11999093,11999101,0,0,101010104,100,101000003,0,0,0,110010013
0,0,11001021,101010203,0,0,0,261,0,11999091,0,0,0,101010203,100,101000004,0,0,0,110010021
0,0,11001022,101010201,0,0,0,261,101010202,11999092,0,0,0,101010201,100,101000005,0,0,0,110010022
0,0,11001023,101010203,0,0,101010202,261,101010203,11999093,11999102,0,0,101010202,100,101000006,0,0,0,110010023
0,0,11001031,101010302,0,0,0,266,0,11999091,0,0,0,101010302,100,101000007,0,0,0,110010031
0,0,11001032,101010301,0,0,0,266,101010302,11999092,0,0,0,101010301,100,101000008,0,0,0,110010032
0,0,11001033,101010303,0,0,0,266,101010303,11999093,11999103,0,0,101010304,100,101000009,0,0,0,110010033
0,0,11001041,101010402,0,0,0,270,0,11999091,0,0,0,101010404,100,101000010,0,0,0,110010041
0,0,11001042,101010403,0,0,0,270,0,11999092,0,0,0,101010402,100,101000011,0,0,0,110010042
0,0,11001043,101010403,0,0,0,270,101010402,11999093,11999101,0,0,101010404,100,101000012,0,0,0,110010043
0,0,11001051,101010504,0,0,0,270,0,11999091,0,0,0,101010504,100,101000013,0,0,0,110010051
0,0,11001052,101010503,0,0,0,270,101010502,11999092,0,0,0,101010501,100,101000014,0,0,0,110010052
0,0,11001053,101010504,0,0,101010505,270,101010504,11999093,11999102,0,0,101010503,100,101000015,0,0,0,110010053
0,0,11001061,101010602,0,0,0,276,0,11999091,0,0,0,101010604,100,101000016,0,0,0,110010061
0,0,11001062,101010606,0,0,0,276,101010602,11999092,0,0,0,101010604,100,101000017,0,0,0,110010062
0,0,11001063,101010605,0,0,0,276,101010601,11999093,11999103,0,0,101010606,100,101000018,0,0,0,110010063
0,0,11001071,101010702,0,0,0,281,101010703,11999091,0,0,0,101010702,100,101000019,0,0,0,110010071
0,0,11001072,101010705,0,0,0,281,101010701,11999092,0,0,0,101010702,100,101000020,0,0,0,110010072
0,0,11001073,101010705,0,0,101010704,281,101010705,11999093,11999101,0,0,101010706,100,101000021,0,0,0,110010073
0,0,11001081,101010801,0,0,0,281,101010804,11999091,0,0,0,101010801,100,101000022,0,0,0,110010081
0,0,11001082,101010801,0,0,0,281,101010803,11999092,0,0,0,101010802,100,101000023,0,0,0,110010082
