odds_csv_6,odds_csv_2,team_level_from,odds_csv_1,odds_csv_5,odds_csv_3,odds_csv_9,odds_csv_4,team_level_to,odds_csv_8,odds_group_id,odds_csv_10,odds_csv_7
"","",1,31001_01,"","","","",29,"",3100101,"",""
"","",30,31001_03,"","","","",59,"",3100101,"",""
"","",60,31001_05,"","","","",-1,"",3100101,"",""
"",31001_01,1,31001_01,"","","","",29,"",3100102,"",""
"",31001_03,30,31001_03,"","","","",59,"",3100102,"",""
"",31001_05,60,31001_05,"","","","",-1,"",3100102,"",""
"",31001_01,1,31001_01,"",31001_01,"","",29,"",3100103,"",""
"",31001_03,30,31001_03,"",31001_03,"","",59,"",3100103,"",""
"",31001_05,60,31001_05,"",31001_05,"","",-1,"",3100103,"",""
"",31001_01,1,31001_01,"",31001_01,"",31001_01,29,"",3100104,"",""
"",31001_03,30,31001_03,"",31001_03,"",31001_03,59,"",3100104,"",""
"",31001_05,60,31001_05,"",31001_05,"",31001_05,-1,"",3100104,"",""
"",61003_02,1,61003_01,"","","","",29,"",3100201,"",""
"",61003_04,30,61003_03,"","","","",49,"",3100201,"",""
"",61003_06,50,61003_05,"","","","",79,"",3100201,"",""
"",61003_08,80,61003_07,"","","","",99,"",3100201,"",""
"",61003_10,100,61003_09,"","","","",109,"",3100201,"",""
"",61003_12,110,61003_11,"","","","",119,"",3100201,"",""
"",61003_14,120,61003_13,"","","","",129,"",3100201,"",""
"",61003_16,130,61003_15,"","","","",139,"",3100201,"",""
"",61003_18,140,61003_17,"","","","",149,"",3100201,"",""
"",61003_20,150,61003_19,"","","","",159,"",3100201,"",""
"",61003_22,160,61003_21,"","","","",169,"",3100201,"",""
"",61003_24,170,61003_23,"","","","",179,"",3100201,"",""
"",61003_26,180,61003_25,"","","","",189,"",3100201,"",""
"",61003_28,190,61003_27,"","","","",199,"",3100201,"",""
"",61003_30,200,61003_29,"","","","",209,"",3100201,"",""
"",61003_32,210,61003_31,"","","","",219,"",3100201,"",""
"",61003_34,220,61003_33,"","","","",229,"",3100201,"",""
"",61003_36,230,61003_35,"","","","",239,"",3100201,"",""
"",61003_38,240,61003_37,"","","","",249,"",3100201,"",""
"",61003_40,250,61003_39,"","","","",259,"",3100201,"",""
"",61003_42,260,61003_41,"","","","",269,"",3100201,"",""
"",61003_44,270,61003_43,"","","","",279,"",3100201,"",""
"",61003_46,280,61003_45,"","","","",289,"",3100201,"",""
"",61003_48,290,61003_47,"","","","",299,"",3100201,"",""
"",61003_50,300,61003_49,"","","","",309,"",3100201,"",""
"",61003_52,310,61003_51,"","","","",319,"",3100201,"",""
"",61003_54,320,61003_53,"","","","",329,"",3100201,"",""
"",61003_56,330,61003_55,"","","","",-1,"",3100201,"",""
