love_level,equipment_5,equipment_1,equipment_3,is_restriction,growth_type,skill_level,unit_rarity,growth_id,promotion_level,equipment_4,unit_level,equipment_6,equipment_2
0,-1,-1,-1,1,1,180,0,1,19,-1,180,-1,-1
0,-1,-1,-1,1,1,180,0,2,19,-1,180,-1,-1
0,-1,-1,-1,1,1,180,0,3,19,-1,180,-1,-1
0,-1,-1,-1,0,1,180,0,4,19,-1,180,-1,-1
0,-1,-1,-1,1,1,180,0,5,19,-1,180,-1,-1
0,-1,-1,-1,1,1,180,0,6,19,-1,180,-1,-1
0,-1,-1,-1,1,1,180,0,7,19,-1,180,-1,-1
0,-1,-1,-1,1,1,180,0,8,19,-1,180,-1,-1
0,-1,-1,-1,1,1,215,0,9,23,-1,215,-1,-1
0,-1,-1,-1,1,1,215,0,10,23,-1,215,-1,-1
0,-1,-1,-1,0,1,215,0,11,23,-1,215,-1,-1
0,-1,-1,-1,1,1,215,0,12,23,-1,215,-1,-1
0,-1,-1,-1,1,1,215,0,13,23,-1,215,-1,-1
0,-1,-1,-1,1,1,215,0,14,23,-1,215,-1,-1
0,-1,-1,-1,1,1,215,0,15,23,-1,215,-1,-1
0,-1,-1,-1,1,1,215,0,16,23,-1,215,-1,-1
0,-1,-1,-1,1,1,250,0,17,26,-1,250,-1,-1
0,-1,-1,-1,0,1,250,0,18,26,-1,250,-1,-1
0,-1,-1,-1,1,1,250,0,20,26,-1,250,-1,-1
0,-1,-1,-1,1,1,250,0,21,26,-1,250,-1,-1
0,-1,-1,-1,1,1,250,0,22,26,-1,250,-1,-1
0,-1,-1,-1,0,1,260,0,23,28,-1,260,-1,-1
0,-1,-1,-1,1,1,250,0,24,26,-1,250,-1,-1
0,-1,-1,-1,1,1,250,0,25,26,-1,250,-1,-1
0,-1,-1,-1,0,1,280,0,26,29,-1,280,-1,-1
0,-1,-1,-1,1,1,280,0,27,29,-1,280,-1,-1
0,-1,-1,-1,1,1,280,0,28,29,-1,280,-1,-1
