gimmick_10_x,gimmick_4_id,gimmick_8_x,gimmick_7_id,gimmick_9_x,gimmick_9_id,gimmick_1_x,gimmick_4_x,gimmick_7_x,gimmick_1_id,gimmick_10_id,gimmick_6_id,gimmick_2_x,gimmick_3_x,gimmick_3_id,gimmick_5_id,gimmick_2_id,gimmick_6_x,rail_id,gimmick_5_x,gimmick_8_id
0,SpeedTerritoryA,0,NONE,0,NONE,600,2500,0,SummerEnemyA,NONE,NONE,1000,1800,SummerEnemyC,BeachJumpOverTrap,AccelBoardA,0,1000,3100,NONE
0,WaterMelon,0,NONE,0,NONE,500,2000,0,SummerEnemyB,NONE,NONE,800,1300,SpeedTerritoryA,AccelBoardA,AccelBoardA,0,1001,3000,NONE
0,EnemyB_NoColl,0,NONE,0,NONE,400,1600,0,Balloon,NONE,NONE,1000,1300,SpeedTerritoryA_NoColl,BeachTrap_NoCall,SummerEnemyA_NoColl,0,1002,2000,NONE
0,BeachJumpOverTrap,0,NONE,0,NONE,700,3000,0,BeachJumpOverTrap,NONE,NONE,1500,2300,EnemyB,AccelBoardA,AccelBoardA,0,1003,3300,NONE
0,SpeedTerritoryA,0,NONE,0,NONE,800,2700,0,BeachJumpOverTrap,NONE,NONE,1300,1900,BeachJumpOverTrap,NONE,SummerEnemyA,0,1004,0,NONE
0,AccelBoardA,0,NONE,0,NONE,300,2600,0,BeachJumpBoard,NONE,NONE,1500,2000,SpeedTerritoryA,SummerEnemyB,SummerJumpOverEnemyC,0,1005,3300,NONE
0,BeachJumpOverTrap,0,NONE,0,NONE,700,2500,0,SummerEnemyA,NONE,BeachTrap,1300,1800,BeachTrap,AccelBoardA,BeachTrap,3700,1006,3000,NONE
0,SummerEnemyB,0,NONE,0,NONE,500,2400,0,AccelBoardA,NONE,NONE,1300,1800,BeachJumpOverTrap,BeachJumpOverTrap,SummerEnemyB,0,1007,3100,NONE
0,AccelBoardA,0,NONE,0,NONE,500,2700,0,AccelBoardA,NONE,SummerEnemyB,1100,2300,SummerEnemyB,BeachJumpOverTrap,BeachJumpBoard,3700,1008,3400,NONE
0,BeachJumpOverTrap,0,NONE,0,NONE,400,2900,0,Balloon,NONE,SpeedTerritoryA,1000,2000,SummerEnemyA_NoColl,BeachJumpOverTrap,BeachTrap_NoCall,3700,1009,3300,NONE
0,EnemyB,0,NONE,0,NONE,400,3000,0,BeachJumpOverTrap,NONE,NONE,1400,2200,BeachJumpOverTrap,BeachJumpOverTrap,SpeedTerritoryA,0,1010,3500,NONE
0,BeachJumpOverTrap,0,NONE,0,NONE,400,2400,0,SummerEnemyD,NONE,AccelBoardA,900,1500,BeachJumpBoard,SummerEnemyA,SpeedTerritoryA,3300,1011,2800,NONE
0,BeachJumpBoard,0,NONE,0,NONE,300,2850,0,Balloon,NONE,NONE,1200,2200,SpeedTerritoryA_NoColl,EnemyB,SpeedTerritoryA_NoColl,0,1012,3750,NONE
0,SummerEnemyD,0,NONE,0,NONE,900,2600,0,SpeedTerritoryA,NONE,NONE,1400,2100,BeachTrap,BeachTrap,AccelBoardA,0,1013,3300,NONE
0,SummerJumpOverEnemyB,0,SummerJumpOverEnemyB,0,NONE,400,2200,3500,WaterMelon,NONE,AccelBoardA,1400,1800,BeachTrap,BeachJumpOverTrap,SpeedTerritoryA,3000,1014,2600,NONE
0,BeachTrap_NoCall,0,NONE,0,NONE,600,2500,0,Balloon,NONE,NONE,1100,1900,SpeedTerritoryA_NoColl,SummerEnemyB,SummerEnemyA_NoColl,0,1015,3700,NONE
0,BeachTrap,0,NONE,0,NONE,600,3300,0,AccelBoardA,NONE,NONE,1400,2300,AccelBoardA,NONE,EnemyB,0,1016,0,NONE
0,AccelBoardA,0,NONE,0,NONE,400,2500,0,AccelBoardA,NONE,NONE,1200,1600,WaterMelon,BeachTrap,EnemyB,0,1017,3300,NONE
0,EnemyB_NoColl,0,NONE,0,NONE,600,1900,0,BeachTrap,NONE,EnemyB_NoColl,900,1100,Balloon,SummerEnemyA_NoColl,BeachTrap,2900,1018,2400,NONE
0,SummerEnemyA,0,NONE,0,NONE,500,2500,0,BeachTrap,NONE,BeachTrap,1200,2000,BeachTrap,AccelBoardA,BeachTrap,3800,1019,3000,NONE
0,BeachTrap,0,SummerEnemyD,0,NONE,400,2300,3700,AccelBoardA,NONE,SummerEnemyD,900,1900,BeachTrap,BeachTrap,BeachJumpBoard,3100,1020,2700,NONE
