comment_id,description,voice_id,start_time,end_time,pos_y,character_id,face_type,change_face_time,where_type,character_name,pos_x,change_face_type,event_id
24001,"해냈어, 푸우키치!\n이 정도면 오빠랑 언니에게\n본보기가 됐겠지!",401,"2021/09/01 15:00:00","2030/12/17 14:59:59",0.0,102301,2,0.0,24,"아야네",0.0,2,10046
24002,"우리의 승리야!\n푸우키치랑 함께라면\n어떤 볼이든\n홈런을 날릴 거야!",402,"2021/09/01 15:00:00","2030/12/17 14:59:59",0.0,102301,1,2.21,24,"아야네",0.0,2,10046
24003,"해냈다 해냈어!\n오빠, 봤어?\n나, 엄청 노력했어!",403,"2021/09/01 15:00:00","2030/12/17 14:59:59",0.0,102301,2,0.0,24,"아야네",0.0,2,10046
24004,"특훈의 성과가 나온 모양이야!\n더욱 연습을 거듭해\n이 기세로 실력을 키우자!",701,"2021/09/01 15:00:00","2030/12/17 14:59:59",0.0,192201,2,1.99,24,"아사히",0.0,1,10046
24005,"좋았어, 느낌이 좋아!\n캡틴으로서 할 일은\n빈틈없이 해낼 수 있을 거 같아",702,"2021/09/01 15:00:00","2030/12/17 14:59:59",0.0,192201,1,2.21,24,"아사히",0.0,2,10046
24006,"시합을 앞두고\n좋은 감각을 손에 넣은 느낌이야!\n이대로 단숨에 전국 대회다!",703,"2021/09/01 15:00:00","2030/12/17 14:59:59",0.0,192201,2,3.33,24,"아사히",0.0,1,10046
24007,"이 정도는 별거 아니야\n우리는 전국 대회를\n목표로 하고 있으니까",801,"2021/09/01 15:00:00","2030/12/17 14:59:59",0.0,192301,2,0.0,24,"부원3",0.0,2,10046
24008,"나도\n비치 베이스볼 선수야\n어떤 볼이든\n전부 스탠드까지 날려주겠어",802,"2021/09/01 15:00:00","2030/12/17 14:59:59",0.0,192301,1,2.68,24,"부원3",0.0,2,10046
24009,"느낌이 좋아\n이 정도면 시합에서도 활약할 수 있을 거 같아\n마구 날뛰어주겠어!",803,"2021/09/01 15:00:00","2030/12/17 14:59:59",0.0,192301,2,0.0,24,"부원3",0.0,2,10046
24010,"해냈다!",501,"2021/09/01 15:00:00","2030/12/17 14:59:59",0.0,192501,1,0.0,24,"",0.0,1,10046
24011,"이겼어!",502,"2021/09/01 15:00:00","2030/12/17 14:59:59",0.0,192501,1,0.0,24,"",0.0,1,10046
24012,"좋은 컨디션!",503,"2021/09/01 15:00:00","2030/12/17 14:59:59",0.0,192501,1,0.0,24,"",0.0,1,10046
24013,"어머~… 혹시\n이긴 걸까?\n모두의 연습을 지켜봤기\n때문일지도 몰라",111,"2021/09/01 15:00:00","2030/12/17 14:59:59",0.0,113501,6,5.33,24,"미사토",0.0,2,10046
24014,"모두에게 힘이 되고 싶어서\n선생님도 노력해봤어요~!\n잘 던진 거 같아\n다행이야~!",112,"2021/09/01 15:00:00","2030/12/17 14:59:59",0.0,113501,1,6.85,24,"미사토",0.0,2,10046
24015,"연습 수고했어~!\n선생님도 도울 수 있어서\n굉장히 기뻐~♪\n다음에도 힘내자~!",113,"2021/09/01 15:00:00","2030/12/17 14:59:59",0.0,113501,1,3.0,24,"미사토",0.0,2,10046
24016,"아직 연습이 부족한 거 같은데\n조금도 진심으로\n던지지 않았다고\n한 번 더 하자!",611,"2021/09/01 15:00:00","2030/12/17 14:59:59",0.0,192401,1,6.11,24,"다이치",0.0,2,10046
24017,"흥, 당연한 결과야\n내 공은 아무도 못 친다고!\n또 하고 싶다면\n끝까지 어울려주지!",612,"2021/09/01 15:00:00","2030/12/17 14:59:59",0.0,192401,1,6.75,24,"다이치",0.0,2,10046
24018,"좋았어!\n이 기세로 전국 대회에 가주겠어!\n전부 삼진으로 처리해 주지!",613,"2021/09/01 15:00:00","2030/12/17 14:59:59",0.0,192401,2,0.0,24,"다이치",0.0,2,10046
24019,"반~짝☆\n하츠네의 대승리야~!\n모두의 실력이 더 늘 수 있도록\n나도 더욱더 힘낼 테니까!",211,"2021/09/01 15:00:00","2030/12/17 14:59:59",0.0,113401,2,4.52,24,"하츠네",0.0,1,10046
24020,"해냈어! 나의 승리야!\n치어리더도 투수도\n하츠네한테 맡겨줘!",212,"2021/09/01 15:00:00","2030/12/17 14:59:59",0.0,113401,2,3.89,24,"하츠네",0.0,1,10046
24021,"좋아~ 이 기세로 더욱\n힘내자…라고 생각했는데\n초능력을 써서…\n잠이 오기 시작했어… 새근…",213,"2021/09/01 15:00:00","2030/12/17 14:59:59",0.0,113401,1,13.49,24,"하츠네",0.0,2,10046
24022,"멋진 승부였어!\n흥분해서\n나도 모르게 진심으로 던졌어",311,"2021/09/01 15:00:00","2030/12/17 14:59:59",0.0,106501,1,3.17,24,"카야",0.0,2,10046
24023,"어때?\n이 몸의 볼은 뜨거웠지!\n뭐, 그래도 너희의 근성도\n꽤 대단했어",312,"2021/09/01 15:00:00","2030/12/17 14:59:59",0.0,106501,1,4.42,24,"카야",0.0,2,10046
24024,"뭐야, 겨우 그 정도냐?\n나는 아직 덜 던졌다고\n좀 더 승부를 겨루자!",313,"2021/09/01 15:00:00","2030/12/17 14:59:59",0.0,106501,6,2.89,24,"카야",0.0,1,10046
24025,"조금만 더 하면 됐는데~!\n다음에야말로 푸우키치랑 함께\n이겨 보일 테니까!",421,"2021/09/01 15:00:00","2030/12/17 14:59:59",0.0,102301,4,3.71,24,"아야네",0.0,3,10046
24026,"멋진 승부였어!\n하지만 역시 분해…\n더욱 연습해서\n다음에는 반드시 내가 이길 테니까!",721,"2021/09/01 15:00:00","2030/12/17 14:59:59",0.0,192201,2,5.1,24,"아사히",0.0,1,10046
24027,"쳇… 조금 부족했나\n다음번에야말로 반드시 이길 테니까\n각오하라고",821,"2021/09/01 15:00:00","2030/12/17 14:59:59",0.0,192301,1,4.34,24,"부원3",0.0,3,10046
24028,"멋진 승부였어\n다음에 또 하자",521,"2021/09/01 15:00:00","2030/12/17 14:59:59",0.0,192501,1,0.0,24,"",0.0,1,10046
24029,"참 잘했어요~♪\n열심히 해줘서 선생님은 기뻐\n앞으로도 시합을 목표로\n연습하자~",101,"2021/09/01 15:00:00","2030/12/17 14:59:59",0.0,113501,1,5.62,24,"미사토",-360.0,2,10046
24030,"노력한 성과네~!\n이대로 연습을 계속하면\n더 대단한 성과를 남길 수 있을 거 같아\n기대할게~!",102,"2021/09/01 15:00:00","2030/12/17 14:59:59",0.0,113501,1,9.58,24,"미사토",-360.0,2,10046
24031,"장하다, 장해~♪\n노력가인 너를\n잔뜩 칭찬해 줄 테니까",103,"2021/09/01 15:00:00","2030/12/17 14:59:59",0.0,113501,2,0.0,24,"미사토",-360.0,2,10046
24032,"꿈을 향해 한 걸음 나아갔구나\n이 기세로 꿈을 이루자\n노려라, 전국 대회~!",104,"2021/09/01 15:00:00","2030/12/17 14:59:59",0.0,113501,2,9.13,24,"미사토",-360.0,1,10046
24033,"아주 좋아~♪\n분명 시합에서도 대활약할 게\n틀림없어\n기대하고 있을게~!",105,"2021/09/01 15:00:00","2030/12/17 14:59:59",0.0,113501,1,8.27,24,"미사토",-360.0,2,10046
