title,reward_id_1,reward_type_3,reward_value_1,reward_id_2,lock_all_text,event_id,reward_id_3,reward_value_2,contents_type,story_index,reward_type_2,story_type,reward_value_3,can_bookmark,sub_title,reward_type_1,direction_type,story_id
"다이브 아스트룸\n일곱 개의 소원과 창세의 잔향 오프닝",91002,0,20,0,0,10201,0,0,0,1,0,1,0,1,"과거, 그 시작",8,0,5201000
"다이브 아스트룸\n일곱 개의 소원과 창세의 잔향 제1화(미궁여왕)",91002,0,20,0,0,10201,0,0,0,2,0,1,0,1,"잔향: 미궁여왕",8,1,5201001
"다이브 아스트룸\n일곱 개의 소원과 창세의 잔향 제1화(서약여군)",91002,0,20,0,0,10201,0,0,0,3,0,1,0,1,"잔향: 서약여군",8,1,5201002
"다이브 아스트룸\n일곱 개의 소원과 창세의 잔향 제1화(도약왕)",91002,0,20,0,0,10201,0,0,0,4,0,1,0,1,"잔향: 도약왕",8,1,5201003
"다이브 아스트룸\n일곱 개의 소원과 창세의 잔향 제2화",91002,0,20,0,0,10201,0,0,0,5,0,1,0,1,"α Re:load",8,0,5201004
"다이브 아스트룸\n일곱 개의 소원과 창세의 잔향 제3화",91002,0,20,0,0,10201,0,0,0,6,0,1,0,1,"프로토타입",8,0,5201005
"다이브 아스트룸\n일곱 개의 소원과 창세의 잔향 제4화(패동황제)",91002,0,20,0,0,10201,0,0,0,7,0,1,0,1,"잔향: 패동황제",8,0,5201006
"다이브 아스트룸\n일곱 개의 소원과 창세의 잔향 제4화(변모대비)",91002,0,20,0,0,10201,0,0,0,8,0,1,0,1,"잔향: 변모대비",8,0,5201007
"다이브 아스트룸\n일곱 개의 소원과 창세의 잔향 제4화(향도노군)",91002,0,20,0,0,10201,0,0,0,9,0,1,0,1,"잔향: 향도노군",8,0,5201008
"다이브 아스트룸\n일곱 개의 소원과 창세의 잔향 제5화",91002,0,20,0,0,10201,0,0,0,10,0,1,0,1,"Crowns fusion",8,0,5201009
"다이브 아스트룸\n일곱 개의 소원과 창세의 잔향 엔딩",91002,0,20,0,0,10201,0,0,0,11,0,1,0,1,"생겨난 소원, 나눈 약속",8,0,5201010
"다이브 아스트룸\n일곱 개의 소원과 창세의 잔향 에필로그",91002,0,20,0,0,10201,0,0,0,12,0,1,0,1,"잔향이 사라질 때",8,1,5201011
"다이브 아스트룸\n일곱 개의 소원과 창세의 잔향 ",91002,0,50,0,0,10201,0,0,0,0,0,2,0,0,"이벤트 PV",8,0,5201051
"다이브 아스트룸\n일곱 개의 소원과 창세의 잔향 ",0,0,0,0,0,10201,0,0,0,0,0,3,0,0,"예고",0,0,5201052
"다이브 아스트룸\n일곱 개의 소원과 창세의 잔향 ",0,0,0,0,0,10201,0,0,0,0,0,4,0,0,"인트로 무비",0,0,5201053
"아키라의 단말기 제1화",91002,0,20,0,0,10201,0,0,4,0,0,5,0,0,"칠관 전용 그룹 채팅",8,0,5201061
"아키라의 단말기 제2화",91002,0,20,0,0,10201,0,0,4,0,0,5,0,0,"어느 날의 그룹 채팅",8,0,5201062
"카멜레온 인형 제1화",91002,0,20,0,0,10201,0,0,4,0,0,5,0,0,"칠관 회의・카멜레온 편",8,0,5201063
"온라인 회의_로그 제1화",91002,0,20,0,0,10201,0,0,4,0,0,5,0,0,"칠관 회의・원격 회의 편",8,0,5201064
"몬스터 설정 자료 제1화",91002,0,20,0,0,10201,0,0,4,0,0,5,0,0,"뷰티풀 디자인",8,0,5201066
"몬스터 설정 자료 제2화",91002,0,20,0,0,10201,0,0,4,0,0,5,0,0,"일반적 감성",8,0,5201074
"기획 자료 제1화",91002,0,20,0,0,10201,0,0,4,0,0,5,0,0,"회의는 춤춘다, 하지만 진전은 없다",8,0,5201075
"기획 자료 제2화",91002,0,20,0,0,10201,0,0,4,0,0,5,0,0,"폭주하는 크리에이터 정신",8,0,5201076
"믹스 베리 케이크 제1화",91002,0,20,0,0,10201,0,0,4,0,0,5,0,0,"우츠시미 네네카와 케이크",8,0,5201077
"믹스 베리 케이크 제2화",91002,0,20,0,0,10201,0,0,4,0,0,5,0,0,"이리하여 생겨난 호감도",8,0,5201078
"인터뷰 기사_교열용 제1화",91002,0,20,0,0,10201,0,0,4,0,0,5,0,0,"화려한 기사",8,0,5201079
"인터뷰 기사_교열용 제2화",91002,0,20,0,0,10201,0,0,4,0,0,5,0,0,"화려한 기사의 이면",8,0,5201081
"아바타 의상 설정 자료 제1화",91002,0,20,0,0,10201,0,0,4,0,0,5,0,0,"향도노군의 우려",8,0,5201083
"종족 설정 자료 제1화",91002,0,20,0,0,10201,0,0,4,0,0,5,0,0,"수인족이 궁금해",8,0,5201085
"자료에 파묻힌 사진 제1화",91002,0,20,0,0,10201,0,0,4,0,0,5,0,0,"멈춘 시간, 남겨진 마음",8,0,5201087
"자료에 파묻힌 사진 제2화",91002,0,20,0,0,10201,0,0,4,0,0,5,0,0,"흐르는 시간, 새겨진 마음",8,0,5201088
