teaser_time,count_start_time,teaser_dialog_type,backgroud_size_y,banner_unit_id,close_time,event_id,sheet_id,que_id,series_event_id,backgroud_pos_y,start_time,backgroud_size_x,end_time,backgroud_pos_x,background,original_event_id
"2019/04/26 15:00:00","2019/04/26 15:00:00",0,1060,0,"2019/05/26 14:59:59",10001,bgm_M32,bgm_M32,0,50,"2019/05/01 15:00:00",1768,"2019/05/21 14:59:59",60,500213,0
"2019/05/27 15:00:00","2019/05/27 15:00:00",0,1060,103601,"2019/06/23 14:59:59",10002,bgm_M98,bgm_M98,0,50,"2019/05/29 15:00:00",1768,"2019/06/18 14:59:59",60,500193,0
"2019/06/24 15:00:00","2019/06/24 15:00:00",0,1060,104401,"2019/07/22 14:59:59",10003,bgm_M106,bgm_M106,0,50,"2019/06/27 15:00:00",1768,"2019/07/17 14:59:59",60,500263,0
"2019/07/27 15:00:00","2019/07/27 15:00:00",0,1060,107601,"2019/08/24 14:59:59",10004,bgm_M112,bgm_M112,0,50,"2019/07/30 15:00:00",1768,"2019/08/19 14:59:59",60,500164,0
"2019/08/26 15:00:00","2019/08/26 15:00:00",0,1060,907901,"2019/09/22 14:59:59",10005,bgm_M121,bgm_M121,0,50,"2019/08/29 15:00:00",1768,"2019/09/17 14:59:59",60,500284,0
"2019/09/28 15:00:00","2019/09/28 15:00:00",0,1060,104701,"2019/10/25 14:59:59",10006,bgm_M128,bgm_M128,0,50,"2019/10/01 15:00:00",1768,"2019/10/20 14:59:59",60,500096,0
"2019/10/27 15:00:00","2019/10/27 15:00:00",0,1060,108201,"2019/11/21 14:59:59",10007,bgm_M135,bgm_M135,0,50,"2019/10/30 15:00:00",1768,"2019/11/17 14:59:59",60,500264,0
"2019/11/25 15:00:00","2019/11/25 15:00:00",0,1060,100901,"2019/12/21 14:59:59",10008,bgm_M162,bgm_M162,0,50,"2019/11/28 15:00:00",1768,"2019/12/17 14:59:59",60,500143,0
"2019/12/28 15:00:00","2019/12/28 15:00:00",0,1060,108501,"2020/01/20 14:59:59",10009,bgm_M171,bgm_M171,0,50,"2019/12/31 15:00:00",1768,"2020/01/16 14:59:59",60,500114,0
"2020/01/27 15:00:00","2020/01/27 15:00:00",0,1060,108901,"2020/02/17 14:59:59",10010,bgm_M182,bgm_M182,0,50,"2020/01/30 15:00:00",1768,"2020/02/13 14:59:59",60,500553,0
"2020/02/24 15:00:00","2020/02/24 15:00:00",0,1060,109001,"2020/03/16 14:59:59",10011,bgm_M189,bgm_M189,0,50,"2020/02/27 15:00:00",1768,"2020/03/12 14:59:59",60,500600,0
"2020/03/29 15:00:00","2020/03/29 15:00:00",0,1060,101401,"2020/04/19 14:59:59",10012,bgm_M206,bgm_M206,0,50,"2020/04/01 15:00:00",1768,"2020/04/15 14:59:59",60,500013,0
"2020/04/26 15:00:00","2020/04/26 15:00:00",0,1060,109301,"2020/05/17 14:59:59",10013,bgm_M215,bgm_M215,0,50,"2020/04/29 15:00:00",1768,"2020/05/13 14:59:59",60,500133,0
"2020/05/11 15:00:00","2020/05/11 15:00:00",0,1060,101201,"2020/05/22 14:59:59",10014,bgm_M32,bgm_M32,0,50,"2020/05/13 15:00:00",1768,"2020/05/20 14:59:59",60,500213,10001
"2020/05/25 15:00:00","2020/05/25 15:00:00",0,1060,109501,"2020/06/15 14:59:59",10015,bgm_M223,bgm_M223,0,50,"2020/05/28 15:00:00",1768,"2020/06/11 14:59:59",60,500650,0
"2020/06/13 15:00:00","2020/06/13 15:00:00",0,1060,103601,"2020/06/24 14:59:59",10016,bgm_M98,bgm_M98,0,50,"2020/06/15 15:00:00",1768,"2020/06/22 14:59:59",60,500193,10002
"2020/06/27 15:00:00","2020/06/27 15:00:00",0,1060,109701,"2020/07/18 14:59:59",10017,bgm_M228,bgm_M228,0,50,"2020/06/30 15:00:00",1768,"2020/07/14 14:59:59",60,500175,0
"2020/07/13 15:00:00","2020/07/13 15:00:00",0,1060,104401,"2020/07/24 14:59:59",10018,bgm_M106,bgm_M106,0,50,"2020/07/15 15:00:00",1768,"2020/07/22 14:59:59",60,500263,10003
"2020/07/27 15:00:00","2020/07/27 15:00:00",0,1060,110101,"2020/08/17 14:59:59",10019,bgm_M237,bgm_M237,0,50,"2020/07/30 15:00:00",1600,"2020/08/13 14:59:59",12,500683,0
"2020/08/12 15:00:00","2020/08/12 15:00:00",0,1060,107601,"2020/08/23 14:59:59",10020,bgm_M112,bgm_M112,0,50,"2020/08/14 15:00:00",1768,"2020/08/21 14:59:59",60,500164,10004
"2020/08/28 15:00:00","2020/08/28 15:00:00",0,1060,110501,"2020/09/18 14:59:59",10021,bgm_M245,bgm_M245_02,0,50,"2020/08/31 15:00:00",1768,"2020/09/14 14:59:59",60,500713,0
"2020/09/12 15:00:00","2020/09/12 15:00:00",0,1060,108001,"2020/09/23 14:59:59",10022,bgm_M121,bgm_M121,0,50,"2020/09/14 15:00:00",1768,"2020/09/21 14:59:59",60,500284,10005
"2020/09/26 15:00:00","2020/09/26 15:00:00",0,1060,110701,"2020/10/17 14:59:59",10023,bgm_M254,bgm_M254,0,50,"2020/09/29 15:00:00",1800,"2020/10/13 14:59:59",34,500731,0
"2020/10/13 15:00:00","2020/10/13 15:00:00",0,1060,104701,"2020/10/24 14:59:59",10024,bgm_M128,bgm_M128,0,50,"2020/10/15 15:00:00",1768,"2020/10/22 14:59:59",60,500096,10006
"2020/10/26 15:00:00","2020/10/26 15:00:00",0,1060,111201,"2020/11/16 14:59:59",10025,bgm_M265,bgm_M265_Top,0,50,"2020/10/29 15:00:00",1768,"2020/11/12 14:59:59",60,505033,0
