seek_time,skin_id
0.0,100931
2.0,101031
0.0,101131
2.0,101231
2.0,101431
2.0,101831
0.0,102831
0.0,102931
0.0,103031
2.0,103231
2.0,103631
2.0,103731
0.0,104331
2.0,104431
0.0,104731
0.0,104931
2.7,105331
2.0,105631
2.0,105731
2.0,106131
2.0,106331
2.0,106431
2.0,106531
2.0,106631
2.0,106731
2.6,106831
2.0,107031
2.0,107131
0.0,107531
0.0,107731
2.0,107831
2.0,107931
2.0,108131
2.0,108331
2.0,108431
2.0,108631
2.0,108731
2.0,108831
2.0,109131
2.0,109231
2.0,109431
2.0,109531
2.0,109631
2.0,109731
2.0,109931
0.0,110031
2.0,110331
0.0,110431
2.0,110631
0.0,110731
2.0,110831
2.0,110931
2.0,111031
2.0,111131
2.0,111331
2.0,111431
2.0,111531
2.0,111731
2.0,111831
2.0,111931
2.0,112031
2.0,112231
2.0,112431
2.0,112531
2.0,112731
2.0,112831
2.0,112931
2.0,113131
2.0,113331
2.0,113431
2.0,113631
2.0,113731
2.0,113831
2.0,113931
2.0,114031
2.0,114231
2.0,114331
2.0,114431
2.0,114531
2.0,115031
2.0,115531
2.0,115731
2.0,115931
2.0,116031
2.0,116231
2.0,116331
2.0,116431
2.2,116531
2.0,116631
2.0,116731
2.0,116931
2.0,117031
2.0,117131
2.0,117231
2.0,117331
2.0,117531
2.0,117631
2.0,117731
2.0,117931
2.0,118031
2.0,118131
2.0,118231
2.0,119031
2.0,119131
2.0,119331
2.0,119931
2.0,120031
2.0,120731
2.0,120931
3.5,121031
3.5,121131
2.0,121331
2.0,121431
2.0,121531
2.0,121631
2.0,121931
2.0,122031
2.0,122231
2.0,122331
2.0,122531
2.0,122631
2.0,122731
2.0,122931
2.4,123031
2.0,123131
2.0,123231
2.0,123331
2.0,123631
2.0,123731
2.0,123831
2.0,123931
2.0,124031
2.0,124231
2.0,124531
2.0,124631
2.0,124831
2.0,125031
2.0,125131
2.0,125231
2.0,125331
2.0,125431
2.0,125531
2.0,125631
2.0,125831
2.0,126031
2.0,126131
2.0,126231
2.0,126331
2.0,126431
2.0,126531
2.0,126631
2.8,126831
2.0,126931
2.0,127131
2.0,127231
2.0,127331
2.0,127531
2.0,127631
2.0,127731
2.0,127831
2.0,127931
2.0,128031
2.0,128431
2.0,128531
2.0,128731
2.0,128931
2.0,129031
2.0,129331
2.0,129431
2.0,129531
2.0,129631
2.0,129731
2.0,129831
2.0,129931
2.0,130031
2.0,130131
2.0,130231
2.0,130731
2.0,130831
2.0,130931
2.0,131031
2.0,131131
2.0,131231
2.0,131631
2.0,131731
2.0,131831
2.0,132231
2.0,132831
2.0,132931
2.0,133031
2.0,133531
2.0,133631
2.0,133731
2.0,133931
2.0,180131
2.0,180231
2.0,180331
2.0,180431
2.0,180531
2.0,180631
2.0,180731
2.0,180831
2.0,180931
2.0,181031
2.0,181131
2.0,181231
