param_01,param_06,param_02,param_07,param_08,command_type,command_id,drama_id,param_05,param_03,param_04
se_10053800,"",se_fpc_water_random,"","",23,11010001,101,"","",""
1,1.75,<unit_id>,0,cmn_swm_tread,1,11010002,101,-180,23,-850
1,1.75,1,0,cmn_swm_tread_pink,5,11010003,101,-180,22,-850
3,1,3,"","",31,11010004,101,1,-850,-180
0,"",0,"","",91,11010005,101,"","",""
<unit_id>,"",850,"","",2,11010006,101,"",-180,10
1,"",850,"","",2,11010007,101,"",-180,10
3,"",850,"","",33,11010008,101,"",-180,10
se_10053800,"",se_fpc_water_random,"","",23,11020001,102,"","",""
1,1.75,<unit_id>,0,cmn_swm_tread,1,11020002,102,-180,23,-850
1,1.75,1,0,cmn_swm_tread_blue,5,11020003,102,-180,22,-850
3,1,3,"","",31,11020004,102,1,-850,-180
0,"",0,"","",91,11020005,102,"","",""
<unit_id>,"",850,"","",2,11020006,102,"",-180,10
1,"",850,"","",2,11020007,102,"",-180,10
3,"",850,"","",33,11020008,102,"",-180,10
se_10053800,"",se_fpc_water_random,"","",23,11030001,103,"","",""
1,1.75,<unit_id>,0,cmn_swm_tread,1,11030002,103,-180,23,-850
1,1.75,1,0,cmn_swm_tread,5,11030003,103,-180,22,-850
3,1,3,"","",31,11030004,103,1,-850,-180
0,"",0,"","",91,11030005,103,"","",""
<unit_id>,"",850,"","",2,11030006,103,"",-180,10
1,"",850,"","",2,11030007,103,"",-180,10
3,"",850,"","",33,11030008,103,"",-180,10
se_10053800,"",se_fpc_water_random,"","",23,11510001,151,"","",""
1,1.75,<unit_id>,0,cmn_swm_flutterKick,1,11510002,151,-180,22,-850
1,1,1,"","",31,11510003,151,1,-850,-180
0,"",0,"","",91,11510004,151,"","",""
<unit_id>,"",1050,"","",2,11510005,151,"",-180,10
1,"",1050,"","",33,11510006,151,"",-180,10
se_10053800,"",se_fpc_water_random,"","",23,12010001,201,"","",""
1,1.75,<unit_id>,0,cmn_swm_breastStroke,1,12010002,201,-180,22,-850
2,1,2,"","",31,12010003,201,1,-850,-180
0,"",0,"","",91,12010004,201,"","",""
<unit_id>,"",850,"","",2,12010005,201,"",-180,10
2,"",850,"","",33,12010006,201,"",-180,10
se_10053800,"",se_fpc_water_random,"","",23,12510001,251,"","",""
1,1.75,<unit_id>,0,cmn_swm_diving,1,12510002,251,-180,22,-850
9,1,9,"","",31,12510003,251,1,-850,-180
0,"",0,"","",91,12510004,251,"","",""
<unit_id>,"",850,"","",2,12510005,251,"",-180,10
9,"",850,"","",33,12510006,251,"",-180,10
se_10053800,"",se_fpc_water_random,"","",23,13010001,301,"","",""
1,1.75,<unit_id>,0,cmn_swm_flutterKick_floatRing,1,13010002,301,-180,23,-850
1,1.75,1,0,cmn_swm_flutterKick_floatRing_pink,5,13010003,301,-180,22,-850
1,1,1,"","",31,13010004,301,1,-850,-180
0,"",0,"","",91,13010005,301,"","",""
<unit_id>,"",1050,"","",2,13010006,301,"",-180,10
1,"",1050,"","",2,13010007,301,"",-180,10
1,"",1050,"","",33,13010008,301,"",-180,10
se_10053800,"",se_fpc_water_random,"","",23,13020001,302,"","",""
1,1.75,<unit_id>,0,cmn_swm_flutterKick_floatRing,1,13020002,302,-180,23,-850
1,1.75,1,0,cmn_swm_flutterKick_floatRing_blue,5,13020003,302,-180,22,-850
1,1,1,"","",31,13020004,302,1,-850,-180
0,"",0,"","",91,13020005,302,"","",""
<unit_id>,"",1050,"","",2,13020006,302,"",-180,10
1,"",1050,"","",2,13020007,302,"",-180,10
1,"",1050,"","",33,13020008,302,"",-180,10
se_10053800,"",se_fpc_water_random,"","",23,13030001,303,"","",""
1,1.75,<unit_id>,0,cmn_swm_flutterKick_floatRing,1,13030002,303,-180,23,-850
1,1.75,1,0,cmn_swm_flutterKick_floatRing,5,13030003,303,-180,22,-850
1,1,1,"","",31,13030004,303,1,-850,-180
0,"",0,"","",91,13030005,303,"","",""
<unit_id>,"",1050,"","",2,13030006,303,"",-180,10
1,"",1050,"","",2,13030007,303,"",-180,10
1,"",1050,"","",33,13030008,303,"",-180,10
se_10053800,"",se_fpc_water_random,"","",23,13510001,351,"","",""
1,1.75,<unit_id>,0,cmn_swm_flutterKick_floatRing,1,13510002,351,-180,23,-850
1,1.75,1,0,cmn_swm_flutterKick_floatBoad,5,13510003,351,-180,22,-850
