id,login_bonus_id,count,bg_id,character_name,reward_id,description,voice_id,reward_num,reward_type,character_id
1,20000,1,0,"",91002,"",0,100,8,0
2,20000,1,0,"",23001,"",0,20,2,0
3,20000,2,0,"",91002,"",0,100,8,0
4,20000,2,0,"",23001,"",0,20,2,0
5,20000,3,0,"",91002,"",0,100,8,0
6,20000,3,0,"",23001,"",0,20,2,0
7,20000,4,0,"",91002,"",0,100,8,0
8,20000,4,0,"",23001,"",0,20,2,0
9,20000,5,0,"",91002,"",0,200,8,0
10,20000,5,0,"",23001,"",0,20,2,0
11,20000,6,0,"",91002,"",0,100,8,0
12,20000,6,0,"",23001,"",0,20,2,0
13,20000,7,0,"",91002,"",0,100,8,0
14,20000,7,0,"",23001,"",0,20,2,0
15,20000,8,0,"",91002,"",0,100,8,0
16,20000,8,0,"",23001,"",0,20,2,0
17,20000,9,0,"",91002,"",0,100,8,0
18,20000,9,0,"",23001,"",0,20,2,0
19,20000,10,0,"",91002,"",0,300,8,0
20,20000,10,0,"",23001,"",0,20,2,0
21,30000,1,0,"",23001,"",0,30,2,0
22,30000,2,0,"",90007,"",0,2000,2,0
23,30000,3,0,"",20003,"",0,20,2,0
24,30000,4,0,"",91002,"",0,50,8,0
25,30000,5,0,"",94002,"",0,50000,12,0
26,30000,6,0,"",91002,"",0,50,8,0
27,30000,7,0,"",90007,"",0,3000,2,0
28,30000,8,0,"",20003,"",0,20,2,0
29,30000,9,0,"",91002,"",0,80,8,0
30,30000,10,0,"",24001,"",0,1,2,0
31,30000,11,0,"",91002,"",0,80,8,0
32,30000,12,0,"",22002,"",0,20,2,0
33,30000,13,0,"",20003,"",0,20,2,0
34,30000,14,0,"",91002,"",0,100,8,0
35,30000,15,0,"",24001,"",0,1,2,0
36,40000,1,0,"",91002,"",0,100,8,0
37,40001,1,0,"페코린느",91002,"오늘은 기념일, 축하를 해야겠네요!\n숯불구이, 초밥, 피자, 케이크~☆\n당신과 파티를 할 수 있다니\n행복해요~♪",1,150,8,107501
38,40001,2,0,"콧코로",91002,"이 기념일을 맞이할 수 있는 건\n주인님의 기량 덕택\n역시 주인님이십니다\n정말 대단하세요♪",1,150,8,107601
39,40001,3,0,"캬루",91002,"너도 제법 하는데!\n조금은… 생각보다…\n꽤 다시 보게 됐어\n칭찬해 줄게♪",1,150,8,107801
40,40001,4,0,"스즈메",91002,"당신과 저에게\n오늘은 특별한 날\n당신의 버팀목 덕분에\n저는 힘낼 수 있어요!",1,150,8,107701
41,40001,5,0,"타마키",91002,"오늘은 너에게 있어\n특별한 기념일이냥\n너의 활약에는 항상\n고양이지만 감사하고 있다냥~♪",1,150,8,107901
42,40001,6,0,"페코린느",91002,"으~ 빙수를 너무 많이 먹어서\n몸이 차가워졌어요…\n당신의 체온으로 따뜻하게 해 주세요!\n꼬옥~~♪",2,150,8,107501
43,40001,7,0,"콧코로",91002,"여름에는 위험이 가득하다고 합니다…\n하지만 제가 주인님을\n확실히 지켜드리겠습니다",2,150,8,107601
44,40001,8,0,"캬루",91002,"응~ 왜 너랑 한여름을\n보내게 된 걸까…\n꽤 즐거우니까 상관없지만!\n자, 잔뜩 놀자!",2,150,8,107801
