reward_type,read_condition_time,sub_story_id,reward_count,title,condition_boss_id,unit_id,original_event_id,read_condition,sub_title,condition_quest_id,reward_id
8,"2022/09/29 15:00:00",1007401,20,"젊음과 미열",0,100201,10074,0,"유이의 진료 차트 1",20041106,91002
8,"2022/09/29 15:00:00",1007402,20,"이 가슴의 두근거림을",0,100201,10074,1007401,"유이의 진료 차트 2",20041112,91002
8,"2022/10/01 5:00:00",1007403,30,"미칠 듯한 병의 이름은",0,100201,10074,1007402,"유이의 진료 차트 3",20041115,91002
8,"2022/09/29 15:00:00",1007404,20,"예기치 못한 방문자",0,111001,10074,0,"유니의 진료 차트 1",20041106,91002
8,"2022/09/29 15:00:00",1007405,20,"약 먹을 시간",0,111001,10074,1007404,"유니의 진료 차트 2",20041112,91002
8,"2022/10/02 5:00:00",1007406,30,"친애하는 당신에게",0,111001,10074,1007405,"유니의 진료 차트 3",20041115,91002
8,"2022/09/29 15:00:00",1007407,20,"기묘한 외래 환자",0,102501,10074,0,"스즈메의 진료 차트 1",20041108,91002
8,"2022/09/29 15:00:00",1007408,20,"두려운 증상",0,102501,10074,1007407,"스즈메의 진료 차트 2",20041114,91002
8,"2022/10/03 5:00:00",1007409,30,"현대 의학의 한계",0,102501,10074,1007408,"스즈메의 진료 차트 3",20041115,91002
8,"2022/09/29 15:00:00",1007410,20,"밤을 통치하는 자의 수난",0,104401,10074,0,"이리야의 진료 차트 1",20041108,91002
8,"2022/09/29 15:00:00",1007411,20,"아름다운 프로듀스",0,104401,10074,1007410,"이리야의 진료 차트 2",20041114,91002
8,"2022/10/04 5:00:00",1007412,30,"아름다움의 레슨",0,104401,10074,1007411,"이리야의 진료 차트 3",20041115,91002
8,"2022/09/29 15:00:00",1007413,20,"보이지 않는 적",0,100901,10074,0,"안나의 진료 차트 1",20041110,91002
8,"2022/09/29 15:00:00",1007414,20,"봉인된 마법",2004101,100901,10074,1007413,"안나의 진료 차트 2",0,91002
8,"2022/10/05 5:00:00",1007415,30,"척안의 악마 특별 진찰",2004101,100901,10074,1007414,"안나의 진료 차트 3",0,91002
8,"2022/09/29 15:00:00",1007416,20,"스컬 서프라이즈",0,103101,10074,0,"시노부의 진료 차트 1",20041110,91002
8,"2022/09/30 5:00:00",1007417,30,"방황하는 소녀에게 구원의 손길을",2004101,103101,10074,1007416,"시노부의 진료 차트 2",0,91002
