quest_detail_monster_height,background,wave_bgm_sheet,reward_image_2,quest_detail_monster_size,reward_image_3,reward_image_1,quest_detail_bg_id,wave_bgm,result_position_y,reward_image_5,reward_image_4,position,quest_detail_bg_position,boss_id
-30,100198,bgm_MC170,0,1.3,0,94002,100198,bgm_MC170,0,0,0,1,-30,92407110
-30,100198,bgm_MC170,0,1.3,0,94002,100198,bgm_MC170,0,0,0,1,-30,92407120
-30,100198,bgm_MC170,0,1.3,0,94002,100198,bgm_MC170,0,0,0,1,-30,92407130
-30,100198,bgm_MC170,0,1.3,0,94002,100198,bgm_MC170,0,0,0,1,-30,92407140
20,100198,bgm_MC170,0,1.45,0,94002,100198,bgm_MC170,0,0,0,2,-30,92407210
20,100198,bgm_MC170,0,1.45,0,94002,100198,bgm_MC170,0,0,0,2,-30,92407220
20,100198,bgm_MC170,0,1.45,0,94002,100198,bgm_MC170,0,0,0,2,-30,92407230
20,100198,bgm_MC170,0,1.45,0,94002,100198,bgm_MC170,0,0,0,2,-30,92407240
-30,100198,bgm_MC170,0,1.4,0,94002,100198,bgm_MC170,0,0,0,3,-30,92407310
-30,100198,bgm_MC170,0,1.4,0,94002,100198,bgm_MC170,0,0,0,3,-30,92407320
-30,100198,bgm_MC170,0,1.4,0,94002,100198,bgm_MC170,0,0,0,3,-30,92407330
-30,100198,bgm_MC170,0,1.4,0,94002,100198,bgm_MC170,0,0,0,3,-30,92407340
-30,101822,bgm_MC170,0,0.9,0,94002,101822,bgm_MC170,0,0,0,1,-30,92408110
-30,101822,bgm_MC170,0,0.9,0,94002,101822,bgm_MC170,0,0,0,1,-30,92408120
-30,101822,bgm_MC170,0,0.9,0,94002,101822,bgm_MC170,0,0,0,1,-30,92408130
-30,101822,bgm_MC170,0,0.9,0,94002,101822,bgm_MC170,0,0,0,1,-30,92408140
20,101822,bgm_MC170,0,1.0,0,94002,101822,bgm_MC170,0,0,0,2,-30,92408210
20,101822,bgm_MC170,0,1.0,0,94002,101822,bgm_MC170,0,0,0,2,-30,92408220
20,101822,bgm_MC170,0,1.0,0,94002,101822,bgm_MC170,0,0,0,2,-30,92408230
20,101822,bgm_MC170,0,1.0,0,94002,101822,bgm_MC170,0,0,0,2,-30,92408240
0,101822,bgm_MC170,0,0.9,0,94002,101822,bgm_MC170,0,0,0,3,-30,92408310
0,101822,bgm_MC170,0,0.9,0,94002,101822,bgm_MC170,0,0,0,3,-30,92408320
0,101822,bgm_MC170,0,0.9,0,94002,101822,bgm_MC170,0,0,0,3,-30,92408330
0,101822,bgm_MC170,0,0.9,0,94002,101822,bgm_MC170,0,0,0,3,-30,92408340
-30,101191,bgm_MC170,0,1.25,0,94002,101191,bgm_MC170,-50,0,0,1,-30,92409110
-30,101191,bgm_MC170,0,1.25,0,94002,101191,bgm_MC170,-50,0,0,1,-30,92409120
-30,101191,bgm_MC170,0,1.25,0,94002,101191,bgm_MC170,-50,0,0,1,-30,92409130
-30,101191,bgm_MC170,0,1.25,0,94002,101191,bgm_MC170,-50,0,0,1,-30,92409140
20,101191,bgm_MC170,0,1.0,0,94002,101191,bgm_MC170,0,0,0,2,-30,92409210
20,101191,bgm_MC170,0,1.0,0,94002,101191,bgm_MC170,0,0,0,2,-30,92409220
20,101191,bgm_MC170,0,1.0,0,94002,101191,bgm_MC170,0,0,0,2,-30,92409230
20,101191,bgm_MC170,0,1.0,0,94002,101191,bgm_MC170,0,0,0,2,-30,92409240
-30,101191,bgm_MC170,0,1.25,0,94002,101191,bgm_MC170,-50,0,0,3,-30,92409310
-30,101191,bgm_MC170,0,1.25,0,94002,101191,bgm_MC170,-50,0,0,3,-30,92409320
-30,101191,bgm_MC170,0,1.25,0,94002,101191,bgm_MC170,-50,0,0,3,-30,92409330
-30,101191,bgm_MC170,0,1.25,0,94002,101191,bgm_MC170,-50,0,0,3,-30,92409340
-30,103013,bgm_MC170,0,1.3,0,94002,103013,bgm_MC170,0,0,0,1,-30,92410110
-30,103013,bgm_MC170,0,1.3,0,94002,103013,bgm_MC170,0,0,0,1,-30,92410120
-30,103013,bgm_MC170,0,1.3,0,94002,103013,bgm_MC170,0,0,0,1,-30,92410130
-30,103013,bgm_MC170,0,1.3,0,94002,103013,bgm_MC170,0,0,0,1,-30,92410140
20,103013,bgm_MC170,0,1.45,0,94002,103013,bgm_MC170,0,0,0,2,-30,92410210
20,103013,bgm_MC170,0,1.45,0,94002,103013,bgm_MC170,0,0,0,2,-30,92410220
20,103013,bgm_MC170,0,1.45,0,94002,103013,bgm_MC170,0,0,0,2,-30,92410230
20,103013,bgm_MC170,0,1.45,0,94002,103013,bgm_MC170,0,0,0,2,-30,92410240
-30,103013,bgm_MC170,0,1.4,0,94002,103013,bgm_MC170,0,0,0,3,-30,92410310
-30,103013,bgm_MC170,0,1.4,0,94002,103013,bgm_MC170,0,0,0,3,-30,92410320
-30,103013,bgm_MC170,0,1.4,0,94002,103013,bgm_MC170,0,0,0,3,-30,92410330
-30,103013,bgm_MC170,0,1.4,0,94002,103013,bgm_MC170,0,0,0,3,-30,92410340
-30,100198,bgm_MC170,0,1.0,0,94002,100198,bgm_MC170,40,0,0,1,-30,92411110
-30,100198,bgm_MC170,0,1.0,0,94002,100198,bgm_MC170,40,0,0,1,-30,92411120
-30,100198,bgm_MC170,0,1.0,0,94002,100198,bgm_MC170,40,0,0,1,-30,92411130
-30,100198,bgm_MC170,0,1.0,0,94002,100198,bgm_MC170,40,0,0,1,-30,92411140
