motion_type,search_area_width,unit_name,comment,move_speed,normal_atk_cast_time,unit_id,se_type,atk_type,visual_change_flag,prefab_id,cutin_star6,cutin
0,800,"우끼끼","【물리】원거리 공격\n커다란 바위를 던져 멀리서 공격하는 원숭이 마물.",270,3.5,200100,0,1,0,200100,0,0
0,360,"우끼끼","【물리】원거리 공격\n커다란 바위를 던져 멀리서 공격하는 원숭이 마물.",270,3.5,200101,0,1,0,200100,0,0
0,800,"벌룬 버드","【회복】범위 회복\n볼록한 배에 담아둔 마력을 치유의 파동으로 바꾸는 새 마물.",270,3.0,200200,0,1,0,200200,0,0
0,200,"게이트 키퍼","【마법】범위 공격\n지옥의 문을 열어, 화상을 입히는 화염을 내뿜는 마계의 문지기.",270,3.5,200300,0,2,0,200300,0,0
0,350,"게이트 키퍼","【마법】범위 공격\n지옥의 문을 열어, 화상을 입히는 화염을 내뿜는 마계의 문지기.",270,3.5,200301,0,2,0,200300,0,0
0,500,"게이트 키퍼","【마법】범위 공격\n지옥의 문을 열어, 화상을 입히는 화염을 내뿜는 마계의 문지기.",270,3.5,200302,0,2,0,200300,0,0
0,350,"웨어울프","【물리】근접 공격\n날카로운 발톱으로 적을 토막 내는 늑대 마물.",270,2.5,200400,0,1,0,200400,0,0
0,100,"웨어울프","【물리】근접 공격\n날카로운 발톱으로 적을 토막 내는 늑대 마물.",270,2.5,200401,0,1,0,200400,0,0
0,200,"와일드 혼","【물리】근접 공격\n커다란 뿔을 공격과 방어 모두에 사용하는 사슴 마물.",270,3.0,200500,16,1,0,200500,0,0
0,200,"스노우 고트","【물리】근접 공격\n높은 산에 살고, 두꺼운 털가죽 아래에는 강인한 육체를 가진 순록 마물.",270,3.0,200501,16,1,0,200501,0,0
0,580,"와일드 혼","",750,3.0,200503,16,1,0,200503,0,0
0,350,"와일드 혼","",750,3.0,200504,16,1,0,200503,0,0
0,120,"와일드 혼","",600,3.0,200505,16,1,0,200503,0,0
0,200,"스노우 고트","【물리】근접 공격\n높은 산에 살고, 두꺼운 털가죽 아래에는 강인한 육체를 가진 순록 마물.",800,3.0,200506,16,1,0,200506,0,0
0,250,"랫튼","【물리】근접 공격\n위력은 약하지만 민첩하여 몇 번이나 공격하는 쥐 마물.",270,1.5,200600,11,1,0,200600,0,0
0,400,"우드 소울","【마법】중거리 공격\n마력탄을 던져 후열을 공격하는 썩은 나무 마물.",270,3.0,200700,17,2,0,200700,0,0
0,400,"록 소울","【마법】중거리 공격\n활활 타오르는 불꽃을 던져 화상을 입혀 추가 데미지를 입히는 저주 받은 석상.",270,3.0,200701,17,2,0,200701,0,0
0,600,"우드 소울","【마법】중거리 공격\n마력탄을 던져 후열을 공격하는 썩은 나무 마물.",270,3.0,200702,17,2,0,200702,0,0
0,400,"록 소울","【마법】중거리 공격\n활활 타오르는 불꽃을 던져 화상을 입혀 추가 데미지를 입히는 저주 받은 석상.",270,3.0,200703,17,2,0,200703,0,0
0,1080,"비글","【물리】원거리 공격\n바위를 먹을 정도로 단단한 이빨을 가진 산의 정령.",270,3.5,200800,15,1,0,200800,0,0
0,1080,"뭇클","【물리】원거리 공격\n얼음덩어리를 무기로도 식량으로도 쓰는 설산의 정령.",270,3.5,200801,15,1,0,200801,0,0
0,1070,"뭇클","【물리】원거리 공격\n얼음덩어리를 무기로도 식량으로도 쓰는 설산의 정령.\n\nㆍ뭇클로부터 입는 모든 데미지로 발생하는 파티 캐릭터의 TP 회복량을 (특대) 감소시킨다.\nㆍ가장 마법 공격력이 낮은 적 하나에게 물리 고정 데미지를 입힌다.\n",270,3.5,200803,15,1,0,200803,0,0
0,200,"스탬프","【물리】전열ㆍ근접 공격\n부드러운 나뭇가지를 채찍처럼 사용하여 공격하는 나무 마물.",270,2.5,200900,15,1,0,200900,0,0
0,200,"트위스티드 아카시아","【물리】근접 공격\n뒤엉킨 나뭇가지로 모험자를 숲 깊은 곳으로 끌어들이는 콩나무의 마물.",270,2.5,200901,15,1,0,200901,0,0
0,200,"트렌트","【물리】중거리 공격\n가지를 자유자재로 뻗으며, 노련한 기술로 아픈 곳을 찌르는 썩은 나무 마물.",270,0.5,200902,15,1,0,200902,0,0
0,3000,"트렌트","【물리】중거리 공격\n가지를 자유자재로 뻗으며, 노련한 기술로 아픈 곳을 찌르는 썩은 나무 마물.",270,0.5,200903,15,1,0,200902,0,0
0,3000,"트렌트","【물리】중거리 공격\n가지를 자유자재로 뻗으며, 노련한 기술로 아픈 곳을 찌르는 썩은 나무 마물.",270,2.0,200904,15,1,0,200904,0,0
0,3000,"트렌트","【물리】중거리 공격\n가지를 자유자재로 뻗으며, 노련한 기술로 아픈 곳을 찌르는 썩은 나무 마물.",270,2.0,200905,15,1,0,200905,0,0
0,0,"트렌트","【물리】중거리 공격\n가지를 자유자재로 뻗으며, 노련한 기술로 아픈 곳을 찌르는 썩은 나무 마물.",270,0.5,200906,15,1,0,200902,0,0
0,600,"스탬프","【물리】전열ㆍ근접 공격\n부드러운 나뭇가지를 채찍처럼 사용하여 공격하는 나무 마물.",270,2.5,200907,15,1,0,200900,0,0
0,1080,"스컬 플레임","【마법】중거리 공격\n지옥의 화염을 두르고 살아있는 자를 덮치는 원념의 집합체.",270,3.0,201000,17,2,0,201000,0,0
0,650,"코볼트","【물리】중거리 공격\n부메랑처럼 만든 뼈를 던져서 공격하는 들개 마물.",270,3.5,201100,15,1,0,201100,0,0
0,650,"코볼트 어쌔신","【물리】중거리 공격\n재빠른 스텝으로 농락하며 작은 빈틈에 나이프를 던지는 들개 마물.",270,0.5,201101,15,1,0,201101,0,0
0,370,"코볼트 어쌔신","【물리】중거리 공격\n재빠른 스텝으로 농락하며 작은 빈틈에 나이프를 던지는 들개 마물.",350,0.5,201102,15,1,0,201102,0,0
