icon_id,target_type,text_id,skill_id,enemy_id,sre_battle_effect_id
212,1,211,2146041,803100263,3001
212,1,211,2146042,803100263,3002
212,1,211,2146043,803100263,3003
212,1,211,2146044,803100263,3004
212,1,213,2147041,803100272,3006
212,1,213,2147042,803100272,3007
313,1,202,2145039,803100253,30011
302,0,105,2145040,803100253,30012
311,1,204,2145069,803100256,30021
312,1,205,2145070,803100256,30022
310,1,212,2145099,803100259,30031
301,0,107,2145100,803100259,30032
307,0,110,2146039,803100262,30041
302,0,105,2146040,803100262,30042
314,1,203,2146081,803100267,30051
312,1,205,2147019,803100269,30061
303,0,106,2147020,803100269,30062
313,1,202,2147039,803100271,30071
310,1,212,2147040,803100271,30072
100,0,104,2145011,803100251,300101
100,0,104,2145012,803100251,300102
102,0,105,2145013,803100251,300103
100,0,104,2145014,803100251,300104
102,0,105,2145015,803100251,300105
103,0,106,2145016,803100251,300106
102,0,105,2145017,803100251,300107
103,0,106,2145018,803100251,300108
111,1,204,2145019,803100251,300109
100,0,104,2145020,803100251,300110
100,0,104,2145021,803100252,300111
102,0,105,2145022,803100252,300112
100,0,104,2145023,803100252,300113
102,0,105,2145024,803100252,300114
103,0,106,2145025,803100252,300115
102,0,105,2145026,803100252,300116
103,0,106,2145027,803100252,300117
111,1,204,2145028,803100252,300118
100,0,104,2145029,803100252,300119
100,0,104,2145030,803100252,300120
102,0,105,2145031,803100253,300121
100,0,104,2145032,803100253,300122
102,0,105,2145033,803100253,300123
112,1,208,2145034,803100253,300124
110,1,212,2145035,803100253,300125
100,0,104,2145036,803100253,300126
102,0,105,2145037,803100253,300127
103,0,106,2145038,803100253,300128
101,0,107,2145041,803100254,300201
101,0,107,2145042,803100254,300202
102,0,105,2145043,803100254,300203
103,0,106,2145044,803100254,300204
113,1,202,2145045,803100254,300205
114,1,203,2145046,803100254,300206
101,0,107,2145047,803100254,300207
113,1,202,2145048,803100254,300208
114,1,203,2145049,803100254,300209
101,0,107,2145050,803100254,300210
101,0,107,2145051,803100255,300211
102,0,105,2145052,803100255,300212
103,0,106,2145053,803100255,300213
113,1,202,2145054,803100255,300214
114,1,203,2145055,803100255,300215
101,0,107,2145056,803100255,300216
113,1,202,2145057,803100255,300217
114,1,203,2145058,803100255,300218
101,0,107,2145059,803100255,300219
101,0,107,2145060,803100255,300220
102,0,105,2145061,803100256,300221
103,0,106,2145062,803100256,300222
