lock_all_text,story_id,start_time,title,requirement_id,reward_id_3,story_end,force_unlock_time_2,visible_type,reward_value_3,reward_id_2,read_process_flag,pre_story_id_2,reward_type_1,reward_type_3,story_quest_id,reward_type_2,pre_story_id,love_level,reward_value_1,unlock_quest_id,force_unlock_time,reward_value_2,story_group_id,can_bookmark,reward_id_1,end_time,sub_title
0,1001001,"2015/04/01 15:00:00","히요리 제1화",100101,0,0,"2030/12/17 14:59:59",0,0,0,1,0,8,0,0,0,0,0,20,0,"2030/12/17 14:59:59",0,1001,1,91002,"2030/12/17 14:59:59","힘들 땐 서로 도와야지"
0,1001002,"2015/04/01 15:00:00","히요리 제2화",100101,0,0,"2030/12/17 14:59:59",0,0,0,1,0,8,0,0,0,1001001,2,20,0,"2030/12/17 14:59:59",0,1001,1,91002,"2030/12/17 14:59:59","손가락을 걸고 맹세"
0,1001003,"2015/04/01 15:00:00","히요리 제3화",100101,0,0,"2030/12/17 14:59:59",0,0,0,1,0,8,0,0,0,1001002,3,20,0,"2030/12/17 14:59:59",0,1001,1,91002,"2030/12/17 14:59:59","소원은 미소를 위해"
0,1001004,"2015/04/01 15:00:00","히요리 제4화",100101,0,0,"2030/12/17 14:59:59",0,0,0,1,0,8,0,0,0,1001003,4,50,0,"2030/12/17 14:59:59",0,1001,1,91002,"2030/12/17 14:59:59","스트레이 캣 걸"
0,1001005,"2015/04/01 15:00:00","히요리 제5화",100101,0,0,"2030/12/17 14:59:59",0,0,0,1,0,8,0,0,0,1001004,5,20,0,"2030/12/17 14:59:59",0,1001,1,91002,"2030/12/17 14:59:59","꼬리는 반칙?"
0,1001006,"2015/04/01 15:00:00","히요리 제6화",100101,0,0,"2030/12/17 14:59:59",0,0,0,1,0,8,0,0,0,1001005,6,20,0,"2030/12/17 14:59:59",0,1001,1,91002,"2030/12/17 14:59:59","쉬고 싶은데 쉴 수 없어!"
0,1001007,"2015/04/01 15:00:00","히요리 제7화",100101,0,0,"2030/12/17 14:59:59",0,0,0,1,0,8,0,0,0,1001006,7,20,0,"2030/12/17 14:59:59",0,1001,1,91002,"2030/12/17 14:59:59","승리를 너에게"
0,1001008,"2015/04/01 15:00:00","히요리 제8화",100101,0,0,"2030/12/17 14:59:59",0,0,0,1,0,8,0,0,0,1001007,8,50,0,"2030/12/17 14:59:59",0,1001,1,91002,"2030/12/17 14:59:59","응원하고 싶은데"
0,1001009,"2015/04/01 15:00:00","히요리 제9화",100101,0,0,"2030/12/17 14:59:59",0,0,0,1,0,8,0,0,0,1001008,9,50,0,"2030/12/17 14:59:59",0,1001,1,91002,"2030/12/17 14:59:59","말하고 싶은 비밀"
0,1001010,"2015/04/01 15:00:00","히요리 제10화",100101,0,0,"2030/12/17 14:59:59",0,0,0,1,0,8,0,0,0,1001009,10,50,0,"2030/12/17 14:59:59",0,1001,1,91002,"2030/12/17 14:59:59","도와야 할 악인"
0,1001011,"2015/04/01 15:00:00","히요리 제11화",100101,0,0,"2030/12/17 14:59:59",0,0,0,1,0,8,0,0,0,1001010,11,50,0,"2030/12/17 14:59:59",0,1001,1,91002,"2030/12/17 14:59:59","스트레이 캣 메모리"
0,1001012,"2015/04/01 15:00:00","히요리 제12화",100101,0,0,"2030/12/17 14:59:59",0,0,0,1,0,8,0,0,0,1001011,12,50,0,"2030/12/17 14:59:59",0,1001,1,91002,"2030/12/17 14:59:59","두근거림이 선사하는 파워"
0,1002001,"2015/04/01 15:00:00","유이 제1화",100201,0,0,"2030/12/17 14:59:59",0,0,0,1,0,8,0,0,0,0,0,20,0,"2030/12/17 14:59:59",0,1002,1,91002,"2030/12/17 14:59:59","이번에는 꼭"
0,1002002,"2015/04/01 15:00:00","유이 제2화",100201,0,0,"2030/12/17 14:59:59",0,0,0,1,0,8,0,0,0,1002001,2,20,0,"2030/12/17 14:59:59",0,1002,1,91002,"2030/12/17 14:59:59","Lunch with me!"
0,1002003,"2015/04/01 15:00:00","유이 제3화",100201,0,0,"2030/12/17 14:59:59",0,0,0,1,0,8,0,0,0,1002002,3,20,0,"2030/12/17 14:59:59",0,1002,1,91002,"2030/12/17 14:59:59","맛있는 밥을 먹는 법"
0,1002004,"2015/04/01 15:00:00","유이 제4화",100201,0,0,"2030/12/17 14:59:59",0,0,0,1,0,8,0,0,0,1002003,4,50,0,"2030/12/17 14:59:59",0,1002,1,91002,"2030/12/17 14:59:59","곁에 있는 너에게 전하고 싶어"
0,1002005,"2015/04/01 15:00:00","유이 제5화",100201,0,0,"2030/12/17 14:59:59",0,0,0,1,0,8,0,0,0,1002004,5,20,0,"2030/12/17 14:59:59",0,1002,1,91002,"2030/12/17 14:59:59","조금씩이라도 앞으로……"
0,1002006,"2015/04/01 15:00:00","유이 제6화",100201,0,0,"2030/12/17 14:59:59",0,0,0,1,0,8,0,0,0,1002005,6,20,0,"2030/12/17 14:59:59",0,1002,1,91002,"2030/12/17 14:59:59","진심을 알고 싶어서"
0,1002007,"2015/04/01 15:00:00","유이 제7화",100201,0,0,"2030/12/17 14:59:59",0,0,0,1,0,8,0,0,0,1002006,7,20,0,"2030/12/17 14:59:59",0,1002,1,91002,"2030/12/17 14:59:59","의지되는 마법?"
0,1002008,"2015/04/01 15:00:00","유이 제8화",100201,0,0,"2030/12/17 14:59:59",0,0,0,1,0,8,0,0,0,1002007,8,50,0,"2030/12/17 14:59:59",0,1002,1,91002,"2030/12/17 14:59:59","신기한 주문"
0,1002009,"2015/04/01 15:00:00","유이 제9화",100201,0,0,"2030/12/17 14:59:59",0,0,0,1,0,8,0,0,0,1002008,9,50,0,"2030/12/17 14:59:59",0,1002,1,91002,"2030/12/17 14:59:59","알려지지 않은 마음을 적어서"
0,1002010,"2015/04/01 15:00:00","유이 제10화",100201,0,0,"2030/12/17 14:59:59",0,0,0,1,0,8,0,0,0,1002009,10,50,0,"2030/12/17 14:59:59",0,1002,1,91002,"2030/12/17 14:59:59","신뢰하는 미래는 빛 속에"
0,1002011,"2015/04/01 15:00:00","유이 제11화",100201,0,0,"2030/12/17 14:59:59",0,0,0,1,0,8,0,0,0,1002010,11,50,0,"2030/12/17 14:59:59",0,1002,1,91002,"2030/12/17 14:59:59","언젠가 깨달은 마음"
