sekai_enemy_level,que_id,limit_time,limited_mana,quest_detail_monster_height,sekai_boss_mode_id,reward_gold_coefficient,result_boss_position_y,sheet_id,sekai_enemy_id,quest_detail_bg_position,score_coefficient,quest_detail_bg_id,quest_detail_monster_size,background
???,bgm_M220,90,100000,-75,1001001,0,350,bgm_M220,800100101,-30,1,100584,2.0,100584
???,bgm_M220,90,100000,-75,1001002,0,350,bgm_M220,800100102,-30,1,100584,2.0,100584
???,bgm_M220,90,100000,-75,1001003,0,350,bgm_M220,800100103,-30,1,100584,2.0,100584
???,bgm_M221,90,100000,-75,1001004,0,350,bgm_M221,800100101,-30,1,100584,2.0,100584
???,bgm_M221,90,100000,-75,1001005,0,350,bgm_M221,800100102,-30,1,100584,2.0,100584
???,bgm_M221,90,100000,-75,1001006,0,350,bgm_M221,800100103,-30,1,100584,2.0,100584
???,bgm_M220,90,100000,-75,1002001,0,350,bgm_M220,800100201,-30,1,100584,2.0,100584
???,bgm_M220,90,100000,-75,1002002,0,350,bgm_M220,800100202,-30,1,100584,2.0,100584
???,bgm_M220,90,100000,-75,1002003,0,350,bgm_M220,800100203,-30,1,100584,2.0,100584
???,bgm_M221,90,100000,-75,1002004,0,350,bgm_M221,800100201,-30,1,100584,2.0,100584
???,bgm_M221,90,100000,-75,1002005,0,350,bgm_M221,800100202,-30,1,100584,2.0,100584
???,bgm_M221,90,100000,-75,1002006,0,350,bgm_M221,800100203,-30,1,100584,2.0,100584
