id,consume_num_1,reward_type_3,reward_type_1,consume_num_4,exceed_stage,item_id_5,consume_num_3,consume_num_2,reward_type_5,item_id_4,consume_num_5,exceed_item_id,item_id_1,unit_id,reward_type_4,reward_type_2,item_id_2,item_id_3
1100101,120,0,2,0,1,0,0,20000000,0,0,0,41001,31001,100101,0,12,94000,0
1100201,120,0,2,0,1,0,0,20000000,0,0,0,41002,31002,100201,0,12,94000,0
1100301,120,0,2,0,1,0,0,20000000,0,0,0,41003,31003,100301,0,12,94000,0
1100401,120,0,2,0,1,0,0,20000000,0,0,0,41004,31004,100401,0,12,94000,0
1100501,120,0,2,0,1,0,0,20000000,0,0,0,41005,31005,100501,0,12,94000,0
1100601,120,0,2,0,1,0,0,20000000,0,0,0,41006,31006,100601,0,12,94000,0
1100701,120,0,2,0,1,0,0,20000000,0,0,0,41007,31007,100701,0,12,94000,0
1100801,120,0,2,0,1,0,0,20000000,0,0,0,41008,31008,100801,0,12,94000,0
1100901,120,0,2,0,1,0,0,20000000,0,0,0,41009,31009,100901,0,12,94000,0
1101001,120,0,2,0,1,0,0,20000000,0,0,0,41010,31010,101001,0,12,94000,0
1101101,120,0,2,0,1,0,0,20000000,0,0,0,41011,31011,101101,0,12,94000,0
1101201,120,0,2,0,1,0,0,20000000,0,0,0,41012,31012,101201,0,12,94000,0
1101301,120,0,2,0,1,0,0,20000000,0,0,0,41013,31013,101301,0,12,94000,0
1101401,120,0,2,0,1,0,0,20000000,0,0,0,41014,31014,101401,0,12,94000,0
1101501,120,0,2,0,1,0,0,20000000,0,0,0,41015,31015,101501,0,12,94000,0
1101601,120,0,2,0,1,0,0,20000000,0,0,0,41016,31016,101601,0,12,94000,0
1101701,120,0,2,0,1,0,0,20000000,0,0,0,41017,31017,101701,0,12,94000,0
1101801,120,0,2,0,1,0,0,20000000,0,0,0,41018,31018,101801,0,12,94000,0
1102001,120,0,2,0,1,0,0,20000000,0,0,0,41020,31020,102001,0,12,94000,0
1102101,120,0,2,0,1,0,0,20000000,0,0,0,41021,31021,102101,0,12,94000,0
1102201,120,0,2,0,1,0,0,20000000,0,0,0,41022,31022,102201,0,12,94000,0
1102301,120,0,2,0,1,0,0,20000000,0,0,0,41023,31023,102301,0,12,94000,0
1102501,120,0,2,0,1,0,0,20000000,0,0,0,41025,31025,102501,0,12,94000,0
1102601,120,0,2,0,1,0,0,20000000,0,0,0,41026,31026,102601,0,12,94000,0
1102701,120,0,2,0,1,0,0,20000000,0,0,0,41027,31027,102701,0,12,94000,0
1102801,120,0,2,0,1,0,0,20000000,0,0,0,41028,31028,102801,0,12,94000,0
1102901,120,0,2,0,1,0,0,20000000,0,0,0,41029,31029,102901,0,12,94000,0
1103001,120,0,2,0,1,0,0,20000000,0,0,0,41030,31030,103001,0,12,94000,0
1103101,120,0,2,0,1,0,0,20000000,0,0,0,41031,31031,103101,0,12,94000,0
1103201,120,0,2,0,1,0,0,20000000,0,0,0,41032,31032,103201,0,12,94000,0
1103301,120,0,2,0,1,0,0,20000000,0,0,0,41033,31033,103301,0,12,94000,0
1103401,120,0,2,0,1,0,0,20000000,0,0,0,41034,31034,103401,0,12,94000,0
1103601,120,0,2,0,1,0,0,20000000,0,0,0,41036,31036,103601,0,12,94000,0
1103701,120,0,2,0,1,0,0,20000000,0,0,0,41037,31037,103701,0,12,94000,0
1103801,120,0,2,0,1,0,0,20000000,0,0,0,41038,31038,103801,0,12,94000,0
1104001,120,0,2,0,1,0,0,20000000,0,0,0,41040,31040,104001,0,12,94000,0
1104201,120,0,2,0,1,0,0,20000000,0,0,0,41042,31042,104201,0,12,94000,0
1104301,120,0,2,0,1,0,0,20000000,0,0,0,41043,31043,104301,0,12,94000,0
1104401,120,0,2,0,1,0,0,20000000,0,0,0,41044,31044,104401,0,12,94000,0
1104501,120,0,2,0,1,0,0,20000000,0,0,0,41045,31045,104501,0,12,94000,0
1104601,120,0,2,0,1,0,0,20000000,0,0,0,41046,31046,104601,0,12,94000,0
1104701,120,0,2,0,1,0,0,20000000,0,0,0,41047,31047,104701,0,12,94000,0
1104801,120,0,2,0,1,0,0,20000000,0,0,0,41048,31048,104801,0,12,94000,0
1104901,120,0,2,0,1,0,0,20000000,0,0,0,41049,31049,104901,0,12,94000,0
1105001,120,0,2,0,1,0,0,20000000,0,0,0,41050,31050,105001,0,12,94000,0
1105101,120,0,2,0,1,0,0,20000000,0,0,0,41051,31051,105101,0,12,94000,0
1105201,120,0,2,0,1,0,0,20000000,0,0,0,41052,31052,105201,0,12,94000,0
1105301,120,0,2,0,1,0,0,20000000,0,0,0,41053,31053,105301,0,12,94000,0
1105401,120,0,2,0,1,0,0,20000000,0,0,0,41054,31054,105401,0,12,94000,0
1105501,120,0,2,0,1,0,0,20000000,0,0,0,41055,31055,105501,0,12,94000,0
1105601,120,0,2,0,1,0,0,20000000,0,0,0,41056,31056,105601,0,12,94000,0
1105701,120,0,2,0,1,0,0,20000000,0,0,0,41057,31057,105701,0,12,94000,0
1105801,120,0,2,0,1,0,0,20000000,0,0,0,41058,31058,105801,0,12,94000,0
1105901,120,0,2,0,1,0,0,20000000,0,0,0,41059,31059,105901,0,12,94000,0
1106001,120,0,2,0,1,0,0,20000000,0,0,0,41060,31060,106001,0,12,94000,0
1106101,40,0,2,0,1,0,0,30000000,0,0,0,41061,31061,106101,0,12,94000,0
1106301,120,0,2,0,1,0,0,20000000,0,0,0,41063,31063,106301,0,12,94000,0
1106401,120,0,2,0,1,0,0,20000000,0,0,0,41064,31064,106401,0,12,94000,0
1106501,120,0,2,0,1,0,0,20000000,0,0,0,41065,31065,106501,0,12,94000,0
1106601,120,0,2,0,1,0,0,20000000,0,0,0,41066,31066,106601,0,12,94000,0
1106701,40,0,2,0,1,0,0,30000000,0,0,0,41067,31067,106701,0,12,94000,0
1106801,40,0,2,0,1,0,0,30000000,0,0,0,41068,31068,106801,0,12,94000,0
1106901,40,0,2,0,1,0,0,30000000,0,0,0,41069,31069,106901,0,12,94000,0
1107001,40,0,2,0,1,0,0,30000000,0,0,0,41070,31070,107001,0,12,94000,0
1107101,40,0,2,0,1,0,0,30000000,0,0,0,41071,31071,107101,0,12,94000,0
1107501,40,0,2,0,1,0,0,30000000,0,0,0,41075,31075,107501,0,12,94000,0
1107601,40,0,2,0,1,0,0,30000000,0,0,0,41076,31076,107601,0,12,94000,0
1107701,40,0,2,0,1,0,0,30000000,0,0,0,41077,31077,107701,0,12,94000,0
1107801,40,0,2,0,1,0,0,30000000,0,0,0,41078,31078,107801,0,12,94000,0
1107901,40,0,2,0,1,0,0,30000000,0,0,0,41079,31079,107901,0,12,94000,0
1108001,40,0,2,0,1,0,0,30000000,0,0,0,41080,31080,108001,0,12,94000,0
1108101,40,0,2,0,1,0,0,30000000,0,0,0,41081,31081,108101,0,12,94000,0
1108201,40,0,2,0,1,0,0,30000000,0,0,0,41082,31082,108201,0,12,94000,0
