reward_num_5,reward_num_2,reward_type_3,reward_id_3,reward_id_2,reward_id_5,reward_type_4,ranking_from,reward_type_2,id,ranking_to,reward_num_1,reward_id_1,reward_id_4,damage_rank_id,reward_type_5,reward_num_4,reward_type_1,reward_num_3
0,80,2,23001,20004,0,0,1,2,1,50,2000000,94002,0,1002200,0,0,12,50
0,80,2,23001,20004,0,0,51,2,2,100,1600000,94002,0,1002200,0,0,12,40
0,60,2,23001,20004,0,0,101,2,3,200,1400000,94002,0,1002200,0,0,12,40
0,60,2,23001,20004,0,0,201,2,4,500,1200000,94002,0,1002200,0,0,12,35
0,40,2,23001,20004,0,0,501,2,5,1000,1000000,94002,0,1002200,0,0,12,35
0,40,2,23001,20004,0,0,1001,2,6,1500,800000,94002,0,1002200,0,0,12,30
0,40,2,23001,20004,0,0,1501,2,7,2000,600000,94002,0,1002200,0,0,12,25
0,80,2,23001,20003,0,0,2001,2,8,3000,600000,94002,0,1002200,0,0,12,25
0,60,2,23001,20003,0,0,3001,2,9,5000,400000,94002,0,1002200,0,0,12,20
0,40,2,23001,20003,0,0,5001,2,10,10000,300000,94002,0,1002200,0,0,12,15
0,20,2,23001,20003,0,0,10001,2,11,100000,200000,94002,0,1002200,0,0,12,10
0,12,2,23001,20003,0,0,100001,2,12,200000,100000,94002,0,1002200,0,0,12,5
0,8,2,23001,20003,0,0,200001,2,13,300000,80000,94002,0,1002200,0,0,12,5
0,5,2,23001,20003,0,0,300001,2,14,400000,60000,94002,0,1002200,0,0,12,5
0,3,2,23001,20003,0,0,400001,2,15,-1,50000,94002,0,1002200,0,0,12,5
