enemy_image_3,wave_bgm_que_id_1,wave_bgm_sheet_id_2,enemy_image_2,story_id_wavestart_2,background_3,wave_group_id_3,wave_bgm_que_id_2,enemy_image_1,enemy_image_5,quest_id,story_id_wavestart_1,story_id_waveend_2,story_id_wavestart_3,wave_bgm_que_id_3,story_id_waveend_1,auto_restrict_type,story_id_waveend_3,wave_bgm_sheet_id_1,wave_group_id_1,enemy_image_4,wave_group_id_2,background_2,wave_bgm_sheet_id_3,background_1,limit_time
105630103,bgm_MC022,"",105630102,0,0,0,"",105630101,105630105,15063001,0,0,0,"",0,1,0,bgm_MC022,150630011,105630104,0,0,"",103171,90
105630203,bgm_MC022,"",105630202,0,0,0,"",105630201,105630205,15063002,0,0,0,"",0,1,0,bgm_MC022,150630021,105630204,0,0,"",103171,90
105630303,bgm_MC022,"",105630302,0,0,0,"",105630301,105630305,15063003,0,0,0,"",0,1,0,bgm_MC022,150630031,105630304,0,0,"",103201,90
105630403,bgm_MC022,"",105630402,0,0,0,"",105630401,105630405,15063004,0,0,0,"",0,1,0,bgm_MC022,150630041,105630404,0,0,"",103201,90
105630503,bgm_MC022,"",105630502,0,0,0,"",105630501,105630505,15063005,0,0,0,"",0,1,0,bgm_MC022,150630051,105630504,0,0,"",103171,90
105630603,bgm_MC022,"",105630602,0,0,0,"",105630601,105630605,15063006,0,0,0,"",0,1,0,bgm_MC022,150630061,105630604,0,0,"",103201,90
105630703,bgm_MC022,"",105630702,0,0,0,"",105630701,105630705,15063007,0,0,0,"",0,1,0,bgm_MC022,150630071,105630704,0,0,"",103201,90
105640103,bgm_MC022,"",105640102,0,0,0,"",105640101,105640105,15064001,0,0,0,"",0,1,0,bgm_MC022,150640011,105640104,0,0,"",103201,90
105640203,bgm_MC022,"",105640202,0,0,0,"",105640201,105640205,15064002,0,0,0,"",0,1,0,bgm_MC022,150640021,105640204,0,0,"",103171,90
0,bgm_MC022,"",105640302,0,0,0,"",105640301,0,15064003,0,0,0,"",0,1,0,bgm_MC022,150640031,0,0,0,"",103171,90
105640403,bgm_MC022,"",105640402,0,0,0,"",105640401,105640404,15064004,0,0,0,"",0,1,0,bgm_MC022,150640041,105640405,0,0,"",103171,90
105640503,bgm_MC022,"",105640502,0,0,0,"",105640501,105640505,15064005,0,0,0,"",0,1,0,bgm_MC022,150640051,105640504,0,0,"",103171,90
105640602,bgm_MC022,"",105640601,0,0,0,"",105640603,0,15064006,0,0,0,"",0,1,0,bgm_MC022,150640061,0,0,0,"",103201,90
105650103,bgm_MC022,"",105650102,0,0,0,"",105650101,105650105,15065001,0,0,0,"",0,1,0,bgm_MC022,150650011,105650104,0,0,"",103171,90
105650203,bgm_MC022,"",105650202,0,0,0,"",105650201,105650205,15065002,0,0,0,"",0,1,0,bgm_MC022,150650021,105650204,0,0,"",103171,90
105650303,bgm_MC022,"",105650302,0,0,0,"",105650301,105650305,15065003,0,0,0,"",0,1,0,bgm_MC022,150650031,105650304,0,0,"",103171,90
105650403,bgm_MC022,"",105650402,0,0,0,"",105650401,105650405,15065004,0,0,0,"",0,1,0,bgm_MC022,150650041,105650404,0,0,"",103171,90
105650503,bgm_MC022,"",105650502,0,0,0,"",105650501,105650505,15065005,0,0,0,"",0,1,0,bgm_MC022,150650051,105650504,0,0,"",103171,90
0,bgm_MC022,"",105650601,0,0,0,"",105650602,0,15065006,0,0,0,"",0,1,0,bgm_MC022,150650061,0,0,0,"",103201,90
105660103,bgm_MC022,"",105660102,0,0,0,"",105660101,105660105,15066001,0,0,0,"",0,1,0,bgm_MC022,150660011,105660104,0,0,"",103171,90
105660203,bgm_MC022,"",105660202,0,0,0,"",105660201,105660205,15066002,0,0,0,"",0,1,0,bgm_MC022,150660021,105660204,0,0,"",103171,90
0,bgm_MC081_Fubuki,"",0,0,0,0,"",105660301,0,15066003,9066157,0,0,"",9066158,1,0,bgm_MC081,150660031,0,0,0,"",103201,90
105660403,bgm_MC022,"",105660402,0,0,0,"",105660401,105660405,15066004,0,0,0,"",0,1,0,bgm_MC022,150660041,105660404,0,0,"",103171,90
105660503,bgm_MC022,"",105660502,0,0,0,"",105660501,105660505,15066005,0,0,0,"",0,1,0,bgm_MC022,150660051,105660504,0,0,"",103171,90
105660603,bgm_MC022,"",105660602,0,0,0,"",105660601,105660605,15066006,0,0,0,"",0,1,0,bgm_MC022,150660061,105660604,0,0,"",103171,90
105660703,bgm_MC022,"",105660702,0,0,0,"",105660701,0,15066007,0,0,0,"",0,1,0,bgm_MC022,150660071,0,0,0,"",103201,90
105670103,bgm_MC086,"",105670102,0,0,0,"",105670101,105670105,15067001,0,0,0,"",0,1,0,bgm_MC086,150670011,105670104,0,0,"",103331,90
105670203,bgm_MC086,"",105670202,0,0,0,"",105670201,105670205,15067002,0,0,0,"",0,1,0,bgm_MC086,150670021,105670204,0,0,"",103331,90
0,bgm_MC081_Wakana,"",0,0,0,0,"",105670301,0,15067003,9067157,0,0,"",9067158,1,0,bgm_MC081,150670031,0,0,0,"",103361,90
105670403,bgm_MC086,"",105670402,0,0,0,"",105670401,105670405,15067004,0,0,0,"",0,1,0,bgm_MC086,150670041,105670404,0,0,"",103331,90
105670503,bgm_MC086,"",105670502,0,0,0,"",105670501,105670505,15067005,0,0,0,"",0,1,0,bgm_MC086,150670051,105670504,0,0,"",103331,90
0,bgm_MC086,"",105670601,0,0,0,"",105670602,0,15067006,0,0,0,"",0,1,0,bgm_MC086,150670061,0,0,0,"",103331,90
105680103,bgm_MC086,"",105680102,0,0,0,"",105680101,105680105,15068001,0,0,0,"",0,1,0,bgm_MC086,150680011,105680104,0,0,"",103331,90
105680203,bgm_MC086,"",105680202,0,0,0,"",105680201,105680205,15068002,0,0,0,"",0,1,0,bgm_MC086,150680021,105680204,0,0,"",103331,90
0,bgm_MC081_Yamato,"",0,0,0,0,"",105680301,0,15068003,9068157,0,0,"",9068158,1,0,bgm_MC081,150680031,0,0,0,"",103361,90
105680403,bgm_MC086,"",105680402,0,0,0,"",105680401,105680405,15068004,0,0,0,"",0,1,0,bgm_MC086,150680041,105680404,0,0,"",103331,90
105680503,bgm_MC086,"",105680502,0,0,0,"",105680501,105680505,15068005,0,0,0,"",0,1,0,bgm_MC086,150680051,105680504,0,0,"",103361,90
105680603,bgm_MC086,"",105680602,0,0,0,"",105680601,0,15068006,0,0,0,"",0,1,0,bgm_MC086,150680061,105680604,0,0,"",103361,90
105690103,bgm_MC086,"",105690102,0,0,0,"",105690101,105690105,15069001,0,0,0,"",0,1,0,bgm_MC086,150690011,105690104,0,0,"",103331,90
105690203,bgm_MC086,"",105690202,0,0,0,"",105690201,105690205,15069002,0,0,0,"",0,1,0,bgm_MC086,150690021,105690204,0,0,"",103361,90
105690303,bgm_MC086,"",105690302,0,0,0,"",105690301,0,15069003,0,0,0,"",0,1,0,bgm_MC086,150690031,0,0,0,"",103361,90
105690403,bgm_MC086,"",105690402,0,0,0,"",105690401,105690405,15069004,0,0,0,"",0,1,0,bgm_MC086,150690041,105690404,0,0,"",103361,90
105690503,bgm_MC086,"",105690502,0,0,0,"",105690501,105690505,15069005,0,0,0,"",0,1,0,bgm_MC086,150690051,105690504,0,0,"",103331,90
