inc_step,id,interval_second,stock_min_step,max_count,reward_id,stock_mid_step,level,reward_type
1,1,21600,"",2,23001,"",1,2
1,1,19800,"",3,23001,"",2,2
1,1,18000,"",3,23001,"",3,2
1,1,16200,"",3,23001,"",4,2
1,1,14400,"",4,23001,"",5,2
1,1,12960,"",4,23001,"",6,2
1,1,11520,"",5,23001,"",7,2
1,1,10080,"",6,23001,"",8,2
1,1,8640,"",7,23001,"",9,2
1,1,7200,"",8,23001,"",10,2
1,1,5760,"",10,23001,"",11,2
1,1,5040,"",12,23001,"",12,2
1,1,4320,"",14,23001,"",13,2
2,1,7200,"",16,23001,"",14,2
2,1,5400,"",18,23001,"",15,2
2,1,5040,"",18,23001,"",16,2
2,1,4800,"",18,23001,"",17,2
2,1,4500,"",20,23001,"",18,2
2,1,4320,"",20,23001,"",19,2
3,1,6000,"",24,23001,"",20,2
3,1,5700,"",48,23001,"",21,2
3,1,5400,"",48,23001,"",22,2
3,1,5220,"",51,23001,"",23,2
3,1,4980,"",54,23001,"",24,2
3,1,4800,"",54,23001,"",25,2
3,1,4500,"",60,23001,"",26,2
3,1,4320,"",60,23001,"",27,2
3,1,4200,"",63,23001,"",28,2
4,1,5400,"",64,23001,"",29,2
4,1,5220,"",68,23001,"",30,2
4,1,5040,"",72,23001,"",31,2
4,1,4920,"",72,23001,"",32,2
4,1,4800,"",72,23001,"",33,2
4,1,4680,"",76,23001,"",34,2
20,2,21600,"",80,93001,"",1,6
24,2,21600,"",96,93001,"",2,6
28,2,21600,"",112,93001,"",3,6
30,2,21600,"",120,93001,"",4,6
32,2,21600,"",128,93001,"",5,6
34,2,21600,"",136,93001,"",6,6
36,2,21600,"",144,93001,"",7,6
38,2,21600,"",152,93001,"",8,6
40,2,21600,"",160,93001,"",9,6
42,2,21600,"",168,93001,"",10,6
44,2,21600,"",176,93001,"",11,6
46,2,21600,"",184,93001,"",12,6
48,2,21600,"",192,93001,"",13,6
50,2,21600,"",200,93001,"",14,6
52,2,21600,"",208,93001,"",15,6
54,2,21600,"",216,93001,"",16,6
56,2,21600,"",224,93001,"",17,6
58,2,21600,"",232,93001,"",18,6
60,2,21600,"",240,93001,"",19,6
62,2,21600,"",248,93001,"",20,6
64,2,21600,"",256,93001,"",21,6
66,2,21600,"",264,93001,"",22,6
68,2,21600,"",272,93001,"",23,6
70,2,21600,"",280,93001,"",24,6
72,2,21600,"",288,93001,"",25,6
74,2,21600,"",296,93001,"",26,6
76,2,21600,"",304,93001,"",27,6
78,2,21600,"",312,93001,"",28,6
80,2,21600,"",320,93001,"",29,6
82,2,21600,"",328,93001,"",30,6
84,2,21600,"",336,93001,"",31,6
85,2,21600,"",340,93001,"",32,6
86,2,21600,"",344,93001,"",33,6
87,2,21600,"",348,93001,"",34,6
1,3,14400,"",3,20001,"",1,2
1,3,9600,"",5,20001,"",2,2
1,3,7200,"",7,20001,"",3,2
1,3,5400,"",10,20001,"",4,2
1,3,3600,"",15,20001,"",5,2
1,3,9600,"",6,20002,"",6,2
1,3,7200,"",8,20002,"",7,2
1,3,4800,"",12,20002,"",8,2
1,3,3600,"",16,20002,"",9,2
1,3,2700,"",20,20002,"",10,2
1,3,10800,"",6,20003,"",11,2
1,3,9000,"",8,20003,"",12,2
1,3,7200,"",12,20003,"",13,2
1,3,5400,"",16,20003,"",14,2
1,3,3600,"",20,20003,"",15,2
1,3,2880,"",30,20003,"",16,2
1,3,12600,"",7,20004,"",17,2
1,3,11400,"",8,20004,"",18,2
1,3,10200,"",9,20004,"",19,2
1,3,9300,"",10,20004,"",20,2
1,3,8700,"",10,20004,"",21,2
1,3,6600,"",13,20004,"",22,2
1,3,6300,"",14,20004,"",23,2
1,3,6000,"",15,20004,"",24,2
1,3,5700,"",15,20004,"",25,2
1,3,5400,"",16,20004,"",26,2
1,3,5100,"",17,20004,"",27,2
1,3,4860,"",18,20004,"",28,2
1,3,4620,"",19,20004,"",29,2
1,3,4440,"",20,20004,"",30,2
1,3,4260,"",21,20004,"",31,2
1,3,4080,"",22,20004,"",32,2
1,3,3960,"",22,20004,"",33,2
1,3,3840,"",23,20004,"",34,2
3000,4,21600,"",12000,94002,"",1,12
4500,4,21600,"",18000,94002,"",2,12
6000,4,21600,"",24000,94002,"",3,12
7500,4,21600,"",30000,94002,"",4,12
10500,4,21600,"",42000,94002,"",5,12
13500,4,21600,"",54000,94002,"",6,12
16500,4,21600,"",66000,94002,"",7,12
21000,4,21600,"",84000,94002,"",8,12
25500,4,21600,"",102000,94002,"",9,12
30000,4,21600,"",120000,94002,"",10,12
36000,4,21600,"",144000,94002,"",11,12
42000,4,21600,"",168000,94002,"",12,12
48000,4,21600,"",192000,94002,"",13,12
55500,4,21600,"",222000,94002,"",14,12
63000,4,21600,"",252000,94002,"",15,12
70500,4,21600,"",282000,94002,"",16,12
79500,4,21600,"",318000,94002,"",17,12
88500,4,21600,"",354000,94002,"",18,12
97500,4,21600,"",390000,94002,"",19,12
108000,4,21600,"",432000,94002,"",20,12
118500,4,21600,"",474000,94002,"",21,12
129000,4,21600,"",516000,94002,"",22,12
140500,4,21600,"",562000,94002,"",23,12
150000,4,21600,"",600000,94002,"",24,12
160500,4,21600,"",642000,94002,"",25,12
171000,4,21600,"",684000,94002,"",26,12
181500,4,21600,"",726000,94002,"",27,12
192000,4,21600,"",768000,94002,"",28,12
202500,4,21600,"",810000,94002,"",29,12
213000,4,21600,"",852000,94002,"",30,12
223500,4,21600,"",894000,94002,"",31,12
230000,4,21600,"",920000,94002,"",32,12
235000,4,21600,"",940000,94002,"",33,12
240000,4,21600,"",960000,94002,"",34,12
12,5,21600,"",48,93001,"",1,6
12,6,21600,"",48,93001,"",1,6
12,7,21600,"",48,93001,"",1,6
12,8,21600,"",48,93001,"",1,6
12,11,21600,"",48,93001,"",1,6
12,12,21600,"",48,93001,"",1,6
12,19,21600,"",48,93001,"",1,6
1,23,0,4999999999,0,0,14999999999,0,0
12,25,21600,"",48,93001,"",1,6
12,28,21600,"",48,93001,"",1,6
12,30,21600,"",48,93001,"",1,6
