wheel_bonus_id_1,wheel_parts_id_3,wheel_bonus_id_2,weapon_bonus_id_2,gadget_bonus_id_1,member_id_2,weapon_bonus_id_3,background_id,member_id_1,stage_num,gadget_bonus_id_2,weapon_parts_id_3,solo_mode_id,body_bonus_id,leader_id,weapon_parts_id_1,wheel_bonus_id_3,wheel_parts_id_2,body_joint_id,gadget_parts_id_1,machine_name,weapon_bonus_id_1,gadget_parts_id_2,wheel_parts_id_1,body_parts_id,power,weapon_parts_id_2
0,0,0,0,0,0,0,1,0,1,0,0,1,0,201010,3010100,0,2010100,101,0,"프린세스 스트라이커 1호",0,0,2010100,1010101,0,0
0,0,0,0,0,0,0,1,0,2,0,0,2,0,201020,3050101,0,2010100,405,0,"어비스 판처 Mk-1",0,0,2020100,1040101,0,0
0,0,0,0,0,0,0,1,0,3,0,0,3,0,201030,3040100,0,2040100,315,0,"제1 콧코로마루",0,0,2040100,1030101,0,0
0,0,0,0,0,0,0,1,0,4,0,0,4,0,201040,3020101,0,2020100,211,0,"프로스트 액셀 싱글",0,0,2020100,1020101,0,0
0,0,0,0,0,0,0,1,0,5,0,0,5,0,201050,3030101,0,2040100,106,0,"용왕매진호 1식",0,0,2040100,1010101,0,0
0,0,0,0,0,0,0,1,0,6,0,0,6,0,201060,0,0,2020100,506,0,"붕붕 망치 1호",0,0,2020100,1050101,0,3040101
0,0,0,0,0,0,0,1,0,7,0,0,7,0,201070,3010101,0,2020100,315,0,"빅 타코야키마루 알파",0,0,2010100,1030101,0,0
0,2040100,0,0,0,0,0,1,0,8,0,0,8,0,201080,3010102,0,2040100,310,4030102,"로켓 판처 α",0,4030102,0,1030101,0,0
0,0,0,0,0,0,0,1,0,9,0,0,9,10501100,201090,3010100,0,0,501,0,"창뢰야전 제1계급",0,0,0,1050101,0,3010100
20301010,0,0,0,0,0,0,1,0,10,0,0,10,0,201100,3030101,0,2030100,102,4020102,"신시어리 휠러1",0,0,2030100,1010101,0,0
20301010,0,0,0,0,0,0,1,0,11,0,0,11,0,201110,3010101,0,0,103,0,"가비지 휠러1",0,0,2030100,1010101,0,0
20201010,0,0,0,0,0,0,1,0,12,0,0,12,0,201120,3040101,0,2020100,313,4030102,"브론즈 코로롱 군",0,0,2020100,1030101,0,0
20301030,0,20401030,0,0,0,0,1,0,13,0,0,13,10201050,201130,3020102,0,2040100,210,0,"컬티베이터 α",30202015,0,2030100,1020101,0,0
20201010,2020100,20201010,0,0,0,0,1,0,14,0,0,14,10401075,201140,3050102,20201010,2020100,406,0,"만화흑철 1식",30502015,0,2020100,1040101,0,0
0,0,0,0,0,0,0,2,0,15,0,0,15,0,201150,3010201,0,2040200,101,0,"프린세스 스트라이커 2호",0,0,2020200,1010201,0,0
0,0,0,0,0,0,0,2,0,16,0,0,16,0,201160,3050201,0,2010200,405,0,"어비스 판처 Mk-2",0,0,2020200,1040201,0,0
0,0,0,0,0,0,0,2,0,17,0,0,17,0,201170,3040201,0,2040200,315,0,"제2 콧코로마루",0,0,2040200,1030201,0,0
0,0,0,0,0,0,0,2,0,18,0,0,18,0,201180,3020201,0,2020200,211,0,"프로스트 액셀 더블",0,0,2020200,1020201,0,0
0,0,0,0,0,0,0,2,0,19,0,0,19,0,201190,3030201,0,2040200,106,0,"용왕매진호 2식",0,0,2040200,1010201,0,0
0,0,0,0,0,0,0,2,0,20,0,0,20,30102100,201200,0,0,2020200,506,0,"붕붕 망치 2호",0,0,2020200,1050201,0,3040201
0,0,0,0,0,0,0,2,0,21,0,0,21,0,201210,3010201,0,2020200,315,0,"빅 타코야키마루 베타",0,0,2010200,1030201,0,0
0,0,0,0,0,0,0,2,0,22,0,0,22,0,201220,3010202,0,2010200,202,4030202,"로켓 판처 β",0,0,2010200,1020201,0,0
0,0,0,0,0,0,0,2,0,23,0,0,23,10501100,201230,3010200,0,0,501,0,"창뢰야전 제2계급",0,0,0,1050201,0,3010200
20301010,0,0,0,0,0,0,2,0,24,0,0,24,0,201240,3030201,0,2030200,102,4020202,"신시어리 휠러2",0,0,2030200,1010201,0,0
20301010,0,0,0,0,0,0,2,0,25,0,0,25,0,201250,3010201,0,0,103,0,"가비지 휠러2",0,0,2030200,1010201,0,0
20201010,0,0,0,0,0,0,2,0,26,0,0,26,0,201260,3040201,0,2020200,313,4030202,"실버 코로롱 군",0,0,2020200,1030201,0,0
20301050,0,20401050,0,0,0,0,2,0,27,0,0,27,10201075,201270,3020201,0,2040200,210,0,"컬티베이터 β",30202025,0,2030200,1020201,0,0
20201025,2020200,20201025,0,0,0,0,2,0,28,0,0,28,10401100,201280,3050201,20201025,2020200,406,0,"만화흑철 2식",30502025,0,2020200,1040201,0,0
20101050,0,20101050,30302030,0,100010,0,2,100009,29,0,0,29,10301100,201290,3040202,0,2010200,301,0,"탱크 오브 메이든 Mk-1",30402030,0,2010200,1030200,0,3030202
20301100,0,20301100,30302030,0,0,0,2,100014,30,0,0,30,10101100,201300,3010202,0,2030200,113,0,"트윈즈 휠러",0,0,2030200,1010200,0,3030202
0,0,0,0,0,0,0,3,0,31,0,0,31,0,201310,3010301,0,2040300,101,0,"프린세스 스트라이커 3호",0,0,2020300,1010301,0,0
0,0,0,0,0,0,0,3,0,32,0,0,32,0,201320,3050301,0,2010300,405,0,"어비스 판처 Mk-3",0,0,2020300,1040301,0,0
0,0,0,0,0,0,0,3,0,33,0,0,33,0,201330,3040301,0,2040300,315,0,"제3 콧코로마루",0,0,2040300,1030301,0,0
0,0,0,0,0,0,0,3,0,34,0,0,34,0,201340,3020301,0,2020300,211,0,"프로스트 액셀 트리플",0,0,2020300,1020301,0,0
0,0,0,0,0,0,0,3,0,35,0,0,35,0,201350,3030301,0,2040300,106,0,"용왕매진호 3식",0,0,2040300,1010301,0,0
0,0,0,0,0,0,0,3,0,36,0,0,36,0,201360,0,0,2020300,506,0,"붕붕 망치 3호",0,0,2020300,1050301,0,3040301
0,0,0,0,0,0,0,3,0,37,0,0,37,0,201370,3010301,0,2020300,315,0,"빅 타코야키마루 감마",0,0,2010300,1030301,0,0
0,0,0,0,0,0,0,3,0,38,0,0,38,0,201380,3010302,0,2010300,202,4030302,"로켓 판처 γ",0,0,2010300,1020301,0,0
0,0,0,0,0,0,0,3,0,39,0,0,39,0,201390,3010300,0,0,501,0,"창뢰야전 제3계급",0,0,0,1050301,0,3010300
20301010,0,0,0,0,0,0,3,0,40,0,0,40,0,201400,3030301,0,2030300,102,4020302,"신시어리 휠러3",0,0,2030300,1010301,0,0
20301010,0,0,0,0,0,0,3,0,41,0,0,41,0,201410,3010301,0,0,103,0,"가비지 휠러3",0,0,2030300,1010301,0,0
20201010,0,0,0,0,0,0,3,0,42,0,0,42,0,201420,3040301,0,2020300,313,4030302,"블랙 코로롱 군",0,0,2020300,1030301,0,0
20301030,0,20401030,0,0,0,0,3,0,43,0,0,43,10201075,201430,3020300,0,2040300,210,0,"컬티베이터 γ",0,0,2030300,1020301,0,3030300
20201100,0,20201100,30202050,0,0,0,3,0,44,0,0,44,10401100,201440,3050301,0,2020300,412,0,"만화흑철 3식",30502050,0,2020300,1040301,0,3020300
20101075,0,20201075,0,0,0,0,3,100005,45,0,0,45,10101075,201450,3010301,0,2020300,111,0,"플레이 앤드 프레데터",30102050,0,2010300,1010301,0,3010301
20201100,0,20401100,10301100,0,0,0,3,100007,46,0,0,46,10301100,201460,3040300,0,2040300,301,0,"슈투름 운트 드랑크",30402050,0,2020300,1030301,0,3020300
20401100,0,20401100,30302015,0,100010,0,3,100009,47,0,3040300,47,10501075,201470,3010301,0,2040300,515,0,"탱크 오브 메이든 Mk-2",30102015,0,2040300,1050301,0,3030300
20101100,0,20201100,30402015,20201100,0,0,1,100011,48,0,0,48,10501100,201480,3020302,0,2020300,506,4030302,"크로캉부슈 캐슬",30202015,0,2010300,1050300,0,3040302
20201100,2020300,20201100,0,30202100,0,0,2,100016,49,0,0,49,20201100,201490,3020302,20201100,2020300,409,4020302,"검은 가시 돋친 폭주 차량",30202100,0,2020300,1040300,0,0
20101100,0,20101100,30202050,0,100017,0,3,100012,50,0,0,50,10101100,201500,3010301,0,2010300,115,0,"트라이던트 센츄리온",30102050,0,2010300,1010301,0,3020302
