wave_group_id,enemy_id_5,enemy_id_2,enemy_id_4,enemy_id_3,enemy_id_1
750000011,0,0,0,0,750000101
750000021,0,0,0,0,750000201
750000031,0,0,0,0,750000301
750000041,0,0,0,0,750000401
750000051,0,0,0,0,750000501
750000061,0,0,0,0,750000601
750000071,0,0,0,0,750000701
750000081,0,0,0,0,750000801
750000091,0,0,0,0,750000901
750000101,0,0,0,0,750001001
750000111,0,0,0,0,750001101
750000121,0,0,0,0,750001201
760100011,0,0,0,0,760100101
760100021,0,0,0,0,760100201
760100031,0,0,0,0,760100301
760100041,0,0,0,0,760100401
760100051,0,0,0,0,760100501
760200011,0,0,0,0,760200101
760200021,0,0,0,0,760200201
760200031,0,0,0,0,760200301
760200041,0,0,0,0,760200401
760200051,0,0,0,0,760200501
