id,story_id,cue_name,seek_time,command_param,start_pos,type,command,sheet_name,seq_num,end_pos,line_num
100980101,1009801,0,0.0,0.8,0,4,1,0,1,0,0
100980102,1009801,vo_lsv_0101,0.0,0.0,0,2,0,vo_lsv,2,0,0
100980103,1009801,0,2.0,0.0,0,1,0,0,3,300,1
100980104,1009801,0,0.0,2.3,0,4,1,0,4,0,0
100980105,1009801,0,2.0,0.0,0,1,0,0,5,280,2
100980106,1009801,0,0.0,3.0,0,4,1,0,6,0,0
100980107,1009801,vo_lsv_0102,0.0,0.0,0,2,0,vo_lsv,7,0,0
100980108,1009801,0,2.05,0.0,0,1,0,0,8,300,3
100980109,1009801,0,0.0,2.05,0,4,1,0,9,0,0
100980110,1009801,0,1.8,0.0,0,1,0,0,10,327,4
100980111,1009801,0,0.0,2.8,0,4,1,0,11,0,0
100980112,1009801,vo_lsv_0103,0.0,0.0,0,2,0,vo_lsv,12,0,0
100980113,1009801,0,2.3,0.0,0,1,0,0,13,300,5
100980114,1009801,0,0.0,2.5,0,4,1,0,14,0,0
100980115,1009801,0,1.9,0.0,0,1,0,0,15,275,6
100980116,1009801,0,0.0,2.9,0,4,1,0,16,0,0
100980117,1009801,vo_lsv_0104,0.0,0.0,0,2,0,vo_lsv,17,0,0
100980118,1009801,0,2.7,0.0,0,1,0,0,18,300,7
100980119,1009801,0,0.0,2.9,0,4,1,0,19,0,0
100980120,1009801,0,2.3,0.0,0,1,0,0,20,310,8
100980121,1009801,0,0.0,2.3,0,4,1,0,21,0,0
100980122,1009801,0,1.8,0.0,0,1,0,0,22,250,9
100980123,1009801,0,0.0,2.8,0,4,1,0,23,0,0
100980124,1009801,vo_lsv_0105,0.0,0.0,0,2,0,vo_lsv,24,0,0
100980125,1009801,0,2.5,0.0,0,1,0,0,25,320,10
100980126,1009801,0,0.0,2.5,0,4,1,0,26,0,0
100980127,1009801,0,0.7,0.0,15,1,0,0,27,165,11
100980201,1009802,0,0.0,0.8,0,4,1,0,1,0,0
100980202,1009802,vo_lsv_0201,0.0,0.0,0,2,0,vo_lsv,2,0,0
100980203,1009802,0,1.51,0.0,0,1,0,0,3,300,1
100980204,1009802,0,0.0,1.51,0,4,1,0,4,0,0
100980205,1009802,0,1.5,0.0,0,1,0,0,5,300,2
100980206,1009802,0,0.0,2.5,0,4,1,0,6,0,0
100980207,1009802,vo_lsv_0202,0.0,0.0,0,2,0,vo_lsv,7,0,0
100980208,1009802,0,1.8,0.0,0,1,0,0,8,300,3
100980209,1009802,0,0.0,1.8,0,4,1,0,9,0,0
100980210,1009802,0,1.1,0.0,0,1,0,0,10,300,4
100980211,1009802,0,0.0,2.1,0,4,1,0,11,0,0
100980212,1009802,vo_lsv_0203,0.0,0.0,0,2,0,vo_lsv,12,0,0
100980213,1009802,0,1.95,0.0,0,1,0,0,13,300,5
100980214,1009802,0,0.0,1.95,0,4,1,0,14,0,0
100980215,1009802,0,2.05,0.0,0,1,0,0,15,310,6
100980216,1009802,0,0.0,2.05,0,4,1,0,16,0,0
100980217,1009802,0,0.8,0.0,0,1,0,0,17,150,7
100980218,1009802,0,0.0,1.8,0,4,1,0,18,0,0
100980219,1009802,vo_lsv_0204,0.0,0.0,0,2,0,vo_lsv,19,0,0
100980220,1009802,0,1.7,0.0,0,1,0,0,20,300,8
100980221,1009802,0,0.0,2.1,0,4,1,0,21,0,0
100980222,1009802,0,2.3,0.0,0,1,0,0,22,327,9
100980223,1009802,0,0.0,3.3,0,4,1,0,23,0,0
100980224,1009802,vo_lsv_0205,0.0,0.0,0,2,0,vo_lsv,24,0,0
100980225,1009802,0,1.83,0.0,0,1,0,0,25,300,10
100980226,1009802,0,0.0,2.4,0,4,1,0,26,0,0
100980227,1009802,0,1.7,0.0,0,1,0,0,27,300,11
100980228,1009802,0,0.0,2.1,0,4,1,0,28,0,0
100980229,1009802,0,1.1,0.0,0,1,0,0,29,210,12
100980230,1009802,0,0.0,0.5,0,4,1,0,30,0,0
100980301,1009803,0,0.0,0.8,0,4,1,0,1,0,0
100980302,1009803,vo_lsv_0301,0.0,0.0,0,2,0,vo_lsv,2,0,0
100980303,1009803,0,1.87,0.0,0,1,0,0,3,300,1
100980304,1009803,0,0.0,2.0,0,4,1,0,4,0,0
100980305,1009803,0,0.561,0.0,0,1,0,0,5,110,2
100980306,1009803,0,0.0,1.561,0,4,1,0,6,0,0
100980307,1009803,vo_lsv_0302,0.0,0.0,0,2,0,vo_lsv,7,0,0
100980308,1009803,0,1.3,0.0,110,1,0,0,8,320,2
100980309,1009803,0,0.0,1.3,0,4,1,0,9,0,0
100980310,1009803,0,1.2,0.0,0,1,0,0,10,227,3
100980311,1009803,0,0.0,2.2,0,4,1,0,11,0,0
100980312,1009803,vo_lsv_0303,0.0,0.0,0,2,0,vo_lsv,12,0,0
100980313,1009803,0,2.1,0.0,0,1,0,0,13,280,4
100980314,1009803,0,0.0,2.1,0,4,1,0,14,0,0
100980315,1009803,0,1.2,0.0,0,1,0,0,15,195,5
100980316,1009803,0,0.0,2.2,0,4,1,0,16,0,0
100980317,1009803,vo_lsv_0304,0.0,0.0,0,2,0,vo_lsv,17,0,0
100980318,1009803,0,1.305,0.0,0,1,0,0,18,300,6
100980319,1009803,0,0.0,1.305,0,4,1,0,19,0,0
100980320,1009803,0,2.181,0.0,0,1,0,0,20,325,7
100980321,1009803,0,0.0,2.781,0,4,1,0,21,0,0
100980322,1009803,0,1.32,0.0,0,1,0,0,22,250,8
100980323,1009803,0,0.0,2.32,0,4,1,0,23,0,0
100980324,1009803,vo_lsv_0305,0.0,0.0,0,2,0,vo_lsv,24,0,0
100980325,1009803,0,2.453,0.0,0,1,0,0,25,300,9
100980326,1009803,0,0.0,2.453,0,4,1,0,26,0,0
100980327,1009803,0,1.547,0.0,0,1,0,0,27,215,10
100980328,1009803,0,0.0,2.547,0,4,1,0,28,0,0
100980329,1009803,vo_lsv_0306,0.0,0.0,0,2,0,vo_lsv,29,0,0
100980330,1009803,0,1.95,0.0,0,1,0,0,30,300,11
100980331,1009803,0,0.0,2.95,0,4,1,0,31,0,0
100980332,1009803,vo_lsv_0307,0.0,0.0,0,2,0,vo_lsv,32,0,0
100980333,1009803,0,1.39,0.0,0,1,0,0,33,240,12
100980401,1009804,0,0.0,0.8,0,4,1,0,1,0,0
100980402,1009804,vo_lsv_0401,0.0,0.0,0,2,0,vo_lsv,2,0,0
100980403,1009804,0,2.4,0.0,0,1,0,0,3,300,1
100980404,1009804,0,0.0,2.4,0,4,1,0,4,0,0
100980405,1009804,0,0.6,0.0,0,1,0,0,5,150,2
100980406,1009804,0,0.0,1.6,0,4,1,0,6,0,0
100980407,1009804,vo_lsv_0402,0.0,0.0,0,2,0,vo_lsv,7,0,0
100980408,1009804,0,2.35,0.0,0,1,0,0,8,355,3
100980409,1009804,0,0.0,3.35,0,4,1,0,9,0,0
100980410,1009804,vo_lsv_0403,0.0,0.0,0,2,0,vo_lsv,10,0,0
100980411,1009804,0,1.669,0.0,0,1,0,0,11,300,4
100980412,1009804,0,0.0,2.1,0,4,1,0,12,0,0
100980413,1009804,0,1.7,0.0,0,1,0,0,13,230,5
100980414,1009804,0,0.0,2.0,0,4,1,0,14,0,0
100980415,1009804,0,1.35,0.0,0,1,0,0,15,230,6
100980416,1009804,0,0.0,2.85,0,4,1,0,16,0,0
100980417,1009804,vo_lsv_0404,0.0,0.0,0,2,0,vo_lsv,17,0,0
100980418,1009804,0,1.51,0.0,0,1,0,0,18,327,7
100980419,1009804,0,0.0,1.61,0,4,1,0,19,0,0
100980420,1009804,0,1.29,0.0,0,1,0,0,20,300,8
100980421,1009804,0,0.0,1.949,0,4,1,0,21,0,0
100980422,1009804,0,1.925,0.0,0,1,0,0,22,300,9
100980501,1009805,0,0.0,0.8,0,4,1,0,1,0,0
100980502,1009805,vo_lsv_0501,0.0,0.0,0,2,0,vo_lsv,2,0,0
100980503,1009805,0,2.115,0.0,0,1,0,0,3,300,1
100980504,1009805,0,0.0,3.115,0,4,1,0,4,0,0
100980505,1009805,vo_lsv_0502,0.0,0.0,0,2,0,vo_lsv,5,0,0
100980506,1009805,0,1.743,0.0,0,1,0,0,6,310,2
100980507,1009805,0,0.0,2.743,0,4,1,0,7,0,0
100980508,1009805,vo_lsv_0503,0.0,0.0,0,2,0,vo_lsv,8,0,0
100980509,1009805,0,1.86,0.0,0,1,0,0,9,300,3
100980510,1009805,0,0.0,2.26,0,4,1,0,10,0,0
100980511,1009805,0,1.667,0.0,0,1,0,0,11,300,4
100980512,1009805,0,0.0,2.324,0,4,1,0,12,0,0
100980513,1009805,0,2.168,0.0,0,1,0,0,13,310,5
100980514,1009805,0,0.0,3.168,0,4,1,0,14,0,0
100980515,1009805,vo_lsv_0504,0.0,0.0,0,2,0,vo_lsv,15,0,0
100980516,1009805,0,1.752,0.0,0,1,0,0,16,300,6
100980517,1009805,0,0.0,2.276,0,4,1,0,17,0,0
100980518,1009805,0,1.43,0.0,0,1,0,0,18,300,7
100980519,1009805,0,0.0,1.43,0,4,1,0,19,0,0
100980520,1009805,0,0.749,0.0,0,1,0,0,20,125,8
100980521,1009805,0,0.0,1.749,0,4,1,0,21,0,0
100980522,1009805,vo_lsv_0505,0.0,0.0,0,2,0,vo_lsv,22,0,0
100980523,1009805,0,0.65,0.0,125,1,0,0,23,300,8
100980524,1009805,0,0.0,0.65,0,4,1,0,24,0,0
100980525,1009805,0,1.753,0.0,0,1,0,0,25,300,9
100980526,1009805,0,0.0,1.753,0,4,1,0,26,0,0
100980527,1009805,0,0.929,0.0,0,1,0,0,27,160,10
100980528,1009805,0,0.0,1.929,0,4,1,0,28,0,0
100980529,1009805,vo_lsv_0506,0.0,0.0,0,2,0,vo_lsv,29,0,0
100980530,1009805,0,0.536,0.0,160,1,0,0,30,300,10
100980531,1009805,0,0.0,0.536,0,4,1,0,31,0,0
100980532,1009805,0,1.438,0.0,0,1,0,0,32,327,11
100980533,1009805,0,0.0,1.438,0,4,1,0,33,0,0
100980534,1009805,0,2.426,0.0,0,1,0,0,34,300,12
100980601,1009806,0,0.0,0.8,0,4,1,0,1,0,0
100980602,1009806,vo_lsv_0601,0.0,0.0,0,2,0,vo_lsv,2,0,0
100980603,1009806,0,2.5,0.0,0,1,0,0,3,330,1
100980604,1009806,0,0.0,2.5,0,4,1,0,4,0,0
100980605,1009806,0,1.5,0.0,0,1,0,0,5,270,2
100980606,1009806,0,0.0,2.5,0,4,1,0,6,0,0
100980607,1009806,vo_lsv_0602,0.0,0.0,0,2,0,vo_lsv,7,0,0
100980608,1009806,0,1.9,0.0,0,1,0,0,8,325,3
100980609,1009806,0,0.0,1.9,0,4,1,0,9,0,0
100980610,1009806,0,1.744,0.0,0,1,0,0,10,300,4
100980611,1009806,0,0.0,2.329,0,4,1,0,11,0,0
100980612,1009806,0,1.049,0.0,0,1,0,0,12,300,5
100980613,1009806,0,0.0,1.049,0,4,1,0,13,0,0
100980614,1009806,0,1.093,0.0,0,1,0,0,14,210,6
100980615,1009806,0,0.0,2.093,0,4,1,0,15,0,0
100980616,1009806,vo_lsv_0603,0.0,0.0,0,2,0,vo_lsv,16,0,0
100980617,1009806,0,1.9,0.0,0,1,0,0,17,300,7
100980618,1009806,0,0.0,1.9,0,4,1,0,18,0,0
100980619,1009806,0,2.4,0.0,0,1,0,0,19,300,8
100980620,1009806,0,0.0,2.4,0,4,1,0,20,0,0
100980621,1009806,0,1.65,0.0,0,1,0,0,21,300,9
100980622,1009806,0,0.0,2.65,0,4,1,0,22,0,0
100980623,1009806,vo_lsv_0604,0.0,0.0,0,2,0,vo_lsv,23,0,0
100980624,1009806,0,1.763,0.0,0,1,0,0,24,300,10
100980625,1009806,0,0.0,1.763,0,4,1,0,25,0,0
100980626,1009806,0,1.308,0.0,0,1,0,0,26,205,11
100980627,1009806,0,0.0,2.308,0,4,1,0,27,0,0
100980628,1009806,vo_lsv_0605,0.0,0.0,0,2,0,vo_lsv,28,0,0
100980629,1009806,0,1.0,0.0,205,1,0,0,29,320,11
100980630,1009806,0,0.0,1.0,0,4,1,0,30,0,0
100980631,1009806,0,1.853,0.0,0,1,0,0,31,270,12
100980701,1009807,0,0.0,0.8,0,4,1,0,1,0,0
100980702,1009807,vo_lsv_0701,0.0,0.0,0,2,0,vo_lsv,2,0,0
100980703,1009807,0,1.355,0.0,0,1,0,0,3,300,1
100980704,1009807,0,0.0,1.355,0,4,1,0,4,0,0
100980705,1009807,0,1.126,0.0,0,1,0,0,5,300,2
100980706,1009807,0,0.0,1.126,0,4,1,0,6,0,0
100980707,1009807,0,1.641,0.0,0,1,0,0,7,300,3
100980708,1009807,0,0.0,2.0,0,4,1,0,8,0,0
100980709,1009807,vo_lsv_0702,0.0,0.0,0,2,0,vo_lsv,9,0,0
100980710,1009807,0,1.325,0.0,0,1,0,0,10,300,4
100980711,1009807,0,0.0,1.325,0,4,1,0,11,0,0
100980712,1009807,0,1.891,0.0,0,1,0,0,12,327,5
100980713,1009807,0,0.0,2.437,0,4,1,0,13,0,0
100980714,1009807,0,1.93,0.0,0,1,0,0,14,327,6
100980715,1009807,0,0.0,2.93,0,4,1,0,15,0,0
100980716,1009807,vo_lsv_0703,0.0,0.0,0,2,0,vo_lsv,16,0,0
