id,pkb_score,mission_detail,reward_type_1,reward_id_1,reward_count_1,reward_type_2,reward_id_2,reward_count_2,reward_type_3,reward_id_3,reward_count_3,reward_type_4,reward_id_4,reward_count_4,reward_type_5,reward_id_5,reward_count_5
1,2000,"누적 점수 2,000점을 획득하자",12,94002,20000,0,0,0,0,0,0,0,0,0,0,0,0
2,4000,"누적 점수 4,000점을 획득하자",12,94002,30000,0,0,0,0,0,0,0,0,0,0,0,0
3,8000,"누적 점수 8,000점을 획득하자",8,91002,25,0,0,0,0,0,0,0,0,0,0,0,0
4,10000,"누적 점수 10,000점을 획득하자",12,94002,40000,0,0,0,0,0,0,0,0,0,0,0,0
5,12000,"누적 점수 12,000점을 획득하자",12,94002,50000,0,0,0,0,0,0,0,0,0,0,0,0
6,14000,"누적 점수 14,000점을 획득하자",2,23001,20,0,0,0,0,0,0,0,0,0,0,0,0
7,18000,"누적 점수 18,000점을 획득하자",8,91002,50,0,0,0,0,0,0,0,0,0,0,0,0
8,21000,"누적 점수 21,000점을 획득하자",12,94002,70000,0,0,0,0,0,0,0,0,0,0,0,0
9,24000,"누적 점수 24,000점을 획득하자",12,94002,80000,0,0,0,0,0,0,0,0,0,0,0,0
10,27000,"누적 점수 27,000점을 획득하자",8,91002,75,0,0,0,0,0,0,0,0,0,0,0,0
11,35000,"누적 점수 35,000점을 획득하자",2,23001,50,0,0,0,0,0,0,0,0,0,0,0,0
12,40000,"누적 점수 40,000점을 획득하자",8,91002,100,0,0,0,0,0,0,0,0,0,0,0,0
13,45000,"누적 점수 45,000점을 획득하자",12,94002,100000,0,0,0,0,0,0,0,0,0,0,0,0
14,50000,"누적 점수 50,000점을 획득하자",15,11001086,1,0,0,0,0,0,0,0,0,0,0,0,0
