pos_x,scale,pos_y,id
-354.0,1.6,938.0,100101
-499.0,1.6,952.0,100201
-523.0,1.6,1014.0,100301
-488.0,1.6,894.0,100401
-628.0,1.6,980.0,100601
-573.0,1.6,983.0,100701
-544.0,1.6,1019.0,100801
-510.0,1.6,985.0,100901
-660.0,1.6,1115.0,101001
-415.0,1.6,1128.0,101101
-589.0,1.6,1042.0,101201
-501.0,1.6,1050.0,101601
-598.0,1.6,1038.0,101701
-356.0,1.6,985.0,101801
-494.0,1.6,1114.0,102001
-392.0,1.6,1003.0,102101
-407.0,1.6,1057.0,102201
-388.0,1.6,997.0,102501
-490.0,1.6,1090.0,102701
-554.0,1.6,987.0,102801
-526.0,1.6,976.0,102901
-879.0,1.6,994.0,103001
-560.0,1.6,1056.0,103101
-453.0,1.6,1018.0,103301
-345.0,1.6,1017.0,103401
-674.0,1.6,961.0,103801
-499.0,1.6,1095.0,104001
-521.0,1.6,955.0,104201
-581.0,1.6,1079.0,104301
-538.0,1.6,980.0,104501
-364.0,1.6,954.0,104601
-777.0,1.6,1107.0,104801
-795.0,1.6,973.0,104901
-492.0,1.6,1122.0,105001
-607.0,1.6,1035.0,105201
-490.0,1.6,885.0,105301
