area_name,map_type,area_id,sheet_id,start_time,area_display_name,end_time,que_id
"1. 주노 평야",101,11001,bgm_M61,"2015/12/17 15:00:00","1 주노 평야","2030/12/17 14:59:59",bgm_M61
"2. 팔라스 고원",101,11002,bgm_M61,"2015/12/17 15:00:00","2 팔라스 고원","2030/12/17 14:59:59",bgm_M61_02
"3. 헤베 구릉",101,11003,bgm_M61,"2015/12/17 15:00:00","3 헤베 구릉","2030/12/17 14:59:59",bgm_M61_03
"4. 베스타 계곡",101,11004,bgm_M61,"2015/12/17 15:00:00","4 베스타 계곡","2030/12/17 14:59:59",bgm_M61_04
"5. 케레스 삼림",101,11005,bgm_M62,"2015/12/17 15:00:00","5 케레스 삼림","2030/12/17 14:59:59",bgm_M62_01
"6. 플로라 호수",101,11006,bgm_M62,"2015/12/17 15:00:00","6 플로라 호수","2030/12/17 14:59:59",bgm_M62_02
"7. 메티스 대폭포",101,11007,bgm_M62,"2015/12/17 15:00:00","7 메티스 대폭포","2030/12/17 14:59:59",bgm_M62_03
"8. 이리스 밀림",101,11008,bgm_M42,"2015/12/17 15:00:00","8 이리스 밀림","2030/12/17 14:59:59",bgm_M42_02
"9. 프리가 설원",101,11009,bgm_M58,"2015/12/17 15:00:00","9 프리가 설원","2030/12/17 14:59:59",bgm_M58
"10. 로레타 해안",101,11010,bgm_M101,"2015/12/17 15:00:00","10 로레타 해안","2030/12/17 14:59:59",bgm_M101
"11. 게누아 사막",101,11011,bgm_M93,"2015/12/17 15:00:00","11 게누아 사막","2030/12/17 14:59:59",bgm_M93
"12. 보노니아 사구",101,11012,bgm_M94,"2015/12/17 15:00:00","12 보노니아 사구","2030/12/17 14:59:59",bgm_M94
"13. 도로테아 습지",101,11013,bgm_M118,"2015/12/17 15:00:00","13 도로테아 습지","2030/12/17 14:59:59",bgm_M118
"14. 외제니아 열대 지방",101,11014,bgm_M95,"2015/12/17 15:00:00","14 외제니아 열대 지방","2030/12/17 14:59:59",bgm_M95
"15. 탈리아 화산",101,11015,bgm_M96,"2015/12/17 15:00:00","15 탈리아 화산","2030/12/17 14:59:59",bgm_M96
"16. 테미스 설산",101,11016,bgm_M140,"2015/12/17 15:00:00","16 테미스 설산","2030/12/17 14:59:59",bgm_M140
"17. 피데스 빙원",101,11017,bgm_M141,"2015/12/17 15:00:00","17 피데스 빙원","2030/12/17 14:59:59",bgm_M141
"18. 파에톤 벌판ㆍ북부",102,11018,bgm_M179,"2015/12/17 15:00:00","18 파에톤\n   벌판ㆍ북부","2030/12/17 14:59:59",bgm_M179
