reward_lot_count_1,disp_reward_type_4,disp_reward_type_1,reward_group_id_3,reward_lot_count_4,disp_reward_id_3,enemy_id_5,drop_gold_2,enemy_id_3,reward_lot_count_5,disp_reward_type_2,disp_reward_type_5,reward_odds_1,drop_gold_3,disp_reward_id_5,disp_reward_id_4,enemy_id_2,enemy_id_1,disp_reward_id_1,reward_group_id_2,reward_odds_3,reward_odds_4,reward_lot_count_3,drop_gold_4,enemy_id_4,disp_reward_id_2,reward_group_id_1,wave_group_id,reward_odds_2,wave,reward_lot_count_2,reward_odds_5,disp_reward_type_3,drop_gold_1,drop_gold_5,reward_group_id_4,difficulty,reward_group_id_5
1,0,0,61001007,0,0,0,0,670110010,0,0,0,30,0,0,0,670300010,670090110,0,61001004,36,0,1,0,0,0,61001005,650002011,18,1,1,0,0,273,0,0,1,0
1,0,0,10011001,0,0,0,0,670390010,0,4,0,66,0,0,0,670300010,670120008,0,10011002,66,0,1,0,0,101011,10011003,650002012,66,2,1,0,0,273,0,0,1,0
1,0,4,10011004,0,0,0,0,670420010,0,0,0,66,0,0,0,670050009,670380009,101011,10011005,66,0,1,0,670230010,0,10011006,650002013,66,3,1,0,0,273,0,0,1,0
1,0,0,61001007,0,0,0,0,670440011,0,0,0,30,0,0,0,670060011,670370011,0,61001004,36,0,1,0,0,0,61001005,650002021,18,1,1,0,0,281,0,0,1,0
1,0,0,10011001,0,0,0,0,670080011,0,4,0,66,0,0,0,670210111,670330009,0,10011002,66,0,1,0,0,101011,10011003,650002022,66,2,1,0,0,281,0,0,1,0
1,0,4,10011004,0,0,0,0,670160011,0,0,0,66,0,0,0,670380110,670290111,101011,10011005,66,0,1,0,670340011,0,10011006,650002023,66,3,1,0,0,281,0,0,1,0
1,0,0,61001007,0,0,0,0,670130012,0,0,0,30,0,0,0,670090012,670060012,0,61001004,36,0,1,0,0,0,61001005,650002031,18,1,1,0,0,288,0,0,1,0
1,0,0,10011001,0,0,0,0,670070012,0,4,0,66,0,0,0,670300112,670090012,0,10011002,66,0,1,0,0,101011,10011003,650002032,66,2,1,0,0,288,0,0,1,0
1,0,4,10011004,0,0,0,0,670100012,0,0,0,66,0,0,0,670030012,670040011,101011,10011005,66,0,1,0,670210112,0,10011006,650002033,66,3,1,0,0,288,0,0,1,0
1,0,0,61001007,0,0,0,0,670020013,0,0,0,30,0,0,0,670280013,670030013,0,61001004,36,0,1,0,0,0,61001005,650002041,18,1,1,0,0,298,0,0,1,0
1,0,0,10011001,0,0,0,0,670390013,0,4,0,66,0,0,0,670300013,670120011,0,10011002,66,0,1,0,0,101011,10011003,650002042,66,2,1,0,0,298,0,0,1,0
