icon_id,enhance_level_id_3,node_id,enhance_level_id_4,enhance_level_id_5,noise_id,title_id,pos_x,pos_y,enhance_level_id_2,enhance_level_id_1,pre_node_id
11041,0,1,0,0,4,104,2,1,0,101,0
10141,0,2,0,0,2,14,3,2,0,201,1
11031,0,3,0,0,2,103,2,3,0,301,2
11021,0,4,0,0,1,102,1,4,0,401,3
11041,0,5,0,0,4,104,2,5,0,501,4
10011,0,6,0,0,1,1,3,6,0,601,5
11011,0,7,0,0,3,101,4,7,0,701,6
11001,0,8,0,0,1,100,3,8,0,801,7
11041,0,9,0,0,4,104,2,9,0,901,8
10011,0,10,0,0,2,1,3,10,0,1001,9
10511,0,11,0,0,1,51,4,11,0,1101,10
10521,0,12,0,0,2,52,3,12,0,1201,11
11041,0,13,0,0,4,104,2,13,0,1301,12
11031,0,14,0,0,1,103,1,14,0,1401,13
11021,0,15,0,0,1,102,2,15,0,1501,14
10011,0,16,0,0,1,1,3,16,0,1601,15
11041,0,17,0,0,4,104,2,17,0,1701,16
10501,0,18,0,0,2,50,3,18,0,1801,17
11011,0,19,0,0,3,101,4,19,0,1901,18
11001,0,20,0,0,2,100,3,20,0,2001,19
11041,0,21,0,0,4,104,2,21,0,2101,20
10011,0,22,0,0,3,1,1,22,0,2201,21
11001,0,23,0,0,2,100,3,23,0,2301,22
11011,0,24,0,0,2,101,2,24,0,2401,23
11041,0,25,0,0,4,104,3,25,0,2501,24
10501,0,26,0,0,3,50,4,26,0,2601,25
10521,0,27,0,0,3,52,3,27,0,2701,26
10501,0,28,0,0,1,50,1,28,0,2801,27
11041,0,29,0,0,4,104,2,29,0,2901,28
10511,0,30,0,0,3,51,1,30,0,3001,29
11001,0,31,0,0,2,100,2,31,0,3101,30
11011,0,32,0,0,1,101,3,32,0,3201,31
11041,0,33,0,0,4,104,4,33,0,3301,32
11001,0,34,0,0,3,100,3,34,0,3401,33
11041,0,35,0,0,4,104,2,35,0,3501,34
11031,0,36,0,0,2,103,3,36,0,3601,35
11021,0,37,0,0,1,102,2,37,0,3701,36
10501,0,38,0,0,2,50,1,38,0,3801,37
11021,0,39,0,0,3,102,3,39,0,3901,38
11041,0,40,0,0,4,104,4,40,0,4001,39
11001,0,41,0,0,1,100,3,41,0,4101,40
10521,0,42,0,0,3,52,2,42,0,4201,41
11041,0,43,0,0,4,104,1,43,0,4301,42
11031,0,44,0,0,1,103,2,44,0,4401,43
11041,0,45,0,0,4,104,1,45,0,4501,44
11011,0,46,0,0,3,101,3,46,0,4601,45
11021,0,47,0,0,1,102,4,47,0,4701,46
11041,0,48,0,0,4,104,2,48,0,4801,47
11031,0,49,0,0,2,103,3,49,0,4901,48
11041,0,50,0,0,4,104,2,50,0,5001,49
11011,0,51,0,0,2,101,1,51,0,5101,50
11021,0,52,0,0,3,102,2,52,0,5201,51
11041,0,53,0,0,4,104,3,53,0,5301,52
10521,0,54,0,0,1,52,4,54,0,5401,53
11031,0,55,0,0,3,103,3,55,0,5501,54
11041,0,56,0,0,4,104,4,56,0,5601,55
11001,0,57,0,0,1,100,2,57,0,5701,56
11011,0,58,0,0,3,101,3,58,0,5801,57
11031,0,59,0,0,2,103,4,59,0,5901,58
11041,0,60,0,0,4,104,3,60,0,6001,59
11021,0,61,0,0,1,102,1,61,0,6101,60
10501,0,62,0,0,3,50,2,62,0,6201,61
11041,0,63,0,0,4,104,1,63,0,6301,62
11031,0,64,0,0,2,103,2,64,0,6401,63
11021,0,65,0,0,1,102,3,65,0,6501,64
11041,0,66,0,0,4,104,2,66,0,6601,65
