choice_4,image_id_2,image_id_4,is_correct_4,choice_2,asm_id,is_correct_2,is_correct_1,is_correct_3,choice_1,image_id_3,choice_3,image_id_1
"개",0,0,0,"돼지",3110001,1,1,0,"늑대",0,"사슴",0
"사",0,0,0,"이",3110002,1,1,0,"일",0,"삼",0
"七",0,0,0,"九",3110003,1,1,1,"十",0,"八",0
"우유",0,0,0,"가온누리",3110004,1,1,0,"예그리나",0,"초원",0
"우물우물",0,0,0,"따가닥따가닥",3110006,1,1,0,"훌쩍훌쩍",0,"우걱우걱",0
"싹뚝싹뚝",0,0,0,"두근두근",3110007,1,1,0,"콩닥콩닥",0,"아삭아삭",0
"口",0,0,0,"十",3110009,1,0,1,"田",0,"木",0
"따라서",0,0,0,"하지만",3110010,1,1,0,"그러나",0,"그래서",0
"일일이",0,0,0,"뵈요",3110011,1,1,0,"쉬림프",0,"얻다 대고",0
"自(자)",0,0,0,"鼻(목)",3110012,1,1,0,"身(이)",0,"地(지)",0
"나",0,0,0,"바",3110013,1,1,0,"마",0,"가",0
"火",0,0,0,"金",3110015,1,1,0,"土",0,"月",0
"퀸",0,0,0,"스트라이크",3111001,1,1,0,"프린세스",0,"블레이드",0
"익스플로션",0,0,0,"올",3111002,1,1,0,"힐",0,"어택",0
J,0,0,1,G,3120001,0,1,0,F,0,H,0
"부화뇌동",0,0,0,"부창부수",3120002,1,1,0,"부부지정",0,"부랴부랴",0
"용",0,0,0,"하",3120006,1,1,1,"극",0,"상",0
"지",0,0,0,"왕",3120007,1,1,1,"성",0,"천",0
"탐욕가",0,0,0,"공상가",3120008,1,1,1,"몽상가",0,"야심가",0
"단풍",0,0,0,"모기",3120010,1,1,0,"수박",0,"함박눈",0
"사절",0,0,1,"파도",3120011,0,1,1,"사철",0,"사서",0
"도",0,0,0,"과",3120012,1,1,0,"서",0,"포",0
"범에 날개",0,0,0,"돼지 목에 진주 목걸이",3120013,1,1,1,"짚신에 분 바르기",0,"개 발에 편자",0
"신비",0,0,0,"소비",3120014,0,1,1,"가랑비",0,"여우비",0
"영하",0,0,1,"바닥",3120015,1,0,1,"축하",0,"지하",0
"죽다",0,0,0,"먹다",3120016,0,1,1,"말씀드리다",0,"여쭙다",0
"망할 안경",0,0,0,"망할 고양이",3121001,1,1,0,"로리타 할망구",0,"망할 엘프",0
"아발론",0,0,0,"크리에이션",3121002,1,1,0,"오브젝트",0,"미러",0
"우비",0,0,0,"백일홍",3130001,1,1,0,"아도니스",0,"고비",0
"농어",0,0,1,"문어",3130002,0,1,1,"추어",0,"갈치",0
"부화뇌동",0,0,0,"대기만성",3130004,1,1,0,"마부위침",0,"근하신년",0
"주경야독",0,0,0,"반포지효",3130005,1,1,0,"결초보은",0,"회자정리",0
"단도직입",0,0,0,"가인박명",3130006,1,1,1,"경국지색",0,"절세미인",0
"흥미심심",0,0,0,"삼위일체",3130007,1,1,1,"이심전심",0,"의기소침",0
"낙락하다",0,0,0,"열없다",3130010,1,1,1,"담소하다",0,"소담하다",0
"독",0,0,0,"진",3130011,1,1,1,"배",0,"수",0
"유족하다",0,0,0,"무익하다",3130013,1,1,1,"부질없다",0,"무소가취하다",0
"허약함",0,0,0,"건강함",3130014,1,1,0,"근면함",0,"게으름",0
"코스모스",0,0,0,"벚꽃",3130016,1,1,0,"개나리",0,"수국",0
"명공",0,0,0,"혈맹",3131001,1,1,0,"연옥",0,"전기",0
"망상",0,0,0,"트랜스",3131002,1,1,0,"엑스터시",0,"트립",0
"무",0,0,0,"가지",3210001,1,1,1,"토마토",0,"오이",0
"심장",0,0,0,"신장",3210002,1,1,0,"폐",0,"간장",0
"분위기",0,0,0,"배출기",3210003,1,1,1,"호흡기",0,"순환기",0
"말미잘",0,0,0,"문어",3210005,1,1,0,"오징어",0,"해삼",0
"나무늘보",0,0,0,"코알라",3210006,1,1,0,"캥거루",0,"멧돼지",0
"골뱅이",0,0,0,"내장산띠",3210008,1,1,0,"명주",0,"색팽이",0
"양귀비",0,0,0,"배추흰나비",3210009,1,1,0,"노랑나비",0,"잔나비",0
"엄지",0,0,0,"중지",3210010,1,1,0,"계지",0,"검지",0
"D형",0,0,0,"B형",3210011,1,1,0,"A형",0,"C형",0
"새우",0,0,0,"대합",3210013,1,1,0,"바지락",0,"소라게",0
"늑대",0,0,0,"말",3210014,1,1,0,"토끼",0,"사자",0
"코알라",0,0,0,"사슴",3210015,1,1,0,"코뿔소",0,"곰",0
"사렌",0,0,0,"하츠네",3211001,1,1,0,"스즈나",0,"미소기",0
"미후유",0,0,0,"카야",3211002,1,1,1,"호마레",0,"이노리",0
"소금쟁이",0,0,0,"거미",3220001,1,1,0,"지네",0,"개미",0
"사람",0,0,0,"지렁이",3220002,1,1,0,"메뚜기",0,"개구리",0
"초롱아귀",0,0,0,"볼락",3220003,1,1,0,"쥐치",0,"날치",0
"송사리",0,0,0,"베타",3220006,1,1,0,"구피",0,"금붕어",0
"민들레",0,0,0,"히아신스",3220007,1,1,0,"튤립",0,"해바라기",0
"백상아리",0,0,0,"향유",3220009,1,1,1,"북태평양참",0,"대왕",0
"너구리",0,0,0,"두루미",3220011,1,1,0,"따오기",0,"동박새",0
"사과",0,0,0,"멜론",3220012,1,1,1,"수박",0,"딸기",0
"산소",0,0,0,"빛",3220013,1,1,1,"물",0,"이산화탄소",0
"철써기",0,0,0,"물벼룩",3220014,1,1,1,"해캄",0,"좁쌀공말",0
"소말리",0,0,0,"퍼그",3220015,1,1,1,"치와와",0,"시츄",0
"유글레나",0,0,0,"박각시나방",3220016,1,1,0,"애벌레",0,"갯강구",0
"쿄우카",0,0,0,"미미",3221001,1,1,0,"모니카",0,"유카리",0
"하츠네",0,0,0,"시오리",3221002,1,1,1,"토모",0,"모니카",0
"사자",0,0,0,"양",3230001,1,1,0,"소",0,"쥐",0
"호랑이",0,0,1,"살쾡이",3230004,1,0,1,"괭이갈매기",0,"사자",0
"신경질",0,0,0,"에나멜질",3230005,1,1,1,"상아질",0,"시멘트질",0
"퍼핀",0,0,0,"휘파람새",3230006,1,1,1,"울새",0,"큰유리새",0
"부레옥잠",0,0,0,"금잔화",3230007,1,1,1,"코스모스",0,"달리아",0
