comment_id,where_type,pos_x,pos_y,start_time,character_id,character_name,face_type,change_face_time,voice_id,end_time,description,change_face_type,event_id
100,24,0.0,0.0,"2025/04/30 15:00:00",129901,"에리코",1,10.85,100,"2030/12/17 14:59:59","훈련 성공, 축하합니다\n칭찬해야 할 때 제대로 칭찬하는 것도\n교관의 의무죠. 아니면,\n욕을 먹는 걸 더 좋아하시나요? 쿡쿡",7,10142
101,24,0.0,0.0,"2025/04/30 15:00:00",129901,"에리코",1,11.15,101,"2030/12/17 14:59:59","고된 훈련도, 끝나고 보니\n짧게 느껴지네요.\n솔직히, 저는 더 날뛰고 싶은…\n아뇨, 아무것도 아니에요. 쿡쿡",2,10142
102,24,0.0,0.0,"2025/04/30 15:00:00",129901,"에리코",7,6.4,102,"2030/12/17 14:59:59","앞길을 가로막는 불쾌한 방해꾼들을\n무찌르고 훌륭하게 골인…!\n마치 저와 그분의 인생을\n상징하는 듯한 여정이었어요…",5,10142
103,24,0.0,0.0,"2025/04/30 15:00:00",129901,"에리코",3,0.0,103,"2030/12/17 14:59:59","정말이지 한심한 결과예요\n하지만, 만회할 기회는 아직 있어요\n다음에는 쓰레기 벌레 지위에서 벗어날 수 있도록\n사력을 다하세요. 알겠죠?",3,10142
104,24,0.0,0.0,"2025/04/30 15:00:00",129901,"에리코",2,2.43,104,"2030/12/17 14:59:59","쿡쿡… 아아, 걱정 마세요\n참으로 한심한 성적을 낸 패거리들에게는\n어떤 벌이 어울릴지, 생각하고 있었을\n뿐이니까요… 쿡쿡쿡",8,10142
105,24,0.0,0.0,"2025/04/30 15:00:00",129901,"에리코",4,9.08,105,"2030/12/17 14:59:59","제가 교관으로서 인정받지 못한다면,\n그분을 실망시키고 말아요…\n그것만은 있어서는 안 돼요\n당신들도 알고 있죠?",3,10142
106,24,0.0,0.0,"2025/04/30 15:00:00",129901,"에리코",6,0.0,106,"2030/12/17 14:59:59","그럭저럭 괜찮은 결과지만,\n이 정도로 만족하시면\n곤란해요. 에리코 부대의 일원으로서,\n더 높은 곳을 목표로 해주세요",6,10142
107,24,0.0,0.0,"2025/04/30 15:00:00",129901,"에리코",3,10.6,107,"2030/12/17 14:59:59","제 지도를 받고서, 이 결과는…\n더 진지하게 생각해 봐야겠네요\n당신들이 게으름을 피우지 않도록 하려면,\n어떤 훈육이 필요할지를… 쿡쿡",8,10142
108,24,0.0,0.0,"2025/04/30 15:00:00",129901,"에리코",6,7.54,108,"2030/12/17 14:59:59","일단은 훈련을 소화해 낸 데 대한 보상이냐,\n실력을 다 발휘하지 못한 데 대한 벌이냐…\n여러분에게 어느 쪽을 주어야 할지\n조금 고민되는 결과네요",4,10142
109,24,0.0,0.0,"2025/04/30 15:00:00",129901,"에리코",2,11.5,109,"2030/12/17 14:59:59","꽤 훌륭한 전투였어요\n이것도 당신들의 노력과, 무엇보다\n우수한 교관인 제 교육 덕택이에요\n그렇죠? 쿡쿡쿡…",7,10142
