reward_id,reward_count,reward_type,mission_reward_id,id
94002,8000000,12,1001,1
90005,40,2,1001,2
94002,8000000,12,1002,3
90005,50,2,1002,4
94002,8000000,12,1003,5
90005,60,2,1003,6
94002,8000000,12,1004,7
90005,70,2,1004,8
91002,150,8,1005,9
94002,8000000,12,1005,10
90005,80,2,1005,11
94002,8000000,12,1006,12
90005,90,2,1006,13
91002,300,8,1007,14
94002,8000000,12,1007,15
90005,100,2,1007,16
94002,8000000,12,2001,17
94002,8000000,12,2002,18
94002,8000000,12,2003,19
94002,8000000,12,2004,20
94002,8000000,12,2005,21
94002,8000000,12,2006,22
94002,8000000,12,2007,23
94002,8000000,12,2008,24
94002,8000000,12,2009,25
94002,8000000,12,2010,26
94002,8000000,12,7001,27
90005,5,2,7001,28
94002,8000000,12,7002,29
90005,5,2,7002,30
94002,8000000,12,7003,31
90005,5,2,7003,32
94002,8000000,12,7004,33
90005,10,2,7004,34
94002,8000000,12,7005,35
90005,10,2,7005,36
94002,8000000,12,7006,37
90005,10,2,7006,38
94002,8000000,12,7007,39
90005,15,2,7007,40
94002,8000000,12,7008,41
90005,15,2,7008,42
94002,8000000,12,7009,43
90005,15,2,7009,44
94002,8000000,12,7010,45
90005,20,2,7010,46
94002,8000000,12,7011,47
90005,20,2,7011,48
94002,8000000,12,7012,49
90005,20,2,7012,50
94002,8000000,12,7013,51
90005,25,2,7013,52
94002,8000000,12,7014,53
90005,25,2,7014,54
94002,8000000,12,7015,55
90005,25,2,7015,56
94002,8000000,12,7016,57
90005,30,2,7016,58
94002,8000000,12,7017,59
90005,30,2,7017,60
94002,8000000,12,7018,61
90005,30,2,7018,62
94002,8000000,12,7019,63
90005,35,2,7019,64
94002,8000000,12,7020,65
90005,35,2,7020,66
94002,8000000,12,7021,67
90005,35,2,7021,68
94002,8000000,12,7022,69
90005,40,2,7022,70
94002,8000000,12,8001,71
90008,1000,2,8001,72
94002,8000000,12,8002,73
90008,1250,2,8002,74
94002,8000000,12,8003,75
90008,1500,2,8003,76
94002,8000000,12,8004,77
90008,1750,2,8004,78
94002,8000000,12,8005,79
90008,2000,2,8005,80
94002,8000000,12,8006,81
90008,2250,2,8006,82
94002,8000000,12,8007,83
90008,2500,2,8007,84
