reward_num_4,reward_id_4,reward_num_3,reward_type_4,reward_id_2,reward_id_3,reward_group_id,reward_type_1,reward_id_1,reward_num_2,reward_type_2,reward_num_1,reward_num_5,reward_type_5,reward_type_3,reward_id_5
0,0,0,0,101281,0,110010011,4,101011,1,4,1,0,0,0,0
0,0,0,0,101521,0,110010021,4,101251,1,4,1,0,0,0,0
0,0,0,0,101431,0,110010031,4,101161,1,4,1,0,0,0,0
0,0,0,0,101551,0,110010041,4,101371,1,4,1,0,0,0,0
0,0,0,0,101611,0,110010051,4,101161,1,4,1,0,0,0,0
0,0,0,0,101401,0,110010061,4,101071,1,4,1,0,0,0,0
0,0,0,0,101581,0,110010071,4,101251,1,4,1,0,0,0,0
0,0,0,0,101611,0,110010081,4,101281,1,4,1,0,0,0,0
0,0,0,0,101551,0,110010091,4,101131,1,4,1,0,0,0,0
0,0,0,0,101611,0,110010101,4,101011,1,4,1,0,0,0,0
0,0,0,0,101011,0,110020011,4,101191,1,4,1,0,0,0,0
0,0,0,0,101371,0,110020021,4,101251,1,4,1,0,0,0,0
0,0,0,0,101551,0,110020031,4,101401,1,4,1,0,0,0,0
0,0,0,0,101611,0,110020041,4,101521,1,4,1,0,0,0,0
0,0,0,0,101581,0,110020051,4,101281,1,4,1,0,0,0,0
0,0,0,0,101611,0,110020061,4,101251,1,4,1,0,0,0,0
0,0,0,0,101431,0,110020071,4,101071,1,4,1,0,0,0,0
0,0,0,0,101581,0,110020081,4,101131,1,4,1,0,0,0,0
0,0,0,0,122371,0,110020091,4,102163,1,4,1,0,0,0,0
0,0,0,0,102581,0,110020101,4,102013,1,4,1,0,0,0,0
0,0,0,0,102551,0,110020111,4,102252,1,4,1,0,0,0,0
0,0,0,0,102612,0,110020121,4,102222,1,4,1,0,0,0,0
0,0,0,0,102551,0,110030011,4,122493,1,4,1,0,0,0,0
0,0,0,0,102612,0,110030021,4,122491,1,4,1,0,0,0,0
0,0,0,0,102252,0,110030031,4,102163,1,4,1,0,0,0,0
0,0,0,0,102192,0,110030041,4,102222,1,4,1,0,0,0,0
0,0,0,0,102131,0,110030051,4,102013,1,4,1,0,0,0,0
0,0,0,0,102101,0,110030061,4,102014,1,4,1,0,0,0,0
0,0,0,0,122282,0,110030071,4,102041,1,4,1,0,0,0,0
0,0,0,0,122342,0,110030081,4,122312,1,4,1,0,0,0,0
0,0,0,0,122401,0,110030091,4,122372,1,4,1,0,0,0,0
0,0,0,0,122521,0,110030101,4,122432,1,4,1,0,0,0,0
0,0,0,0,102582,0,110030111,4,102552,1,4,1,0,0,0,0
