result_boss_height,detail_boss_motion,enemy_id,must_kill_flag,enemy_point,detail_boss_size,enemy_identify,initial_position,detail_boss_height
0,"",610201101,1,0,1.6,1,0,50
200,"",610201151,1,0,1.8,1,0,-75
0,"",610201201,1,0,1.6,1,0,50
0,"",610201202,1,0,1.6,1,0,50
0,"",610201203,1,0,1.6,1,0,50
200,"",610201251,1,0,1.65,1,0,-75
200,"",610201252,1,0,1.8,1,0,-75
200,"",610201253,1,0,1.8,1,0,-75
0,"",610201301,1,0,1.6,1,0,50
0,"",610201302,1,0,1.6,1,0,50
0,"",610201303,1,0,1.6,1,0,50
200,"",610201351,1,0,1.65,1,0,-75
200,"",610201352,1,0,1.8,1,0,-75
200,"",610201353,1,0,1.8,1,0,-75
0,"",610201401,0,1,1.0,2,0,0
0,"",610201402,0,1,1.0,3,0,0
0,"",610201403,0,1,1.0,4,0,0
0,"",610201451,0,0,0.78,2,-200,0
0,"",610201452,0,0,0.78,3,-140,0
0,"",610201453,0,0,0.78,4,-60,0
0,"",610201501,0,1,1.0,2,0,0
0,"",610201502,0,1,1.0,3,0,0
0,"",610201503,0,1,1.0,4,0,0
0,"",610201551,0,0,0.78,2,-200,0
0,"",610201552,0,0,0.78,3,-140,0
0,"",610201553,0,0,0.78,4,-60,0
