object_story_id,object_caption,condition_time,parent_view_id,condition_story_id,object_id,event_id,condition_read_story_id,object_name,parent_object_id,object_story_type
101,"아키라의 단말기","",0,5201061,102010001,10201,0,"칠관 전용 그룹 채팅",4,5
102,"","",0,5201062,102010002,10201,0,"언젠가의 그룹 채팅",4,5
5201063,"카멜레온 봉제인형","",0,5201063,102010003,10201,0,"칠관 회의 카멜레온 편",2,2
5201064,"온라인 회의_로그","",1,5201064,102010004,10201,0,"칠관 회의 원격 편",102,2
501,"몬스터 설정 자료","",1,5201066,102010005,10201,0,"뷰티풀 디자인",103,5
5201074,"","",1,5201074,102010006,10201,0,"일반적 감성",103,2
5201075,"기획 자료","",1,5201075,102010007,10201,0,"회의는 춤춘다, 그러나 진전은 없다",104,2
5201076,"","",1,5201076,102010008,10201,0,"폭주하는 크리에이터 정신",104,2
5201077,"믹스 베리 케이크","",0,5201077,102010009,10201,0,"우츠시미 네네카와 케이크",3,2
5201078,"","",0,5201078,102010010,10201,0,"그리하여 생긴 호감도",3,2
401,"인터뷰 기사_교열용","",1,5201079,102010011,10201,0,"화려한 기사",105,5
402,"","",1,5201081,102010012,10201,0,"화려한 기사의 이면",105,5
5201083,"아바타 의상 설정 자료","",1,5201083,102010013,10201,0,"향도노군의 우려",101,2
5201085,"종족 설정 자료","",1,5201085,102010014,10201,0,"수인족은 왜",106,2
301,"자료에 파묻힌 사진","",0,5201087,102010015,10201,0,"멈춘 시간, 남은 마음",5,5
5201088,"","",0,5201088,102010016,10201,0,"나아가는 시간, 새기는 마음",5,2
1,"","",0,0,102010101,10201,0,"PC 화면으로",1,6
