condition_value_1,mission_reward_id,difficulty,condition_num,mission_condition,mission_id,disp_group,schedule_id,description
10000,100101,0,1,1001,100101,0,1001,"전체 난이도 합계 10,000pt를 획득하자"
30000,100102,0,1,1001,100102,0,1001,"전체 난이도 합계 30,000pt를 획득하자"
50000,100103,0,1,1001,100103,0,1001,"전체 난이도 합계 50,000pt를 획득하자"
70000,100104,0,1,1001,100104,0,1001,"전체 난이도 합계 70,000pt를 획득하자"
90000,100105,0,1,1001,100105,1,1001,"전체 난이도 합계 90,000pt를 획득하자"
105000,100106,0,1,1001,100106,1,1001,"전체 난이도 합계 105,000pt를 획득하자"
120000,100107,0,1,1001,100107,1,1001,"전체 난이도 합계 120,000pt를 획득하자"
135000,100108,0,1,1001,100108,1,1001,"전체 난이도 합계 135,000pt를 획득하자"
0,100109,1,1,1002,100109,2,1001,"난이도 NORMAL1에서 1회 싸우자"
0,100110,1,1,1003,100110,2,1001,"난이도 NORMAL2에서 1회 싸우자"
0,100111,1,1,1004,100111,2,1001,"난이도 NORMAL3에서 1회 싸우자"
10000,100112,1,1,1001,100112,3,1001,"난이도 NORMAL에서 10,000pt를 획득하자"
20000,100113,1,1,1001,100113,3,1001,"난이도 NORMAL에서 20,000pt를 획득하자"
30000,100114,1,1,1001,100114,3,1001,"난이도 NORMAL에서 30,000pt를 획득하자"
0,100115,2,1,1002,100115,4,1001,"난이도 HARD1에서 1회 싸우자"
0,100116,2,1,1003,100116,4,1001,"난이도 HARD2에서 1회 싸우자"
0,100117,2,1,1004,100117,4,1001,"난이도 HARD3에서 1회 싸우자"
15000,100118,2,1,1001,100118,5,1001,"난이도 HARD에서 15,000pt를 획득하자"
30000,100119,2,1,1001,100119,5,1001,"난이도 HARD에서 30,000pt를 획득하자"
45000,100120,2,1,1001,100120,5,1001,"난이도 HARD에서 45,000pt를 획득하자"
0,100121,3,1,1002,100121,6,1001,"난이도 EXTRA1에서 1회 싸우자"
0,100122,3,1,1003,100122,6,1001,"난이도 EXTRA2에서 1회 싸우자"
0,100123,3,1,1004,100123,6,1001,"난이도 EXTRA3에서 1회 싸우자"
20000,100124,3,1,1001,100124,7,1001,"난이도 EXTRA에서 20,000pt를 획득하자"
40000,100125,3,1,1001,100125,7,1001,"난이도 EXTRA에서 40,000pt를 획득하자"
60000,100126,3,1,1001,100126,7,1001,"난이도 EXTRA에서 60,000pt를 획득하자"
10000,100201,0,1,1001,100201,0,1002,"전체 난이도 합계 10,000pt를 획득하자"
30000,100202,0,1,1001,100202,0,1002,"전체 난이도 합계 30,000pt를 획득하자"
50000,100203,0,1,1001,100203,0,1002,"전체 난이도 합계 50,000pt를 획득하자"
70000,100204,0,1,1001,100204,0,1002,"전체 난이도 합계 70,000pt를 획득하자"
90000,100205,0,1,1001,100205,1,1002,"전체 난이도 합계 90,000pt를 획득하자"
105000,100206,0,1,1001,100206,1,1002,"전체 난이도 합계 105,000pt를 획득하자"
120000,100207,0,1,1001,100207,1,1002,"전체 난이도 합계 120,000pt를 획득하자"
135000,100208,0,1,1001,100208,1,1002,"전체 난이도 합계 135,000pt를 획득하자"
0,100209,1,1,1002,100209,2,1002,"난이도 NORMAL1에서 1회 싸우자"
0,100210,1,1,1003,100210,2,1002,"난이도 NORMAL2에서 1회 싸우자"
0,100211,1,1,1004,100211,2,1002,"난이도 NORMAL3에서 1회 싸우자"
10000,100212,1,1,1001,100212,3,1002,"난이도 NORMAL에서 10,000pt를 획득하자"
20000,100213,1,1,1001,100213,3,1002,"난이도 NORMAL에서 20,000pt를 획득하자"
30000,100214,1,1,1001,100214,3,1002,"난이도 NORMAL에서 30,000pt를 획득하자"
0,100215,2,1,1002,100215,4,1002,"난이도 HARD1에서 1회 싸우자"
0,100216,2,1,1003,100216,4,1002,"난이도 HARD2에서 1회 싸우자"
0,100217,2,1,1004,100217,4,1002,"난이도 HARD3에서 1회 싸우자"
15000,100218,2,1,1001,100218,5,1002,"난이도 HARD에서 15,000pt를 획득하자"
30000,100219,2,1,1001,100219,5,1002,"난이도 HARD에서 30,000pt를 획득하자"
45000,100220,2,1,1001,100220,5,1002,"난이도 HARD에서 45,000pt를 획득하자"
0,100221,3,1,1002,100221,6,1002,"난이도 EXTRA1에서 1회 싸우자"
0,100222,3,1,1003,100222,6,1002,"난이도 EXTRA2에서 1회 싸우자"
0,100223,3,1,1004,100223,6,1002,"난이도 EXTRA3에서 1회 싸우자"
20000,100224,3,1,1001,100224,7,1002,"난이도 EXTRA에서 20,000pt를 획득하자"
40000,100225,3,1,1001,100225,7,1002,"난이도 EXTRA에서 40,000pt를 획득하자"
60000,100226,3,1,1001,100226,7,1002,"난이도 EXTRA에서 60,000pt를 획득하자"
10000,100301,0,1,1001,100301,0,1003,"전체 난이도 합계 10,000pt를 획득하자"
30000,100302,0,1,1001,100302,0,1003,"전체 난이도 합계 30,000pt를 획득하자"
50000,100303,0,1,1001,100303,0,1003,"전체 난이도 합계 50,000pt를 획득하자"
70000,100304,0,1,1001,100304,0,1003,"전체 난이도 합계 70,000pt를 획득하자"
90000,100305,0,1,1001,100305,1,1003,"전체 난이도 합계 90,000pt를 획득하자"
105000,100306,0,1,1001,100306,1,1003,"전체 난이도 합계 105,000pt를 획득하자"
120000,100307,0,1,1001,100307,1,1003,"전체 난이도 합계 120,000pt를 획득하자"
