command_id,param_04,param_01,command_type,param_02,param_03,drama_id,param_07,param_06,param_08,param_05
1010010001,"",se_travel,23,se_travel_finish_assemble,0,1001,"","","",""
1010010002,-275,1,1,1000001,1,1001,0,1.46,travel_exdrama_r_100_run,-160
1010010003,-575,1,1,1000002,2,1001,0,1.46,travel_exdrama_r_100_run,-200
1010010004,-750,1,1,1000003,3,1001,0,1.46,travel_exdrama_r_100_run,-250
1010010005,575,1,1,1000004,4,1001,1,1.46,travel_exdrama_r_100_run,-175
1010010006,750,1,1,1000005,5,1001,1,1.46,travel_exdrama_r_100_run,-250
1010010007,1,1000001,2,-100,-160,1001,"","","",0
1010010008,1,1000002,2,-275,-200,1001,"","","",0
1010010009,1,1000003,2,-450,-250,1001,"","","",0
1010010010,1,1000004,2,275,-175,1001,"","","",0
1010010011,1,1000005,2,450,-250,1001,"","","",0
1010010012,0,1,93,0,0,1001,"","","",0
1010010013,"",1000001,3,travel_exdrama_r_100_raiseup,0,1001,0,0.2,"",0
1010010014,"",1000002,3,travel_exdrama_r_100_idle,1,1001,0,0,"",0
1010010015,"",1000003,3,travel_exdrama_r_100_idle,1,1001,0,0,"",0
1010010016,"",1000004,3,travel_exdrama_r_100_idle,1,1001,0,0,"",0
1010010017,"",1000005,3,travel_exdrama_r_100_idle,1,1001,0,0,"",0
1010010018,-100,1,5,1,11,1001,0,1.46,travel_exdrama_r_100_raiseup,-160
1010010019,"",1,93,0,"",1001,"","","",""
1010010020,"",1000001,6,"","",1001,"",0.12,"",0
1010010021,"",1000002,6,"","",1001,"",0.12,"",0
1010010022,"",1000003,6,"","",1001,"",0.12,"",0
1010010023,"",1000004,6,"","",1001,"",0.12,"",0
1010010024,"",1000005,6,"","",1001,"",0.12,"",0
1010010025,"",1,6,"","",1001,"",0.12,"",0
1010010026,"",0.12,93,0,"",1001,"","","",""
1010010027,"",0,91,"","",1001,"","","",""
1010020001,"",se_travel,23,se_travel_finish_assemble,0,1002,"","","",""
1010020002,-275,1,1,1000001,1,1002,0,1.46,travel_exdrama_r_100_run,-160
1010020003,-575,1,1,1000002,2,1002,0,1.46,travel_exdrama_r_100_run,-200
1010020004,-750,1,1,1000003,3,1002,0,1.46,travel_exdrama_r_100_run,-250
1010020005,575,1,1,1000004,4,1002,1,1.46,travel_exdrama_r_100_run,-175
1010020006,750,1,1,1000005,5,1002,1,1.46,travel_exdrama_r_100_run,-250
1010020007,20,10000,31,10000,-40,1002,"",0,"",1
1010020008,1,1000001,2,-100,-160,1002,"","","",0
1010020009,1,1000002,2,-275,-200,1002,"","","",0
1010020010,1,1000003,2,-450,-250,1002,"","","",0
1010020011,1,1000004,2,275,-175,1002,"","","",0
1010020012,1,1000005,2,450,-250,1002,"","","",0
1010020013,0,1,93,0,0,1002,"","","",0
1010020014,"",1000001,3,travel_exdrama_r_100_raiseup,0,1002,0,0.2,"",0
1010020015,"",1000002,3,travel_exdrama_r_100_idle,1,1002,0,0,"",0
1010020016,"",1000003,3,travel_exdrama_r_100_idle,1,1002,0,0,"",0
1010020017,"",1000004,3,travel_exdrama_r_100_idle,1,1002,0,0,"",0
1010020018,"",1000005,3,travel_exdrama_r_100_idle,1,1002,0,0,"",0
1010020019,-100,1,5,1,11,1002,0,1.46,travel_exdrama_r_100_raiseup,-160
1010020020,0,0.4,93,0,0,1002,"",0,"",0
1010020021,"",10000,32,1,"",1002,"","","",0
1010020022,"",0.6,93,0,"",1002,"","","",""
1010020023,"",1000001,6,"","",1002,"",0.12,"",0
1010020024,"",1000002,6,"","",1002,"",0.12,"",0
1010020025,"",1000003,6,"","",1002,"",0.12,"",0
1010020026,"",1000004,6,"","",1002,"",0.12,"",0
1010020027,"",1000005,6,"","",1002,"",0.12,"",0
1010020028,"",1,6,"","",1002,"",0.12,"",0
1010020029,"",0.12,93,0,"",1002,"","","",""
1010020030,"",0,91,"","",1002,"","","",""
1010110001,5,10100,31,10100,-350,1011,"",1,"",1
1010110002,50,10002,31,10002,-525,1011,"",0,"",1
1010110003,-121,10101,31,10101,-184,1011,"",1,"",1
1010110004,5,10102,31,10102,-350,1011,"",0,"",1
1010110005,5,10103,31,10103,-350,1011,"",0,"",1
1010110006,5,10104,31,10104,-350,1011,"",0,"",1
1010110007,-470,1,1,1000001,11,1011,0,1.46,travel_exdrama_r_101_walk,-200
1010110008,-320,1,1,1000002,1,1011,0,1.46,travel_exdrama_r_101_walk,-150
1010110009,-470,1,5,1,12,1011,0,1.46,travel_exdrama_r_101_walk,-200
1010110010,-320,1,5,2,2,1011,0,1.46,travel_exdrama_r_101_walk,-150
1010120001,"",se_travel,23,se_travel_finish_cave_rare,0,1012,"","","",""
1010120002,0.1,1000001,2,-500,-200,1012,"","","",0
1010120003,0.1,1000002,2,-350,-150,1012,"","","",0
1010120004,0.1,1,2,-500,-200,1012,"","","",0
1010120005,0.1,2,2,-350,-150,1012,"","","",0
1010120006,travel_exdrama_r_101_walk,1000001,3,travel_exdrama_r_101_joy,0,1012,0.2,0.2,"",1
1010120007,travel_exdrama_r_101_walk,1000002,3,travel_exdrama_r_101_joy,0,1012,0.2,0.2,"",1
1010120008,travel_exdrama_r_101_walk,1,3,travel_exdrama_r_101_joy,0,1012,0.2,0.2,"",1
1010120009,travel_exdrama_r_101_walk,2,3,travel_exdrama_r_101_joy,0,1012,0.2,0.2,"",1
1010120010,"",10101,32,0,0,1012,"","","",""
1010120011,"",10102,32,1,0,1012,"","","",""
1010120012,"",1.66,93,0,"",1012,"","","",""
1010120013,"",10101,32,1,0,1012,"","","",""
1010120014,"",10102,32,0,0,1012,"","","",""
1010120015,0.2,1000001,2,-470,-200,1012,"","","",0
1010120016,0.2,1000002,2,-320,-150,1012,"","","",0
1010120017,0.2,1,2,-470,-200,1012,"","","",0
1010120018,0.2,2,2,-320,-150,1012,"","","",0
1010130001,"",se_travel,23,se_travel_finish_cave_event,0,1013,"","","",""
1010130002,travel_exdrama_r_101_walk,1000001,3,travel_exdrama_r_101_panic_A,0,1013,0,0.2,"",1
1010130003,travel_exdrama_r_101_walk,1000002,3,travel_exdrama_r_101_panic_B,0,1013,0,0.2,"",1
1010130004,travel_exdrama_r_101_walk,1,3,travel_exdrama_r_101_panic_A,0,1013,0,0.2,"",1
1010130005,travel_exdrama_r_101_walk,2,3,travel_exdrama_r_101_panic_B,0,1013,0,0.2,"",1
1010130006,"",10002,32,1,"",1013,"","","",""
1010130007,"",10103,32,1,"",1013,"","","",""
1010130008,"",3,93,0,"",1013,"","","",""
1010130009,"",10002,32,0,"",1013,"","","",""
1010130010,"",10103,32,0,"",1013,"","","",""
1010140001,0.1,1000001,2,-500,-200,1014,0,0,"",0
1010140002,0.1,1000002,2,-350,-150,1014,0,0,"",0
1010140003,0.1,1,2,-500,-200,1014,0,0,"",0
1010140004,0.1,2,2,-350,-150,1014,0,0,"",0
1010140005,"",1000001,3,travel_exdrama_r_finish_B_hand,0,1014,0,0,"",0
1010140006,"",1000002,3,travel_exdrama_r_finish_B_hand,0,1014,0,0,"",0
1010140007,"",1,3,travel_exdrama_r_101_finish,0,1014,0,0,"",0
1010140008,"",2,3,travel_exdrama_r_101_finish,0,1014,0,0,"",0
1010140009,"",10101,32,0,0,1014,"","","",""
1010140010,"",10104,32,1,0,1014,"","","",""
1010210001,5,10200,31,10200,-350,1021,"",1,"",1
1010210002,5,10201,31,10201,-350,1021,"",0,"",1
1010210003,5,10202,31,10202,-350,1021,"",0,"",1
1010210004,86,10203,31,10203,-490,1021,"",0,"",1
1010210005,105,10204,31,10204,-200,1021,"",0,"",1
1010210006,50,10001,31,10001,-525,1021,"",0,"",1
1010210007,-490,1,1,1000001,1,1021,0,1.46,travel_exdrama_r_102_book,-180
1010210008,-200,1,1,1000002,2,1021,0,1.46,travel_exdrama_r_102_loupe,-180
1010210009,-490,1,5,1,11,1021,0,1.46,travel_exdrama_r_102_book,-180
1010210010,-200,1,5,2,12,1021,0,1.46,travel_exdrama_r_102_loupe,-180
1010210011,-339,5,5,5,13,1021,0,2,reliclight_none,-136
1010220001,"",se_travel,23,se_travel_finish_ruins_rare,0,1022,"","","",""
1010220002,travel_exdrama_r_102_book,1000001,3,travel_exdrama_r_102_bookFind_A,0,1022,0.2,0.2,"",1
1010220003,travel_exdrama_r_102_loupe,1000002,3,travel_exdrama_r_102_loupeFind_A,0,1022,0.2,0.2,"",1
1010220004,travel_exdrama_r_102_book,1,3,travel_exdrama_r_102_bookFind_A,0,1022,0.2,0.2,"",1
1010220005,travel_exdrama_r_102_loupe,2,3,travel_exdrama_r_102_loupeFind_A,0,1022,0.2,0.2,"",1
1010220006,"",10202,32,1,"",1022,"","","",""
1010220007,"",10203,32,1,"",1022,"","","",""
1010220008,"",10204,32,1,"",1022,"","","",""
1010220009,"",1.66,93,0,"",1022,"","","",""
1010220010,"",10202,32,0,"",1022,"","","",""
1010220011,"",10203,32,0,"",1022,"","","",""
1010220012,"",10204,32,0,"",1022,"","","",""
1010230001,"",se_travel,23,se_travel_finish_ruins_event,0,1023,"","","",""
1010230002,travel_exdrama_r_102_book,1000001,3,travel_exdrama_r_102_bookFind_B,0,1023,0,0.2,"",1
1010230003,travel_exdrama_r_102_loupe,1000002,3,travel_exdrama_r_102_loupeFind_B,0,1023,0,0.2,"",1
1010230004,travel_exdrama_r_102_book,1,3,travel_exdrama_r_102_bookFind_B,0,1023,0,0.2,"",1
1010230005,travel_exdrama_r_102_loupe,2,3,travel_exdrama_r_102_loupeFind_B,0,1023,0,0.2,"",1
1010230006,"",5,3,reliclight_on,0,1023,"","","",""
1010230007,"",10201,32,1,"",1023,"","","",""
1010230008,"",10001,32,1,"",1023,"","","",""
1010230009,"",3,93,0,"",1023,"","","",""
1010230010,"",10201,32,0,"",1023,"","","",""
1010230011,"",10001,32,0,"",1023,"","","",""
1010230012,"",5,3,reliclight_none,0,1023,"","","",""
1010240001,"",1000002,4,1,0,1024,0,0,"",0
1010240002,"",2,4,1,0,1024,0,0,"",0
1010240003,"",1000001,3,travel_exdrama_r_finish_A,0,1024,0,0,"",0
1010240004,"",1000002,3,travel_exdrama_r_finish_A_front,0,1024,0,0,"",0
1010240005,"",1,3,travel_exdrama_r_102_book_finish,0,1024,0,0,"",0
1010240006,"",2,3,travel_exdrama_r_102_loupe_finish,0,1024,0,0,"",0
1010240007,"",5,3,reliclight_none,0,1024,"","","",""
1010310001,5,10300,31,10300,-350,1031,"",1,"",1
1010310002,5,10301,31,10301,-350,1031,"",0,"",1
1010310003,5,10302,31,10302,-350,1031,"",0,"",1
1010310004,50,10002,31,10002,-525,1031,"",0,"",1
1010310005,-510,1,1,1000001,5,1031,0,1.46,travel_exdrama_r_103_dig_A,-200
1010310006,-400,1,1,1000002,3,1031,0,1.46,travel_exdrama_r_103_dig_B,-175
