param_04,param_05,param_02,command_type,param_06,param_07,drama_id,param_03,param_08,param_01,command_id
-750,-300,113511,5,2.08,0,1007001,100,svd_idle_normal,2,1007001001
750,-300,113411,5,2.08,1,1007001,100,svd_idle_normal,1,1007001002
0,0,333,5,1,0,1007001,0,svd_white_loop,3,1007001003
1,0,1,6,0,0,1007001,1,"",333,1007001004
0,"",2,7,"","",1007001,0,"",113511,1007001005
0.5,0,-750,2,"","",1007001,-300,"",113511,1007001006
1,0,1,6,0,0,1007001,1,"",113411,1007001007
-40,0.8,11,31,0,"",1007001,-140,"",1,1007001008
0,"",2,34,"","",1007001,0,"",11,1007001009
0,"",6,7,"","",1007001,0,"",113411,1007001010
0.5,0,750,2,"","",1007001,-300,"",113411,1007001011
-40,1,14,31,0,"",1007001,-250,"",4,1007001012
-40,1,15,31,0,"",1007001,250,"",5,1007001013
"","","",93,"","",1007001,"","",1,1007001014
1,0.4,1,6,0.8,0,1007001,1,"",333,1007001015
svd_idle_see,1,svd_idle_see_pre,3,0.2,0,1007001,0,"",113511,1007001016
1.1,0,640,2,"","",1007001,-300,"",113411,1007001017
1.1,0,-600,2,"","",1007001,-300,"",113511,1007001018
"","","",93,"","",1007001,"","",1,1007001019
"","",1,32,"","",1007001,"","",11,1007001020
"","","",91,"","",1007001,"","",0,1007001021
0,80,240,94,"","",1007001,260,"",113511,1007001022
"","",0,32,"","",1007001,"","",11,1007001023
"","",svd_run,3,0.2,"",1007001,1,"",113511,1007001024
0,"",0,7,"","",1007001,1.2,"",113511,1007001025
1.2,0,-250,2,"","",1007001,-300,"",113511,1007001026
"","",svd_run,3,0.2,"",1007001,1,"",113411,1007001027
0,"",0,7,"","",1007001,1.2,"",113411,1007001028
1.2,0,250,2,"","",1007001,-300,"",113411,1007001029
1,1,1,6,0.2,0,1007001,1,"",113411,1007001030
"","","",93,"","",1007001,"","",1.2,1007001031
"","","",91,"","",1007001,"","",0,1007001032
"","",svd_kime_eriko,3,0.2,"",1007001,0,"",113511,1007001033
"","",svd_kime_shizuru,3,0.2,"",1007001,0,"",113411,1007001034
"","","",93,"","",1007001,"","",1.4,1007001035
"","",1,32,"","",1007001,"","",14,1007001036
"","",1,32,"","",1007001,"","",15,1007001037
"","","",93,"","",1007001,"","",0.6,1007001038
"","",svd_idle_joy1,3,0.2,"",1007001,1,"",113411,1007001039
"","",svd_talk_wish,3,0.2,"",1007001,1,"",113511,1007001040
0,"",vo_svd_0121,21,"","",1007001,0,"",vo_svd,1007001041
0,0,"당신을 위해… 반드시\n잊을 수 없는 최고의 여름방학을\n선사하겠어요…",11,0,0,1007001,6,1,113511,1007001042
"","","",91,"","",1007001,"","",0,1007001043
"","",svd_idle_wish,3,0.2,"",1007001,1,"",113511,1007001044
