condition_batter_id_1,condition_pitcher_id_1,condition_pitcher_id_2,condition_batter_id_2,drama_id
0,0,0,0,1
0,0,0,0,2
0,0,0,0,3
0,2,0,0,4
0,2,0,0,5
0,2,0,0,6
0,3,0,0,7
0,3,0,0,8
0,3,0,0,9
0,4,0,0,10
0,4,0,0,11
0,4,0,0,12
0,0,0,0,13
0,0,0,0,14
0,0,0,0,15
2,0,0,0,16
2,0,0,0,17
2,0,0,0,18
3,0,0,0,19
3,0,0,0,20
3,0,0,0,21
0,3,0,0,22
0,3,0,0,23
0,2,0,0,24
0,2,0,0,25
2,0,0,0,26
2,0,0,0,27
0,2,3,0,28
0,2,3,0,29
2,3,0,0,30
2,3,0,0,31
3,3,0,0,32
3,0,0,0,33
0,3,4,0,34
0,0,0,0,35
2,2,0,0,36
2,2,0,0,37
3,4,0,0,38
