reward_type_3,reward_count_2,ticket_id,reward_type_2,start_time,reward_id_3,exchange_number,reward_count_3,reward_id_2,reward_count_1,reward_type_1,unit_id,reward_id_1,end_time
0,0,28001,0,"2029/08/04 12:00:00",0,1,0,0,100,2,105801,31058,"2030/08/01 14:59:59"
0,0,28001,0,"2029/08/04 12:00:00",0,2,0,0,100,2,107501,31075,"2030/08/01 14:59:59"
0,0,28001,0,"2029/08/04 12:00:00",0,3,0,0,100,2,180401,31804,"2030/08/01 14:59:59"
0,0,28002,0,"2029/08/04 12:00:00",0,1,0,0,100,2,105901,31059,"2030/08/01 14:59:59"
0,0,28002,0,"2029/08/04 12:00:00",0,2,0,0,100,2,107601,31076,"2030/08/01 14:59:59"
0,0,28002,0,"2029/08/04 12:00:00",0,3,0,0,100,2,111901,31119,"2030/08/01 14:59:59"
0,0,28002,0,"2029/08/04 12:00:00",0,4,0,0,100,2,180501,31805,"2030/08/01 14:59:59"
0,0,28003,0,"2029/08/04 12:00:00",0,1,0,0,100,2,106001,31060,"2030/08/01 14:59:59"
0,0,28003,0,"2029/08/04 12:00:00",0,2,0,0,100,2,107801,31078,"2030/08/01 14:59:59"
0,0,28003,0,"2029/08/04 12:00:00",0,3,0,0,100,2,112001,31120,"2030/08/01 14:59:59"
0,0,28004,0,"2029/09/03 19:00:00",0,1,0,0,100,2,101201,31012,"2030/08/01 14:59:59"
0,0,28004,0,"2029/09/03 19:00:00",0,2,0,0,100,2,113401,31134,"2030/08/01 14:59:59"
0,0,28005,0,"2029/09/03 19:00:00",0,1,0,0,100,2,103801,31038,"2030/08/01 14:59:59"
0,0,28005,0,"2029/09/03 19:00:00",0,2,0,0,100,2,112301,31123,"2030/08/01 14:59:59"
0,0,28006,0,"2029/09/03 19:00:00",0,1,0,0,100,2,107101,31071,"2030/08/01 14:59:59"
0,0,28006,0,"2029/09/03 19:00:00",0,2,0,0,100,2,111501,31115,"2030/08/01 14:59:59"
0,0,28007,0,"2029/10/01 17:00:00",0,1,0,0,100,2,102001,31020,"2030/08/01 14:59:59"
0,0,28007,0,"2029/10/01 17:00:00",0,2,0,0,100,2,111301,31113,"2030/08/01 14:59:59"
0,0,28008,0,"2029/10/01 17:00:00",0,1,0,0,100,2,100401,31004,"2030/08/01 14:59:59"
0,0,28008,0,"2029/10/01 17:00:00",0,2,0,0,100,2,111201,31112,"2030/08/01 14:59:59"
0,0,28009,0,"2029/10/01 17:00:00",0,1,0,0,100,2,103601,31036,"2030/08/01 14:59:59"
0,0,28009,0,"2029/10/01 17:00:00",0,2,0,0,100,2,111101,31111,"2030/08/01 14:59:59"
0,0,28010,0,"2029/11/05 12:00:00",0,1,0,0,100,2,104901,31049,"2030/08/01 14:59:59"
0,0,28010,0,"2029/11/05 12:00:00",0,2,0,0,100,2,109101,31091,"2030/08/01 14:59:59"
0,0,28011,0,"2029/11/05 12:00:00",0,1,0,0,100,2,101101,31011,"2030/08/01 14:59:59"
0,0,28011,0,"2029/11/05 12:00:00",0,2,0,0,100,2,112901,31129,"2030/08/01 14:59:59"
0,0,28012,0,"2029/11/05 12:00:00",0,1,0,0,100,2,107001,31070,"2030/08/01 14:59:59"
0,0,28013,0,2029/03/21,0,1,0,0,100,2,111001,31110,"2030/08/01 14:59:59"
0,0,28013,0,2029/03/21,0,2,0,0,100,2,116401,31164,"2030/08/01 14:59:59"
0,0,28014,0,2029/03/21,0,1,0,0,100,2,110901,31109,"2030/08/01 14:59:59"
0,0,28014,0,2029/03/21,0,2,0,0,100,2,116301,31163,"2030/08/01 14:59:59"
0,0,28015,0,2029/03/21,0,1,0,0,100,2,110801,31108,"2030/08/01 14:59:59"
0,0,28015,0,2029/03/21,0,2,0,0,100,2,116201,31162,"2030/08/01 14:59:59"
0,0,28016,0,2029/04/18,0,1,0,0,100,2,104201,31042,"2030/08/01 14:59:59"
0,0,28016,0,2029/04/18,0,2,0,0,100,2,108401,31084,"2030/08/01 14:59:59"
0,0,28016,0,2029/04/18,0,3,0,0,100,2,117301,31173,"2030/08/01 14:59:59"
0,0,28017,0,2029/04/18,0,1,0,0,100,2,101401,31014,"2030/08/01 14:59:59"
0,0,28017,0,2029/04/18,0,2,0,0,100,2,112201,31122,"2030/08/01 14:59:59"
0,0,28017,0,2029/04/18,0,3,0,0,100,2,115701,31157,"2030/08/01 14:59:59"
0,0,28018,0,2029/04/18,0,1,0,0,100,2,105301,31053,"2030/08/01 14:59:59"
0,0,28018,0,2029/04/18,0,2,0,0,100,2,114201,31142,"2030/08/01 14:59:59"
0,0,28019,0,2029/05/16,0,1,0,0,100,2,106801,31068,"2030/08/01 14:59:59"
0,0,28019,0,2029/05/16,0,2,0,0,100,2,121201,31212,"2030/08/01 14:59:59"
0,0,28020,0,2029/05/16,0,1,0,0,100,2,104701,31047,"2030/08/01 14:59:59"
0,0,28020,0,2029/05/16,0,2,0,0,100,2,113601,31136,"2030/08/01 14:59:59"
0,0,28021,0,2029/05/16,0,1,0,0,100,2,102701,31027,"2030/08/01 14:59:59"
0,0,28021,0,2029/05/16,0,2,0,0,100,2,109001,31090,"2030/08/01 14:59:59"
0,0,28021,0,2029/05/16,0,3,0,0,100,2,117001,31170,"2030/08/01 14:59:59"
0,0,28022,0,"2029/01/15 15:00:00",0,1,0,0,100,2,107101,31071,"2030/08/01 14:59:59"
0,0,28022,0,"2029/01/15 15:00:00",0,2,0,0,100,2,106101,31061,"2030/08/01 14:59:59"
0,0,28022,0,"2029/01/15 15:00:00",0,3,0,0,100,2,107001,31070,"2030/08/01 14:59:59"
0,0,28022,0,"2029/01/15 15:00:00",0,4,0,0,100,2,180401,31804,"2030/08/01 14:59:59"
0,0,28022,0,"2029/01/15 15:00:00",0,5,0,0,100,2,180501,31805,"2030/08/01 14:59:59"
0,0,28022,0,"2029/01/15 15:00:00",0,6,0,0,100,2,180201,31802,"2030/08/01 14:59:59"
0,0,28022,0,"2029/01/15 15:00:00",0,7,0,0,100,2,106801,31068,"2030/08/01 14:59:59"
0,0,28022,0,"2029/01/15 15:00:00",0,8,0,0,100,2,180101,31801,"2030/08/01 14:59:59"
0,0,28022,0,"2029/01/15 15:00:00",0,9,0,0,100,2,180601,31806,"2030/08/01 14:59:59"
0,0,28022,0,"2029/01/15 15:00:00",0,10,0,0,100,2,180301,31803,"2030/08/01 14:59:59"
0,0,28022,0,"2029/01/15 15:00:00",0,11,0,0,100,2,180701,31807,"2030/08/01 14:59:59"
0,0,28022,0,"2029/01/15 15:00:00",0,12,0,0,100,2,106701,31067,"2030/08/01 14:59:59"
0,0,28022,0,"2029/01/15 15:00:00",0,13,0,0,100,2,180801,31808,"2030/08/01 14:59:59"
0,0,28022,0,"2029/01/15 15:00:00",0,14,0,0,100,2,118101,31181,"2030/08/01 14:59:59"
0,0,28022,0,"2029/01/15 15:00:00",0,15,0,0,100,2,180901,31809,"2030/08/01 14:59:59"
0,0,28022,0,"2029/01/15 15:00:00",0,16,0,0,100,2,123001,31230,"2030/08/01 14:59:59"
0,0,28023,0,"2029/01/15 15:00:00",0,1,0,0,100,2,107501,31075,"2030/08/01 14:59:59"
