love_level,serif_2,serif_1,chara_id,position_x,face_1,serif_3,voice_id_3,position_y,voice_id_2,name,face_3,scale,voice_id_1,face_2
2,"앗!\n저기 곤경에 처한 사람 발견!","히요리예요♪\n활기차게 힘내자♪",1001,0,1,"저기~ 기사 군\!n같이 도와주자~",0,0,0,"하루사키 히요리",1,1.4,0,1
2,"소중한 사람을\n지킬 수 있게 되고 싶다…고","다른 사람처럼\n나도 강해져야해",1002,0,1,"내 내가\n지금 뭐라고 한 거지\n아하하…",0,0,0,"쿠사노 유이",1,1.4,0,1
2,"너에게 필요한 집중력과 감성을","펜싱을 배워보는 건 어때?",1003,0,1,"조금은 갈고 닦을 수 있을거야",0,0,0,"시죠우 레이",1,1.4,0,1
2,"오늘은 뭐 하고 놀까?","저기 오빠!",1004,0,1,"미소기는 말이지~\n술래잡기하고 싶어!",0,0,0,"호다카 미소기",1,1.5,0,1
2,"저기…","카제미야 아카리예요",1006,0,1,"나랑 같이…\n안 갈래?",0,0,0,"카제미야 아카리",1,1.4,0,1
2,"푸딩 먹고 싶은거야~","이즈모 미야코인거야~",1007,0,1,"먹을 거에 관한 원한은 무서운거야~",0,0,0,"이즈모 미야코",1,1.5,0,1
2,"너도 내 미모에\n끌린 거구나","난 니지무라 유키",1008,0,1,"좋아\n시선을 끄는 것도 운명이지…",0,0,0,"니지무라 유키",1,1.4,0,1
2,"나의 진명은\n안네로제 폰 슈테히파름!","훗… 듣고 후회하거라!",1009,0,1,"이름하여 「질풍의 명희」로다!!",0,0,0,"히이라기 안나",1,1.4,0,1
2,"토끼 씨\n운명의 왕자님과 만나게 해주셔서","마호마호 왕국의 공주\n마호 공주이옵니다",1010,0,1,"정말로 감사드리옵니다~♪",0,0,0,"히메미야 마호",1,1.5,0,1
2,"생이별한 오빠 찾아\n삼만세계!","이노사키 리노입니다!",1011,0,1,"백수는 외나무다리에서 만난다더니!",0,0,0,"이노사키 리노",1,1.4,0,1
2,"초 초능력이라니…\n무슨 얘기일까~?","난 하츠네\n꽤 강하다구\n반짜~악☆",1012,0,1,"…아니야 부탁할게!\n아무한테도 말하지 말아줘~!",0,0,0,"카시와자키 하츠네",1,1.4,0,1
2,"일단은 카리스마 독자 모델 여고생입니닷!","안녕!\n미나미 스즈나야~♪",1016,0,1,"히데사이\n레알 느낌 좋아~♪",0,0,0,"미나미 스즈나",1,1.4,0,1
