reward_num,id,icon_type,mission_reward_id,reward_id,reward_type
1,1,1001,99001001,11001001,15
10,2,0,99001001,91002,8
1,3,1001,99001002,11001002,15
10,4,0,99001002,91002,8
1,5,1002,99001003,11001003,15
20,6,0,99001003,91002,8
1,7,1003,99001004,11001004,15
30,8,0,99001004,91002,8
1,9,1001,99001005,11001005,15
10,10,0,99001005,91002,8
1,11,1001,99001006,11001006,15
10,12,0,99001006,91002,8
1,13,1002,99001007,11001007,15
20,14,0,99001007,91002,8
1,15,1003,99001008,11001008,15
30,16,0,99001008,91002,8
1,17,1001,99001009,11001009,15
10,18,0,99001009,91002,8
1,19,1001,99001010,11001010,15
10,20,0,99001010,91002,8
1,21,1002,99001011,11001011,15
20,22,0,99001011,91002,8
1,23,1003,99001012,11001012,15
30,24,0,99001012,91002,8
1,33,1001,99001017,11001017,15
30,34,0,99001017,91002,8
1,35,1001,99001018,11001018,15
30,36,0,99001018,91002,8
1,37,1002,99001019,11001019,15
30,38,0,99001019,91002,8
1,39,1003,99001020,11001020,15
30,40,0,99001020,91002,8
0,41,1001,99001021,11001021,15
0,42,1002,99001022,11001022,15
1,43,1001,99001023,11001023,15
30,44,0,99001023,91002,8
1,45,1001,99001024,11001024,15
30,46,0,99001024,91002,8
1,47,1002,99001025,11001025,15
30,48,0,99001025,91002,8
1,49,1003,99001026,11001026,15
30,50,0,99001026,91002,8
1,51,1001,99001027,11001027,15
30,52,0,99001027,91002,8
1,53,1001,99001028,11001028,15
30,54,0,99001028,91002,8
1,55,1002,99001029,11001029,15
30,56,0,99001029,91002,8
1,57,1003,99001030,11001030,15
30,58,0,99001030,91002,8
1,59,1001,99001031,11001031,15
30,60,0,99001031,91002,8
1,61,1001,99001032,11001032,15
30,62,0,99001032,91002,8
1,63,1002,99001033,11001033,15
30,64,0,99001033,91002,8
1,65,1003,99001034,11001034,15
30,66,0,99001034,91002,8
0,75,1001,99001039,11001039,15
0,76,1002,99001040,11001040,15
0,77,1003,99001041,11001041,15
1,78,1001,99001042,11001042,15
30,79,0,99001042,91002,8
1,80,1001,99001043,11001043,15
30,81,0,99001043,91002,8
1,82,1002,99001044,11001044,15
30,83,0,99001044,91002,8
1,84,1003,99001045,11001045,15
30,85,0,99001045,91002,8
1,86,1001,99001046,11001046,15
1,87,1001,99001046,11001050,15
30,88,0,99001046,91002,8
1,89,1001,99001047,11001047,15
30,90,0,99001047,91002,8
1,91,1002,99001048,11001048,15
30,92,0,99001048,91002,8
1,93,1003,99001049,11001049,15
30,94,0,99001049,91002,8
1,95,1001,99001051,11001051,15
30,96,0,99001051,91002,8
1,97,1001,99001052,11001052,15
30,98,0,99001052,91002,8
1,99,1002,99001053,11001053,15
30,100,0,99001053,91002,8
1,101,1003,99001054,11001054,15
30,102,0,99001054,91002,8
1,103,1001,99001055,11001055,15
30,104,0,99001055,91002,8
1,105,1001,99001056,11001056,15
30,106,0,99001056,91002,8
1,107,1002,99001057,11001057,15
30,108,0,99001057,91002,8
1,109,1003,99001058,11001058,15
30,110,0,99001058,91002,8
1,111,1001,99001059,11001059,15
30,112,0,99001059,91002,8
1,113,1001,99001060,11001060,15
30,114,0,99001060,91002,8
1,115,1002,99001061,11001061,15
30,116,0,99001061,91002,8
1,117,1003,99001062,11001062,15
30,118,0,99001062,91002,8
1,119,1001,99001063,11001063,15
30,120,0,99001063,91002,8
1,121,1001,99001064,11001064,15
30,122,0,99001064,91002,8
1,123,1002,99001065,11001065,15
30,124,0,99001065,91002,8
1,125,1003,99001066,11001066,15
30,126,0,99001066,91002,8
1,127,1001,99001067,11001067,15
30,128,0,99001067,91002,8
1,129,1001,99001068,11001068,15
30,130,0,99001068,91002,8
1,131,1002,99001069,11001069,15
30,132,0,99001069,91002,8
1,133,1003,99001070,11001070,15
30,134,0,99001070,91002,8
0,135,1001,99001071,11001071,15
0,136,1002,99001072,11001072,15
0,137,1003,99001073,11001073,15
1,138,1001,99001074,11001074,15
30,139,0,99001074,91002,8
1,140,1001,99001075,11001075,15
30,141,0,99001075,91002,8
1,142,1002,99001076,11001076,15
30,143,0,99001076,91002,8
1,144,1003,99001077,11001077,15
30,145,0,99001077,91002,8
