param_01,param_07,param_03,drama_id,param_08,param_02,command_id,param_04,command_type,param_06,param_05
1,0,100,1,bsm_idle_yamato,130011,1001,0,1,1.3,0
130011,0,0,1,"",bsm_drama_arm_crossed,1002,bsm_drama_arm_crossed_loop,3,0.2,1
vo_minigame_1014,"",0,1,"",vo_minigame_1014_top_1000,1003,0,21,"",""
130011,0,5,1,1,"약육강식, 환영이야\n정면승부로 이기지 못할 땐\n뒤통수치는 것도 고려해야지",1004,1,11,0,0
0,"","",1,"","",1005,"",91,"",""
130011,"",1,1,"",bsm_idle_yamato,1006,"",3,0.3,""
1,0,100,2,bsm_idle_yamato,130011,2001,0,1,1.3,0
130011,"",1,2,"",bsm_drama_thinking,2002,"",3,0.2,""
vo_minigame_1014,"",0,2,"",vo_minigame_1014_top_1001,2003,0,21,"",""
130011,0,6,2,1,"언젠가는 와카나에게도\n가르쳐 줄까\n적에게 이기고 맛보는\n술의 짜릿한 맛을",2004,1,11,0,0
0,"","",2,"","",2005,"",91,"",""
130011,"",1,2,"",bsm_idle_yamato,2006,"",3,0.3,""
1,0,100,3,bsm_idle_yamato,130011,3001,0,1,1.3,0
130011,0,0,3,"",bsm_drama_doya,3002,bsm_drama_doya_loop,3,0.2,1
vo_minigame_1014,"",0,3,"",vo_minigame_1014_top_1002,3003,0,21,"",""
130011,0,7,3,1,"메카닉으로서, \n후부키의 실력은 신의 경지야…\n내 동생이라 다행이야, \n진짜로",3004,1,11,0,0
0,"","",3,"","",3005,"",91,"",""
130011,"",1,3,"",bsm_idle_yamato,3006,"",3,0.3,""
1,0,100,4,bsm_idle_wakana,130111,4001,0,1,1.3,0
130111,0,0,4,"",bsm_drama_guts,4002,bsm_drama_guts_loop,3,0.2,1
vo_minigame_1014,"",0,4,"",vo_minigame_1014_top_2000,4003,0,21,"",""
130111,0,8,4,1,"참가자 여러분께는\n죄송하지만…\n대출을 갚기 위해서도\n이기겠습니다!",4004,1,11,0,0
0,"","",4,"","",4005,"",91,"",""
130111,"",1,4,"",bsm_idle_wakana,4006,"",3,0.3,""
1,0,100,5,bsm_idle_wakana,130111,5001,0,1,1.3,0
130111,"",1,5,"",bsm_drama_wish,5002,"",3,0.2,""
vo_minigame_1014,"",0,5,"",vo_minigame_1014_top_2001,5003,0,21,"",""
130111,0,8,5,1,"이렇게 말하기는\n뭐하지만…\n언니가 즐거워 보여서, \n저도 기뻐요",5004,1,11,0,0
0,"","",5,"","",5005,"",91,"",""
130111,"",1,5,"",bsm_idle_wakana,5006,"",3,0.3,""
1,0,100,6,bsm_idle_wakana,130111,6001,0,1,1.3,0
130111,"",1,6,"",bsm_drama_pazzled,6002,"",3,0.2,""
vo_minigame_1014,"",0,6,"",vo_minigame_1014_top_2002,6003,0,21,"",""
130111,0,7,6,1,"후부키에게\n야채를 먹이\n려면 어떻게 해야…\n조, 좀 더 강제로…?",6004,1,11,0,0
0,"","",6,"","",6005,"",91,"",""
130111,"",1,6,"",bsm_idle_wakana,6006,"",3,0.3,""
1,0,100,7,bsm_idle_fubuki,130211,7001,0,1,1.3,0
130211,"",1,7,"",bsm_drama_smile,7002,"",3,0.2,""
vo_minigame_1014,"",0,7,"",vo_minigame_1014_top_3000,7003,0,21,"",""
130211,0,5,7,1,"대전 상대의 일은~\n우리한테 상금을\n가져다주는 것♪\n잘 부탁해~♡",7004,1,11,0,0
0,"","",7,"","",7005,"",91,"",""
130211,"",1,7,"",bsm_idle_fubuki,7006,"",3,0.2,""
1,0,100,8,bsm_idle_fubuki,130211,8001,0,1,1.3,0
130211,"",0,8,"",bsm_drama_doya,8002,bsm_drama_doya_loop,3,0.2,1
vo_minigame_1014,"",0,8,"",vo_minigame_1014_top_3001,8003,0,21,"",""
130211,0,7,8,1,"이미 야마 언니 우승\n확정이니까~♪\n상금 전부 받아 둬도\n괜찮지 않아~?",8004,1,11,0,0
0,"","",8,"","",8005,"",91,"",""
130211,"",1,8,"",bsm_idle_fubuki,8006,"",3,0.2,""
1,0,100,9,bsm_idle_fubuki,130211,9001,0,1,1.3,0
130211,0,0,9,"",bsm_drama_laugh,9002,bsm_drama_laugh_loop,3,0.2,1
vo_minigame_1014,"",0,9,"",vo_minigame_1014_top_3002,9003,0,21,"",""
130211,0,7,9,1,"오빠를 탄환 삼아\n쏘는 무기라든가, 어때~?\n꺄하하, 약해 보여~♡",9004,1,11,0,0
0,"","",9,"","",9005,"",91,"",""
130211,"",1,9,"",bsm_idle_fubuki,9006,"",3,0.2,""
