name,score_to,score_from,id,name_group
" 햇병아리",26999,0,1,1
" 미숙자",26999,0,2,1
" 치어",26999,0,3,1
" 비기너 러너",26999,0,4,3
" 아기",26999,0,5,1
" 베이비",26999,0,6,1
" 잔챙이",26999,0,7,1
" 풋내기",26999,0,8,1
" 아마추어",26999,0,9,1
" 잔고기",33999,27000,10,1
" 초심자",33999,27000,11,1
" 엔조이 러너",33999,27000,12,3
" 애송이",33999,27000,13,1
" 루키",33999,27000,14,1
" 걸",33999,27000,15,1
" 유망주",33999,27000,16,1
" 원석",33999,27000,17,1
" 뉴 호프",33999,27000,18,2
" 탐구자",50399,34000,19,1
" 난폭자",50399,34000,20,1
" 부산물",50399,34000,21,1
" 수재",50399,34000,22,1
" 거물",50399,34000,23,1
" 기린아",50399,34000,24,1
" 호프",50399,34000,25,1
" 신성",50399,34000,26,1
" 인재",50399,34000,27,1
" 머메이드",59999,50400,28,1
" 선배",59999,50400,29,1
" 중급자",59999,50400,30,1
" 비치 플래거",59999,50400,31,3
" 물고기",59999,50400,32,1
" 치프",59999,50400,33,1
" 캡틴",59999,50400,34,1
" 어른",59999,50400,35,1
" 세미프로",59999,50400,36,1
" 대형 신인",59999,50400,37,1
" 유성",69999,60000,38,1
" 선생님",69999,60000,39,1
" 돌핀",69999,60000,40,1
" 장인",69999,60000,41,1
" 레이서",69999,60000,42,1
" 툰누스",69999,60000,43,1
" 중지중",69999,60000,44,1
" 빅 네임",69999,60000,45,2
" 뛰어난 인재",69999,60000,46,1
" 엘리트",69999,60000,47,1
" 일꾼",69999,60000,48,1
" 현인",69999,60000,49,1
" 오르카",83999,70000,50,1
" 명인",83999,70000,51,1
" 마술사",83999,70000,52,1
" 스승",83999,70000,53,1
" 서브마린",83999,70000,54,1
" 스프린터",83999,70000,55,2
" 명수",83999,70000,56,1
" 에이스 러너",83999,70000,57,2
" 프로",83999,70000,58,1
" 간판선수",83999,70000,59,1
" 일인자",83999,70000,60,1
" 돈",83999,70000,61,1
" 스피드 스타",99999,84000,62,2
" 호걸",99999,84000,63,1
" 프린세스",99999,84000,64,1
" 여신",99999,84000,65,1
" 마스터",99999,84000,66,1
" 넘버 원",99999,84000,67,2
" 총아",99999,84000,68,1
" 와일드 그리핀",99999,84000,69,3
" 와이번",99999,84000,70,1
" 엑스퍼트",99999,84000,71,2
" 톱 러너",99999,84000,72,2
" 위타천",119999,100000,73,1
" 퀸",119999,100000,74,1
" 챔피언",119999,100000,75,2
" 천재 러너",119999,100000,76,2
" 레코드 홀더",119999,100000,77,3
" 극치",119999,100000,78,1
" 네프테리온",119999,100000,79,2
" 씨 드레이크",119999,100000,80,2
" 여걸",119999,100000,81,1
" 혁명가",119999,100000,82,1
" 빅스타",119999,100000,83,2
" 판타지스타",999999,120000,84,2
" 슈퍼스타",999999,120000,85,2
" 월드 챔프",999999,120000,86,3
" 레전드",999999,120000,87,1
" 초인",999999,120000,88,1
" 토르페돈",999999,120000,89,1
" 카르키노스",999999,120000,90,1
" 아쿠아 리오스",999999,120000,91,2
" 지보",999999,120000,92,1
" 그랜드 마스터",999999,120000,93,3
" 영웅",999999,120000,94,1
" 천하 통일",999999,120000,95,1
