id,duration,sekai_id,add_times_limit,add_times_time,add_times
1,0,10002,10,2024/04/01,6
2,120,10002,10,"2024/04/01 2:00:00",2
3,120,10002,10,"2024/04/01 4:00:00",2
4,120,10002,10,"2024/04/01 6:00:00",2
5,120,10002,10,"2024/04/01 8:00:00",2
6,120,10002,10,"2024/04/01 10:00:00",2
7,120,10002,10,"2024/04/01 12:00:00",2
8,120,10002,10,"2024/04/01 14:00:00",2
9,120,10002,10,"2024/04/01 16:00:00",2
10,120,10002,10,"2024/04/01 18:00:00",2
11,120,10002,10,"2024/04/01 20:00:00",2
12,120,10002,10,"2024/04/01 22:00:00",2
