original_equipment_id,magic_def,require_level,equipment_id,wave_energy_recovery,magic_penetrate,description,hp_recovery_rate,item_type,display_item,magic_critical,dodge,equipment_name,atk,energy_reduce_rate,promotion_level,physical_penetrate,equipment_enhance_point,equipment_type,energy_recovery_rate,life_steal,hp,magic_str,def,accuracy,wave_hp_recovery,craft_flg,sale_price,enable_donation,physical_critical,equipment_category
101011,0.0,1,101011,0.0,0.0,"어디서든 손에 넣을 수 있는 값싼 검. 검을 익히는 이들 대부분이 처음으로 접하는 의미 있는 검이다.",0.0,0,0,0.0,0.0,"아이언 블레이드",6.0,0.0,1,0.0,1,0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0,60,1,0.0,1
101071,0.0,1,101071,0.0,0.0,"펜 모양의 단검. 공격력은 낮지만 휴대성이 좋다.",0.0,0,0,0.0,0.0,"킬러 펜슬",6.0,0.0,1,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0,60,1,0.0,7
101101,0.0,1,101101,5.0,0.0,"주먹을 강화해주는 목제 무기. 간단한 모양이지만 맨손보다 주먹의 부담을 줄일 수 있다.",0.0,0,0,0.0,0.0,"우드 그립",4.0,0.0,1,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,60,1,0.0,10
101131,1.0,1,101131,0.0,0.0,"일반적인 나무 활. 사냥꾼이 애용하며 동물 사냥에 적합한 사정거리와 위력을 보여준다.",0.0,0,0,0.0,0.0,"사냥꾼의 활",3.0,0.0,1,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,60,1,0.0,13
101161,0.0,1,101161,0.0,0.0,"병사가 애용하는 창. 리치가 길고 사용하기 편해 전쟁 시에 선호된다.",0.0,0,0,0.0,0.0,"강철의 창",4.0,0.0,1,0.0,1,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,60,1,0.0,16
101191,0.0,1,101191,0.0,0.0,"소형 한손 도끼. 원래 던지는 용도로 만들어졌지만 다루기 쉬워 근접 무기로도 사용된다.",0.0,0,0,0.0,0.0,"한손 도끼",8.0,0.0,1,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,60,1,0.0,19
101251,0.0,1,101251,0.0,0.0,"미스테리온 삼림에서 자란 아스트라이아 향나무 지팡이. 향기가 부상자의 마음을 편하게 한다.",0.0,0,0,0.0,0.0,"향나무 지팡이",0.0,0.0,1,0.0,1,0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0,60,1,0.0,25
101281,0.0,2,101281,0.0,0.0,"원래는 장인의 작업복. 커다란 주머니가 그 흔적. 초보 모험가는 짐이 많기 때문에 커다란 주머니가 유용하게 쓰인다.",0.0,0,0,0.0,0.0,"가죽 멜빵바지",2.0,0.0,1,0.0,2,0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0,60,1,0.0,28
101371,0.0,2,101371,0.0,0.0,"모험가가 맨 처음 고르는 옷. 첫걸음을 내딛는 자를 위한 축복이 걸려 있어 이런 이름이 붙었다.",0.0,0,0,0.0,0.0,"시작의 로브",0.0,0.0,1,0.0,2,0,0.0,0.0,55.0,1.0,0.0,0.0,0.0,0,60,1,0.0,37
101401,0.0,2,101401,0.0,0.0,"아스트라이안 시더 나무로 만든 방패. 가공이 쉽고 저렴하기 때문에 학생들의 모의전에 자주 사용한다.",0.0,0,0,0.0,0.0,"나무 방패",2.0,0.0,1,0.0,2,0,0.0,0.0,15.0,0.0,1.0,0.0,0.0,0,60,1,0.0,40
101431,0.0,2,101431,0.0,0.0,"모험가가 아닌 사람들에게도 사랑받는 대표적인 상품. 가볍고 편하며 오래 신을수록 발에 맞춰 길이 든다.",0.0,0,0,0.0,1.0,"가죽 부츠",0.0,0.0,1,0.0,2,0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0,60,1,0.0,43
101521,1.0,2,101521,0.0,0.0,"원래 화가가 애용하던 모자. 햇볕과 바람을 막기에 적합하여 초보 모험가에게도 인기.",0.0,0,0,0.0,0.0,"세련된 베레모",0.0,0.0,1,0.0,2,0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0,60,1,0.0,52
101551,0.0,3,101551,0.0,0.0,"착용하면 왠지 의욕이 생기는 팔찌. 공격력이 올라가는 효과가 있다.",0.0,0,0,0.0,0.0,"의지의 브레이슬릿",3.0,0.0,1,0.0,2,0,0.0,0.0,0.0,0.0,1.0,0.0,25.0,0,60,1,0.0,55
101581,0.0,3,101581,0.0,0.0,"네 잎 클로버가 장식된 부적. 착용자를 지키고 행운을 부른다.",0.0,0,0,0.0,0.0,"부적 펜던트",0.0,0.0,1,0.0,2,0,0.0,0.0,0.0,0.0,1.0,0.0,50.0,0,60,1,0.0,58
101611,1.0,3,101611,0.0,0.0,"마력을 지닌 팔찌. 착용 시 기합이 들어가고 착용자의 마법 공격력이 올라가는 효과가 있다.",0.0,0,0,0.0,0.0,"기합의 브레이슬릿",0.0,0.0,1,0.0,2,0,0.0,0.0,0.0,3.0,0.0,0.0,25.0,0,60,1,0.0,61
102011,0.0,6,102011,0.0,0.0,"칼날과 몸체를 톱니바퀴로 연결한 신기한 검. 시계방과 대장간이 합심하여 개발한 무기이다.",0.0,0,0,0.0,0.0,"기어 블레이드",13.0,0.0,2,0.0,6,0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0,160,1,0.0,1
102013,0.0,9,102013,0.0,0.0,"귀족에게 바쳐진 명검의 레플리카. 외형도 아름답지만 그에 못지않게 절삭력도 좋아 실용성이 높다.",0.0,0,0,0.0,0.0,"블루 블러드",27.0,0.0,2,0.0,14,0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0,320,1,0.0,1
102014,1.0,9,102014,0.0,0.0,"일곱 빛깔로 빛나는 아름다운 검. 검을 휘두를 때마다 빛을 발하고 그 궤적은 빛이 춤추는 듯이 보인다.",0.0,0,0,0.0,0.0,"오로라의 검",27.0,0.0,2,0.0,14,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,320,1,0.0,1
102041,0.0,9,102041,0.0,0.0,"아름다운 곡선을 가진 도. 용맹한 장군조차 피에 젖는 것은 아깝다고 말할 정도이다. 미술품으로서도 지고의 최상품.",0.0,0,0,0.0,0.0,"크레센트 소드",30.0,0.0,2,0.0,14,0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0,320,1,0.0,4
