id,reward_type_2,reward_type_3,reward_type_5,reward_id_3,reward_type_4,reward_num_5,reward_id_5,reward_num_1,rank_from,rank_to,reward_id_1,reward_num_4,reward_id_4,reward_num_2,reward_num_3,reward_id_2,reward_type_1
1,0,0,0,0,0,0,0,50,1,10,91002,0,0,0,0,0,8
2,0,0,0,0,0,0,0,10,11,100,91002,0,0,0,0,0,8
3,0,0,0,0,0,0,0,5,101,200,91002,0,0,0,0,0,8
4,0,0,0,0,0,0,0,3,201,500,91002,0,0,0,0,0,8
5,0,0,0,0,0,0,0,2,501,1000,91002,0,0,0,0,0,8
6,0,0,0,0,0,0,0,2,1001,2000,91002,0,0,0,0,0,8
7,0,0,0,0,0,0,0,1,2001,3999,91002,0,0,0,0,0,8
8,0,0,0,0,0,0,0,50,4000,4000,91002,0,0,0,0,0,8
9,0,0,0,0,0,0,0,50,4100,4100,91002,0,0,0,0,0,8
10,0,0,0,0,0,0,0,50,4200,4200,91002,0,0,0,0,0,8
11,0,0,0,0,0,0,0,50,4300,4300,91002,0,0,0,0,0,8
12,0,0,0,0,0,0,0,50,4400,4400,91002,0,0,0,0,0,8
13,0,0,0,0,0,0,0,50,4500,4500,91002,0,0,0,0,0,8
14,0,0,0,0,0,0,0,50,4600,4600,91002,0,0,0,0,0,8
15,0,0,0,0,0,0,0,50,4700,4700,91002,0,0,0,0,0,8
16,0,0,0,0,0,0,0,50,4800,4800,91002,0,0,0,0,0,8
17,0,0,0,0,0,0,0,50,4900,4900,91002,0,0,0,0,0,8
18,0,0,0,0,0,0,0,50,5000,5000,91002,0,0,0,0,0,8
19,0,0,0,0,0,0,0,50,5100,5100,91002,0,0,0,0,0,8
20,0,0,0,0,0,0,0,50,5200,5200,91002,0,0,0,0,0,8
21,0,0,0,0,0,0,0,50,5300,5300,91002,0,0,0,0,0,8
22,0,0,0,0,0,0,0,50,5400,5400,91002,0,0,0,0,0,8
23,0,0,0,0,0,0,0,50,5500,5500,91002,0,0,0,0,0,8
24,0,0,0,0,0,0,0,50,5600,5600,91002,0,0,0,0,0,8
25,0,0,0,0,0,0,0,50,5700,5700,91002,0,0,0,0,0,8
26,0,0,0,0,0,0,0,50,5800,5800,91002,0,0,0,0,0,8
27,0,0,0,0,0,0,0,50,5900,5900,91002,0,0,0,0,0,8
28,0,0,0,0,0,0,0,50,6000,6000,91002,0,0,0,0,0,8
29,0,0,0,0,0,0,0,50,6100,6100,91002,0,0,0,0,0,8
30,0,0,0,0,0,0,0,50,6200,6200,91002,0,0,0,0,0,8
