condition_value_3,end_time,start_time,disp_group,condition_num,condition_value_2,category_icon,event_id,stationary_mission_id,description,system_id,condition_value_1,mission_reward_id,mission_condition
0,"2019/05/26 14:59:59","2019/05/01 15:00:00",102,1,0,601,10001,71001001,"이벤트 퀘스트 1-1(NORMAL)을 클리어하자",6004,10001101,71001001,9003
0,"2019/05/26 14:59:59","2019/05/01 15:00:00",102,1,0,601,10001,71001002,"이벤트 퀘스트 1-2(NORMAL)을 클리어하자",6004,10001102,71001002,9003
0,"2019/05/26 14:59:59","2019/05/01 15:00:00",102,1,0,601,10001,71001003,"이벤트 퀘스트 1-3(NORMAL)을 클리어하자",6004,10001103,71001003,9003
0,"2019/05/26 14:59:59","2019/05/01 15:00:00",102,1,0,601,10001,71001004,"이벤트 퀘스트 1-4(NORMAL)을 클리어하자",6004,10001104,71001004,9003
0,"2019/05/26 14:59:59","2019/05/01 15:00:00",102,1,0,601,10001,71001005,"이벤트 퀘스트 1-5(NORMAL)을 클리어하자",6004,10001105,71001005,9003
0,"2019/05/26 14:59:59","2019/05/01 15:00:00",102,1,0,601,10001,71001006,"이벤트 퀘스트 1-6(NORMAL)을 클리어하자",6004,10001106,71001006,9003
0,"2019/05/26 14:59:59","2019/05/01 15:00:00",102,1,0,601,10001,71001007,"이벤트 퀘스트 1-7(NORMAL)을 클리어하자",6004,10001107,71001007,9003
0,"2019/05/26 14:59:59","2019/05/01 15:00:00",102,1,0,601,10001,71001008,"이벤트 퀘스트 1-8(NORMAL)을 클리어하자",6004,10001108,71001008,9003
0,"2019/05/26 14:59:59","2019/05/01 15:00:00",102,1,0,601,10001,71001009,"이벤트 퀘스트 1-9(NORMAL)을 클리어하자",6004,10001109,71001009,9003
0,"2019/05/26 14:59:59","2019/05/01 15:00:00",102,1,0,601,10001,71001010,"이벤트 퀘스트 1-10(NORMAL)을 클리어하자",6004,10001110,71001010,9003
0,"2019/05/26 14:59:59","2019/05/01 15:00:00",102,1,0,601,10001,71001011,"이벤트 퀘스트 1-11(NORMAL)을 클리어하자",6004,10001111,71001011,9003
0,"2019/05/26 14:59:59","2019/05/01 15:00:00",102,1,0,601,10001,71001012,"이벤트 퀘스트 1-12(NORMAL)을 클리어하자",6004,10001112,71001012,9003
0,"2019/05/26 14:59:59","2019/05/01 15:00:00",102,1,0,601,10001,71001013,"이벤트 퀘스트 1-13(NORMAL)을 클리어하자",6004,10001113,71001013,9003
