id,time_from,name,skip_battle_time,space_id,story_id,space_battle_id,part_flag,time_to
1,2021/04/01,"배틀 오브 랜드솔",2021/04/02,1002,4007001,0,1,"2021/04/01 23:59:59"
2,2021/04/01,"배틀 오브 랜드솔",2021/04/02,1002,0,1002001,0,"2021/04/01 23:59:59"
3,2021/04/01,"배틀 오브 랜드솔",0,1002,4007001,0,2,"2021/04/01 23:59:59"
4,2021/04/01,"배틀 오브 랜드솔",0,1002,4007002,0,0,"2021/04/01 23:59:59"
5,2021/04/01,"배틀 오브 랜드솔",0,1002,4007003,0,0,"2021/04/01 23:59:59"
6,2021/04/01,"배틀 오브 랜드솔",0,1002,4007004,0,0,"2021/04/01 23:59:59"
7,2021/04/01,"배틀 오브 랜드솔",2021/04/02,1002,0,0,0,"2021/04/01 23:59:59"
8,2021/04/02,"배틀 오브 랜드솔",0,1002,4007005,0,0,"2021/04/08 23:59:59"
100,2024/04/01,"배틀 오브 랜드솔",2024/04/02,10002,4007001,0,1,"2024/04/01 23:59:59"
101,2024/04/01,"배틀 오브 랜드솔",2024/04/02,10002,0,1002001,0,"2024/04/01 23:59:59"
102,2024/04/01,"배틀 오브 랜드솔",0,10002,4007001,0,2,"2024/04/01 23:59:59"
103,2024/04/01,"배틀 오브 랜드솔",0,10002,4007002,0,0,"2024/04/01 23:59:59"
104,2024/04/01,"배틀 오브 랜드솔",0,10002,4007003,0,0,"2024/04/01 23:59:59"
105,2024/04/01,"배틀 오브 랜드솔",0,10002,4007004,0,0,"2024/04/01 23:59:59"
106,2024/04/01,"배틀 오브 랜드솔",2024/04/02,10002,0,0,0,"2024/04/01 23:59:59"
107,2024/04/02,"배틀 오브 랜드솔",0,10002,4007005,0,0,"2024/04/08 23:59:59"
