description,type,id
"사이드 스토리에서는 특별한 스토리를 즐기실 수 있습니다.\n이벤트 스토리는 이벤트 퀘스트를 진행하면 오픈됩니다.",1,101
"미션을 달성하면 획득할 수 있는 캐릭터가 등장합니다.\n미션 클리어를 노려보세요.",2,201
"보스에 도전하면 신뢰도 에피소드가 발생하는\n경우가 있습니다. 대화의 결과에 따라 신뢰도가 오르고\n특정 신뢰도에 도달하면 선물을 받을 수 있습니다.",3,301
"미션을 달성하면 획득할 수 있는 캐릭터가 등장합니다.\n미션 클리어를 노려보세요.",4,20005
"미션을 달성하면 획득할 수 있는 캐릭터가 등장합니다.\n미션 클리어를 노려보세요.",5,20007
"미션을 달성하면 획득할 수 있는 캐릭터가 등장합니다.\n미션 클리어를 노려보세요.",6,20009
"미션을 달성하면 획득할 수 있는 캐릭터가 등장합니다.\n미션 클리어를 노려보세요.",7,20010
"미션을 달성하면 획득할 수 있는 캐릭터가 등장합니다.\n미션 클리어를 노려보세요.",8,20011
"미션을 달성하면 획득할 수 있는 캐릭터가 등장합니다.\n미션 클리어를 노려보세요.",9,20013
"미션을 달성하면 획득할 수 있는 캐릭터가 등장합니다.\n미션 클리어를 노려보세요.",10,20015
"미션을 달성하면 획득할 수 있는 캐릭터가 등장합니다.\n미션 클리어를 노려보세요.",11,20016
"미션을 달성하면 획득할 수 있는 캐릭터가 등장합니다.\n미션 클리어를 노려보세요.",12,20018
"미션을 달성하면 획득할 수 있는 캐릭터가 등장합니다.\n미션 클리어를 노려보세요.",13,20020
"미션을 달성하면 획득할 수 있는 캐릭터가 등장합니다.\n미션 클리어를 노려보세요.",14,20021
"미션을 달성하면 획득할 수 있는 캐릭터가 등장합니다.\n미션 클리어를 노려보세요.",15,20022
"미션을 달성하면 획득할 수 있는 캐릭터가 등장합니다.\n미션 클리어를 노려보세요.",16,20025
"미션을 달성하면 획득할 수 있는 캐릭터가 등장합니다.\n미션 클리어를 노려보세요.",17,20026
"미션을 달성하면 획득할 수 있는 캐릭터가 등장합니다.\n미션 클리어를 노려보세요.",18,20027
"미션을 달성하면 획득할 수 있는 캐릭터가 등장합니다.\n미션 클리어를 노려보세요.",19,20029
"미션을 달성하면 획득할 수 있는 캐릭터가 등장합니다.\n미션 클리어를 노려보세요.",20,20031
"미션을 달성하면 획득할 수 있는 캐릭터가 등장합니다.\n미션 클리어를 노려보세요.",21,20032
"미션을 달성하면 획득할 수 있는 캐릭터가 등장합니다.\n미션 클리어를 노려보세요.",22,20033
"미션을 달성하면 획득할 수 있는 캐릭터가 등장합니다.\n미션 클리어를 노려보세요.",23,20035
"미션을 달성하면 획득할 수 있는 캐릭터가 등장합니다.\n미션 클리어를 노려보세요.",24,20038
"미션을 달성하면 획득할 수 있는 캐릭터가 등장합니다.\n미션 클리어를 노려보세요.",25,20040
"미션을 달성하면 획득할 수 있는 캐릭터가 등장합니다.\n미션 클리어를 노려보세요.",26,20042
"미션을 달성하면 획득할 수 있는 캐릭터가 등장합니다.\n미션 클리어를 노려보세요.",27,20044
"미션을 달성하면 획득할 수 있는 캐릭터가 등장합니다.\n미션 클리어를 노려보세요.",28,20045
"미션을 달성하면 획득할 수 있는 캐릭터가 등장합니다.\n미션 클리어를 노려보세요.",29,20047
"미션을 달성하면 획득할 수 있는 캐릭터가 등장합니다.\n미션 클리어를 노려보세요.",30,20051
"미션을 달성하면 획득할 수 있는 캐릭터가 등장합니다.\n미션 클리어를 노려보세요.",31,20052
"미션을 달성하면 획득할 수 있는 캐릭터가 등장합니다.\n미션 클리어를 노려보세요.",32,20053
"미션을 달성하면 획득할 수 있는 캐릭터가 등장합니다.\n미션 클리어를 노려보세요.",33,20055
"미션을 달성하면 획득할 수 있는 캐릭터가 등장합니다.\n미션 클리어를 노려보세요.",34,20057
"미션을 달성하면 획득할 수 있는 캐릭터가 등장합니다.\n미션 클리어를 노려보세요.",35,20058
"미션을 달성하면 획득할 수 있는 캐릭터가 등장합니다.\n미션 클리어를 노려보세요.",36,20059
"VERY HARD에서 카즈마사 님이 엄호해 주시는 것 같습니다.\n강력한 스턴 효과의 유니온 버스트로 서포트해 주실 겁니다.\n보스가 꼼짝 못 하는 동안 단숨에 쓰러뜨리세요.",2003201,2003201
"주인님께서 숙제를 열심히 하고 계신 모양입니다.\n숙제가 끝날 때까지 몬스터의 공격을 버텨내면 승리입니다.\n숙제가 어디까지 진행됐는지는 화면의 게이지를 확인하세요.",2003901,2003901
