enemy_id_2,wave_group_id,enemy_id_1,enemy_id_3,enemy_id_5,enemy_id_4,id
924070102,924070100,924070101,924070103,924070105,924070104,2407001
924070202,924070200,924070201,924070203,924070205,924070204,2407002
924070302,924070300,924070301,924070303,924070305,924070304,2407003
0,924071100,924071101,0,0,0,2407004
0,924071200,924071201,0,0,0,2407005
0,924071300,924071301,0,0,0,2407006
0,924071400,924071401,0,0,0,2407007
0,924072100,924072101,0,0,0,2407008
0,924072200,924072201,0,0,0,2407009
0,924072300,924072301,0,0,0,2407010
0,924072400,924072401,0,0,0,2407011
0,924073100,924073101,0,0,0,2407012
0,924073200,924073201,0,0,0,2407013
0,924073300,924073301,0,0,0,2407014
0,924073400,924073401,0,0,0,2407015
924080102,924080100,924080101,924080103,924080105,924080104,2408001
924080202,924080200,924080201,924080203,924080205,924080204,2408002
924080302,924080300,924080301,924080303,924080305,924080304,2408003
0,924081100,924081101,0,0,0,2408004
0,924081200,924081201,0,0,0,2408005
0,924081300,924081301,0,0,0,2408006
0,924081400,924081401,0,0,0,2408007
0,924082100,924082101,0,0,0,2408008
0,924082200,924082201,0,0,0,2408009
0,924082300,924082301,0,0,0,2408010
0,924082400,924082401,0,0,0,2408011
0,924083100,924083101,0,0,0,2408012
0,924083200,924083201,0,0,0,2408013
0,924083300,924083301,0,0,0,2408014
0,924083400,924083401,0,0,0,2408015
924090102,924090100,924090101,924090103,924090105,924090104,2409001
924090202,924090200,924090201,924090203,924090205,924090204,2409002
924090302,924090300,924090301,924090303,924090305,924090304,2409003
0,924091100,924091101,0,0,0,2409004
0,924091200,924091201,0,0,0,2409005
0,924091300,924091301,0,0,0,2409006
0,924091400,924091401,0,0,0,2409007
0,924092100,924092101,0,0,0,2409008
0,924092200,924092201,0,0,0,2409009
0,924092300,924092301,0,0,0,2409010
0,924092400,924092401,0,0,0,2409011
0,924093100,924093101,0,0,0,2409012
0,924093200,924093201,0,0,0,2409013
0,924093300,924093301,0,0,0,2409014
0,924093400,924093401,0,0,0,2409015
924100102,924100100,924100101,924100103,924100105,924100104,2410001
924100202,924100200,924100201,924100203,924100205,924100204,2410002
924100302,924100300,924100301,924100303,924100305,924100304,2410003
0,924101100,924101101,0,0,0,2410004
0,924101200,924101201,0,0,0,2410005
0,924101300,924101301,0,0,0,2410006
0,924101400,924101401,0,0,0,2410007
0,924102100,924102101,0,0,0,2410008
0,924102200,924102201,0,0,0,2410009
0,924102300,924102301,0,0,0,2410010
0,924102400,924102401,0,0,0,2410011
0,924103100,924103101,0,0,0,2410012
0,924103200,924103201,0,0,0,2410013
0,924103300,924103301,0,0,0,2410014
0,924103400,924103401,0,0,0,2410015
924110102,924110100,924110101,924110103,924110105,924110104,2411001
924110202,924110200,924110201,924110203,924110205,924110204,2411002
924110302,924110300,924110301,924110303,924110305,924110304,2411003
0,924111100,924111101,0,0,0,2411004
0,924111200,924111201,0,0,0,2411005
0,924111300,924111301,0,0,0,2411006
0,924111400,924111401,0,0,0,2411007
0,924112100,924112101,0,0,0,2411008
0,924112200,924112201,0,0,0,2411009
0,924112300,924112301,0,0,0,2411010
0,924112400,924112401,0,0,0,2411011
0,924113100,924113101,0,0,0,2411012
0,924113200,924113201,0,0,0,2411013
0,924113300,924113301,0,0,0,2411014
0,924113400,924113401,0,0,0,2411015
924120102,924120100,924120101,924120103,924120105,924120104,2412001
924120202,924120200,924120201,924120203,924120205,924120204,2412002
924120302,924120300,924120301,924120303,924120305,924120304,2412003
0,924121100,924121101,0,0,0,2412004
0,924121200,924121201,0,0,0,2412005
0,924121300,924121301,0,0,0,2412006
0,924121400,924121401,0,0,0,2412007
0,924122100,924122101,0,0,0,2412008
0,924122200,924122201,0,0,0,2412009
0,924122300,924122301,0,0,0,2412010
0,924122400,924122401,0,0,0,2412011
0,924123100,924123101,0,0,0,2412012
0,924123200,924123201,0,0,0,2412013
0,924123300,924123301,0,0,0,2412014
0,924123400,924123401,0,0,0,2412015
924140102,924140100,924140101,924140103,924140105,924140104,2414001
924140202,924140200,924140201,924140203,924140205,924140204,2414002
924140302,924140300,924140301,924140303,924140305,924140304,2414003
0,924141100,924141101,0,0,0,2414004
0,924141200,924141201,0,0,0,2414005
0,924141300,924141301,0,0,0,2414006
0,924141400,924141401,0,0,0,2414007
0,924142100,924142101,0,0,0,2414008
0,924142200,924142201,0,0,0,2414009
0,924142300,924142301,0,0,0,2414010
0,924142400,924142401,0,0,0,2414011
0,924143100,924143101,0,0,0,2414012
0,924143200,924143201,0,0,0,2414013
0,924143300,924143301,0,0,0,2414014
0,924143400,924143401,0,0,0,2414015
925010102,925010100,925010101,925010103,925010105,925010104,2501001
925010202,925010200,925010201,925010203,925010205,925010204,2501002
925010302,925010300,925010301,925010303,925010305,925010304,2501003
0,925011100,925011101,0,0,0,2501004
0,925011200,925011201,0,0,0,2501005
0,925011300,925011301,0,0,0,2501006
0,925011400,925011401,0,0,0,2501007
0,925012100,925012101,0,0,0,2501008
0,925012200,925012201,0,0,0,2501009
0,925012300,925012301,0,0,0,2501010
0,925012400,925012401,0,0,0,2501011
0,925013100,925013101,0,0,0,2501012
0,925013200,925013201,0,0,0,2501013
0,925013300,925013301,0,0,0,2501014
0,925013400,925013401,0,0,0,2501015
