type_4,type_3,id,type_2,discription,type_1
0,0,2001,2,"「{0}」 {1}일째 획득한 아이템입니다.",1
0,0,2002,0,"「{0}」에서 획득한 아이템입니다.",3
0,0,2003,0,"「{0}」에서 획득한 아이템입니다.",4
0,0,2004,0,"배틀 아레나 {0}위 랭킹 보상입니다.",5
0,0,2005,0,"프린세스 아레나 {0}위 랭킹 보상입니다.",6
0,7,2006,11,"{0}월 클랜전 {1} 최종 랭킹 {2}위 보상입니다.",10
0,0,2007,8,"{0}월 클랜전 월간 랭킹 {1}위 보상입니다.",10
0,0,2008,0,"{0}에서 획득한 보상입니다.",9
0,7,2009,11,"{0}월 클랜전 랭킹 {2}위 보상입니다.",10
0,0,2010,2,"「{0}」 {1}일째 보상 아이템입니다.",1
0,16,2011,2,"「{0}」 {1}일째 「{2}」에서 획득한 아이템입니다.",1
0,0,2012,2,"「{0}」 {1}일째 획득한 아이템입니다.",17
0,0,2013,0,"「{0}」에서 획득한 아이템입니다.",1
0,19,2014,11,"{0}월 클랜전 {2}회차 달성 보상입니다.",10
0,0,2015,0,"「{0}」의 추가 보상입니다.",20
0,0,2016,0,"{0}의 답례로 받은 아이템입니다.",1
0,0,2017,0,"Lv/RANK 싱크로 기능 도입과 함께 배포합니다.",0
0,0,3001,0,"길드 하우스 2층 오픈 시 획득한 아이템입니다.",0
0,0,3002,0,"길드 하우스 3층 오픈 시 획득한 아이템입니다.",0
0,0,8901,0,"공식 카페 이벤트 달성 보상입니다.",0
0,0,8902,0,"더욱 노력하는 길드 관리 협회가 되겠습니다.",0
0,0,8903,0,"죄송한 마음을 담아 선물을 드립니다.",0
0,0,8904,0,"감사의 마음을 담아 선물을 드립니다.",0
0,0,8905,0,"「길드 관리 협회」 CM코니의 깜짝 선물입니다.",0
0,0,8906,0,"「길드 관리 협회」 1일차 출석 선물입니다.",0
0,0,8907,0,"「길드 관리 협회」 2일차 출석 선물입니다.",0
0,0,8908,0,"「길드 관리 협회」 3일차 출석 선물입니다.",0
0,0,8909,0,"「길드 관리 협회」 4일차 출석 선물입니다.",0
0,0,8910,0,"「길드 관리 협회」 5일차 출석 선물입니다.",0
0,0,8911,0,"「길드 관리 협회」 주말 특별 선물입니다.",0
0,0,8912,0,"「데일리 마나 팩」 구매로 획득한 마나 입니다.",0
0,0,8913,0,"「7일간 스태미나 응원 팩」 구매로 획득한 보상입니다.",0
0,0,8914,0,"아이템 장비 패키지Ⅰ를 구입하여 획득한 아이템입니다.",0
0,0,8915,0,"「웰컴 패키지」 구매로 획득한 아이템입니다.",0
0,0,8916,0,"「여신의 축복팩」 구매로 획득한 아이템입니다.",0
0,0,8917,0,"「데일리 스태미나 팩」 구매로 획득한 스태미나입니다.",0
0,0,8918,0,"「2주년 특별 패키지」 구매로 획득한 아이템입니다.",0
0,0,8919,0,"[1차 경고] 불건전 언어를 계속하여 사용할 경우 계정이 제한될 수 있습니다.",0
0,0,8920,0,"[2차 경고] 불건전 언어를 계속하여 사용할 경우 계정이 제한될 수 있습니다.",0
0,0,8921,0,"안내해 드릴 사항이 있어 1:1 문의 접수를 요청드립니다.",0
0,0,8922,0,"설문조사에 참여해주셔서 감사합니다.",0
0,0,9101,0,"게임 이용에 불편을 드려 죄송합니다.",0
0,0,9102,0,"길드 관리 협회에서 보낸 보상입니다.",0
0,0,9103,0,"도전횟수를 4회 이하로 한 뒤 수령해 주세요.",0
0,0,9201,0,"점검을 기다려 주셔서 감사합니다.",0
0,0,9202,0,"업데이트해주셔서 감사합니다.",0
0,0,9203,0,"길드 관리 협회의 선물입니다.",0
0,0,9204,0,"사전 예약 선물입니다.",0
0,0,9205,0,"쿠폰 입력 선물입니다.",0
0,0,9206,0,"「사전등록 캠페인」 30만 명 달성 보상입니다.",0
0,0,9208,0,"LinksMate 게임 연계 특전입니다.",0
0,0,9209,0,"LinksMate 이용 특전입니다.",0
0,0,9210,0,"LinksMate의 스타 선물입니다.",0
