mode,hp_gauge_color_flag,action_start_second,trigger_hp,detail_boss_motion,wave_group_id,purpose_type,recommended_level,detail_boss_bg_height,story_id_mode_end,purpose_count,appear_time,story_start_second,story_id_mode_start,event_id,unnecessary_defeat_chara,detail_boss_bg_size,start_idle_trigger,is_hide_boss
1,0,5.0,0,"",610010004,2,90,0.0,5010321,0,0.0,1.5,0,10010,610010401,0.0,0,0
2,0,5.0,0,"",610010005,3,90,0.0,5010322,108,0.0,1.5,0,10010,610010402,0.0,0,0
3,0,5.0,0,"",610010006,1,90,0.0,0,0,0.0,1.5,0,10010,0,0.0,0,0
1,0,5.0,70,"",610011004,1,90,0.0,5011322,0,0.0,1.5,5011321,10011,0,0.0,0,0
2,0,5.0,40,"",610011005,1,90,0.0,5011323,0,0.0,1.5,0,10011,0,0.0,0,0
3,0,5.0,0,"",610011006,1,90,0.0,0,0,0.0,1.5,0,10011,0,0.0,0,0
1,1,5.0,0,"",610012004,2,90,0.0,5012321,0,3.0,1.5,0,10012,610012401,0.0,600,0
2,1,5.0,51,"",610012005,1,90,0.0,5012322,0,0.0,1.5,0,10012,0,0.0,0,0
3,1,5.0,0,"",610012006,1,90,0.0,0,0,0.0,1.5,0,10012,0,0.0,0,0
1,1,5.0,0,"",610013004,2,90,50.0,5013321,0,3.0,1.5,0,10013,610013401,0.9,600,0
2,0,5.0,50,"",610013005,1,90,84.0,5013322,0,0.0,1.5,0,10013,0,1.0,0,0
3,0,5.0,0,"",610013006,1,90,84.0,0,0,0.0,1.5,0,10013,0,1.0,0,0
1,1,5.0,0,"",610015004,2,90,1.0,5015321,0,3.0,1.5,0,10015,610015401,0.9,600,0
2,1,5.0,50,"",610015005,1,90,-50.0,5015322,0,0.0,1.5,0,10015,0,1.3,0,0
3,1,5.0,0,"",610015006,1,90,-50.0,0,0,0.0,1.5,0,10015,0,1.3,0,0
1,1,5.0,0,"",610017004,2,90,50.0,5017321,0,3.0,1.5,0,10017,610017401,0.9,600,0
2,1,5.0,50,"",610017005,1,90,84.0,5017322,0,0.0,1.5,0,10017,0,1.0,0,0
3,1,5.0,0,"",610017006,1,90,84.0,0,0,0.0,1.5,0,10017,0,1.0,0,0
1,1,5.0,0,"",610019004,4,90,-50.0,5019322,200,0.0,1.5,5019321,10019,610019401,1.25,0,0
2,1,5.0,50,"",610019005,1,90,-50.0,5019323,0,0.0,1.5,0,10019,0,1.25,0,0
3,1,5.0,0,"",610019006,1,90,-50.0,0,0,0.0,1.5,0,10019,0,1.25,0,0
1,1,5.0,60,"",610021004,1,90,0.0,5021322,0,0.0,1.5,5021321,10021,0,1.0,0,0
2,1,5.0,0,"",610021005,3,90,0.0,5021323,30,0.0,1.5,0,10021,0,1.0,0,0
3,1,5.0,0,"",610021006,1,90,0.0,0,0,0.0,1.5,0,10021,0,1.0,0,0
1,1,5.0,75,"",610023004,1,135,-50.0,5023322,0,0.0,1.5,5023321,10023,0,1.25,0,0
2,1,5.0,25,"",610023005,1,135,-50.0,5023323,0,0.0,1.5,0,10023,0,1.25,0,0
3,1,5.0,0,"",610023006,1,135,-50.0,0,0,0.0,1.5,0,10023,0,1.25,0,0
1,1,5.0,0,"",610025004,2,140,-50.0,5025322,0,3.0,5.5,5025321,10025,610025401,1.25,600,0
2,1,5.0,50,"",610025005,1,140,-50.0,5025323,0,0.0,1.5,0,10025,0,1.25,0,0
3,1,5.0,0,"",610025006,1,140,-50.0,0,0,0.0,1.5,0,10025,0,1.25,0,0
1,1,5.0,60,"",610027004,1,145,-50.0,5027322,0,3.0,5.5,5027321,10027,0,1.25,600,0
2,1,5.0,0,"",610027005,2,145,-50.0,5027323,0,0.0,1.5,0,10027,610027501,1.25,600,0
3,1,5.0,0,"",610027006,1,145,-50.0,0,0,0.0,1.5,0,10027,0,1.25,0,0
1,1,5.0,0,"",610029004,2,145,0.0,5029322,0,3.0,5.5,5029321,10029,610029401,1.5,600,0
2,1,5.0,60,"",610029005,1,145,0.0,5029323,0,0.0,1.5,0,10029,0,1.5,0,0
3,1,5.0,0,"",610029006,1,145,0.0,0,0,0.0,1.5,0,10029,0,1.5,0,0
1,1,5.0,0,"",610031004,2,150,-50.0,5031322,0,3.0,5.5,5031321,10031,610031401,1.25,600,0
2,1,5.0,50,"",610031005,1,150,-50.0,5031323,0,0.0,1.5,0,10031,0,1.25,0,0
3,1,5.0,0,"",610031006,1,150,-50.0,0,0,0.0,1.5,0,10031,0,1.25,0,0
1,1,5.0,50,"",610033004,1,150,-50.0,5033322,0,3.0,5.5,5033321,10033,0,1.25,600,0
2,1,5.0,0,"",610033005,2,150,-50.0,5033323,0,0.0,1.5,0,10033,610033402,1.25,600,0
3,1,5.0,0,"",610033006,1,150,-50.0,0,0,0.0,1.5,0,10033,0,1.25,0,0
1,1,5.0,70,"",610034004,1,90,0.0,5011322,0,0.0,1.5,5011321,10034,0,1.4,0,0
2,1,5.0,40,"",610034005,1,90,0.0,5011323,0,0.0,1.5,0,10034,0,1.4,0,0
3,1,5.0,0,"",610034006,1,90,0.0,0,0,0.0,1.5,0,10034,0,1.4,0,0
1,1,5.0,0,"",610035004,2,155,5.0,5035322,0,3.0,5.5,5035321,10035,610035401,2.5,600,0
2,1,5.0,0,"",610035005,2,155,5.0,5035323,0,0.0,1.5,0,10035,610035402,2.5,600,0
3,1,5.0,0,"",610035006,1,155,5.0,0,0,0.0,1.5,0,10035,0,2.5,0,0
1,1,5.0,75,"",610036004,1,155,-50.0,5036322,0,3.0,5.5,5036321,10036,0,0.4,600,0
2,1,5.0,20,"",610036005,1,155,-50.0,5036323,0,0.0,1.5,0,10036,0,0.4,600,0
3,1,5.0,0,"",610036006,1,155,-50.0,0,0,0.0,1.5,0,10036,0,0.4,0,0
1,1,5.0,0,"",610037004,2,90,-50.0,5012321,0,3.0,1.5,0,10037,610037401,1.5,600,0
2,1,5.0,53,"",610037005,1,90,-50.0,5012322,0,0.0,1.5,0,10037,0,1.5,0,0
3,1,5.0,0,"",610037006,1,90,-50.0,0,0,0.0,1.5,0,10037,0,1.5,0,0
1,1,5.0,0,"",610038004,2,155,-20.0,5038322,0,3.0,5.5,5038321,10038,610038401,1.8,600,0
2,1,5.0,55,310700_detail_idle,610038005,1,155,-20.0,5038323,0,0.0,1.5,0,10038,0,2.0,0,0
3,1,5.0,0,"",610038006,1,155,-20.0,0,0,0.0,1.5,0,10038,0,1.8,0,0
1,1,5.0,0,"",610039004,2,90,50.0,5013321,0,3.0,1.5,0,10039,610039401,0.9,600,0
2,1,5.0,50,"",610039005,1,90,84.0,5013322,0,0.0,1.5,0,10039,0,1.0,0,0
3,1,5.0,0,"",610039006,1,90,84.0,0,0,0.0,1.5,0,10039,0,1.0,0,0
1,1,5.0,0,"",610040004,2,160,-20.0,5040322,0,3.0,5.5,5040321,10040,610040401,1.5,600,0
2,1,5.0,60,"",610040005,1,160,-35.0,5040323,0,0.0,1.5,0,10040,0,1.7,0,0
3,1,5.0,0,"",610040006,1,160,-35.0,0,0,0.0,1.5,0,10040,0,1.7,0,0
1,1,5.0,0,"",610041004,2,90,1.0,5015321,0,3.0,1.5,0,10041,610041401,0.9,600,0
2,1,5.0,42,"",610041005,1,90,-50.0,5015322,0,0.0,1.5,0,10041,0,1.3,0,0
3,1,5.0,0,"",610041006,1,90,-50.0,0,0,0.0,1.5,0,10041,0,1.3,0,0
1,1,5.0,60,"",610042004,5,160,-20.0,5042322,6500000,0.0,5.5,5042321,10042,0,1.7,0,0
2,1,5.0,0,311100_detail_idle,610042005,2,160,-20.0,5042323,0,3.0,1.5,0,10042,610042402,1.61,600,0
3,1,5.0,0,"",610042006,1,160,-20.0,0,0,0.0,1.5,0,10042,0,1.7,0,0
1,1,5.0,0,"",610043004,4,90,-50.0,5019322,200,0.0,1.5,5019321,10043,610043401,1.25,0,0
2,1,5.0,67,"",610043005,1,90,-50.0,5019323,0,0.0,1.5,0,10043,0,1.25,0,0
3,1,5.0,0,"",610043006,1,90,-50.0,0,0,0.0,1.5,0,10043,0,1.25,0,0
1,1,5.0,70,"",610044004,1,166,-54.0,5044322,0,3.0,1.5,5044321,10044,0,1.8,600,0
2,1,5.0,30,"",610044005,1,166,-54.0,5044323,0,0.0,1.5,0,10044,0,1.8,0,0
3,1,5.0,0,"",610044006,1,166,-54.0,0,0,0.0,1.5,0,10044,0,1.8,0,0
1,1,5.0,65,"",610045004,1,90,0.0,5021322,0,0.0,1.5,5021321,10045,0,1.0,0,0
2,1,5.0,0,"",610045005,3,90,0.0,5021323,30,0.0,1.5,0,10045,0,1.0,0,0
3,1,5.0,0,"",610045006,1,90,0.0,0,0,0.0,1.5,0,10045,0,1.0,0,0
1,1,5.0,30,"",610046004,1,169,-35.0,5046322,0,0.0,5.5,5046321,10046,0,1.7,0,0
2,1,5.0,0,"",610046005,2,169,-15.0,5046323,0,3.0,1.5,0,10046,610046402,1.7,600,0
3,1,5.0,0,"",610046006,1,169,-35.0,0,0,0.0,1.5,0,10046,0,1.7,0,0
