param_03,param_04,command_id,param_05,drama_id,param_01,param_02,command_type,param_07,param_06,param_08
52,30,12001,-250,12,1,1,5,0,2.2,talk_sad
1,1,12002,0,12,1,1,6,0,0,""
29,50,12003,0,12,0,0,5,0,1,black
1,1,12004,0,12,0,1,6,0,0,""
"","",12005,"",12,0,"",91,"","",""
1,1,12006,1,12,1,1,6,0,0.2,""
1,1,12007,1,12,0,1,6,0,0.2,""
-250,0.3,12008,2,12,1,-20,2,"","",""
0,0.3,12009,2,12,0,0,2,"","",""
"","",12010,"",12,0.6,0,93,"","",""
0,0,12011,"",12,vo_asb,vo_asb_0121,21,"","",""
10,1,12012,1,12,1,"생각해 보면 간단한 선물조차\n지참하지 못했어요……",11,0,0,0
0,0,12013,"",12,0,"",91,"","",""
1,"",12014,"",12,1,guts2_talk_shy,3,"",0.2,""
0,0,12015,"",12,vo_asb,vo_asb_0122,21,"","",""
10,1,12016,1,12,1,"다음에 방문할 땐 반드시……!",11,0,0,0
0,0,12017,"",12,0,"",91,"","",""
1,"",12018,"",12,1,sad_talk_surprise,3,"",0.2,""
0,0,12019,"",12,vo_asb,vo_asb_0123,21,"","",""
10,1,12020,1,12,1,"……근데, 뭐가 좋을까요.\n쓸모없는 물건을 골라서 오히려\n신경 쓰게 만들어도 안 될 텐데……",11,0,0,0
0,0,12021,"",12,0,"",91,"","",""
1,"",12022,"",12,1,surprise_talk_dere,3,"",0.3,""
0,0,12023,"",12,vo_asb,vo_asb_0124,21,"","",""
10,1,12024,1,12,1,"역시, 오라버니와 관련된 곳이니까……\n오라버니와 의논해서, 함께 선택\n하는 게 최고일까요……",11,0,0,0
0,0,12025,"",12,0,"",91,"","",""
0,sad_idle_red_riri,12026,1,12,1,sad_talk_riri_in,3,0,0.4,""
0,0,12027,"",12,vo_asb,vo_asb_0125,21,"","",""
10,1,12028,1,12,1,"……함께…… 선물을……\n……헉.",11,0,0,0
0,0,12029,"",12,0,"",91,"","",""
"","",12030,"",12,12031,"",101,"","",""
1,1,12031,0,12,1,1,6,0,0.3,""
1,1,12032,0,12,0,1,6,0,0.3,""
-250,0.3,12033,1,12,1,-120,2,"","",""
0,0.3,12034,1,12,0,-100,2,"","",""
"","",12035,"",12,0,0,22,"","",""
"","",12036,"",12,0.4,0,93,"","",""
17,20,13001,-230,13,1,1,5,0,2.2,riri_idle_look_shy
19,-140,13002,-255,13,2,2,5,0,2.2,clear_idle_look_shy
18,270,13003,-245,13,3,3,5,1,2.2,idle_look_precia
1,1,13004,0,13,1,1,6,0,0,""
1,1,13005,0,13,2,1,6,0,0,""
1,1,13006,0,13,3,1,6,0,0,""
0,0,13007,1,13,1,100,31,"",0,""
"","",13008,"",13,100,0,35,"","",""
16,50,13009,0,13,0,0,5,0,1,black
1,1,13010,0,13,0,1,6,0,0,""
"","",13011,"",13,0,"",91,"","",""
"","",13012,"",13,0.1,0,93,"","",""
1,1,13013,1,13,1,1,6,0,0.2,""
1,1,13014,1,13,2,1,6,0,0.2,""
1,1,13015,1,13,3,1,6,0,0.2,""
1,1,13016,1,13,0,1,6,0,0.2,""
-230,0.3,13017,2,13,1,-30,2,"","",""
-255,0.3,13018,2,13,2,-190,2,"","",""
-245,0.3,13019,2,13,3,220,2,"","",""
0,0.3,13020,2,13,0,0,2,"","",""
"","",13021,"",13,100,1,32,"","",""
"","",13022,"",13,0.6,0,93,"","",""
1,"",13023,"",13,1,sad_talk_look_shy_riri,3,"",0.2,""
0,0,13024,"",13,vo_asb,vo_asb_1521,21,"","",""
10,1,13025,1,13,1,"실은 저희……\n이 배움의 스크랩북을\n오라버니에게 보여드리는 게\n조금 부끄러웠어요.",11,0,0,0
0,0,13026,"",13,0,"",91,"","",""
1,"",13027,"",13,1,sad_idle_normal_look_shy_riri,3,"",0.2,""
1,"",13028,"",13,2,clear_talk_look_shy,3,"",0.2,""
0,0,13029,"",13,vo_asb,vo_asb_1522,21,"","",""
10,1,13030,1,13,2,"그게, 즐거운 추억만큼이나\n실수하거나, 역부족인 일도 있어서.\n그것을 새삼 오빠에게 보여 주는 건\n용기가 필요하다고 할지……",11,0,0,0
0,0,13031,"",13,0,"",91,"","",""
1,"",13032,"",13,2,clear_idle_look_shy,3,"",0.3,""
1,"",13033,"",13,3,sad_talk_look_precia,3,"",0.2,""
0,0,13034,"",13,vo_asb,vo_asb_1523,21,"","",""
10,1,13035,1,13,3,"적나라한\n모험기.",11,0,0,0
0,0,13036,"",13,0,"",91,"","",""
1,"",13037,"",13,3,idle_look_precia,3,"",0.2,""
1,"",13038,"",13,1,talk_look_shy_riri,3,"",0.3,""
0,0,13039,"",13,vo_asb,vo_asb_1524,21,"","",""
10,1,13040,1,13,1,"하지만…… 이것도 배움이에요.\n오라버니. 부디 보시고 느낀 점을\n들려주실 수 있을까요?",11,0,0,0
0,0,13041,"",13,0,"",91,"","",""
1,"",13042,"",13,1,wish_talk_look_shy_riri,3,"",0.2,""
0,0,13043,"",13,vo_asb,vo_asb_1525,21,"","",""
10,1,13044,1,13,1,"아무리 엄격한 질타와 지도도\n겸허하게 받을 테니……\n엇, …………네?",11,0,0,0
0,0,13045,"",13,0,"",91,"","",""
1,"",13046,"",13,2,idle_look_shy,3,"",0.2,""
1,"",13047,"",13,3,joy_idle_look_shy_precia,3,"",0.3,""
1,"",13048,"",13,1,wish_talk_Ex4,3,"",0.2,""
0,0,13049,"",13,vo_asb,vo_asb_1526,21,"","",""
10,1,13050,1,13,1,"…………\n서, 설마……\n그렇게 칭찬해 주실 줄은……",11,0,0,0
0,0,13051,"",13,0,"",91,"","",""
1,"",13052,"",13,1,idle_look_shy_riri,3,"",0.2,""
1,"",13053,"",13,3,surprise_idle_lookR_precia,3,"",0.4,""
0,0,13054,"",13,vo_asb,vo_asb_1527,21,"","",""
10,1,13055,1,13,3,"오빠……",11,0,0,0
0,0,13056,"",13,0,"",91,"","",""
1,"",13057,"",13,3,joy_idle_look_shy_precia2,3,"",0.4,""
1,"",13058,"",13,2,clear_talk2_look,3,"",0.2,""
0,0,13059,"",13,vo_asb,vo_asb_1528,21,"","",""
10,1,13060,1,13,2,"오빠는\n결과를 운운하지 않고,\n저희가 노력한 것,\n그것 자체를 칭찬해 주시는군요……",11,0,0,0
0,0,13061,"",13,0,"",91,"","",""
1,"",13062,"",13,1,wish_talk_Ex3,3,"",0.2,""
1,"",13063,"",13,3,joy_idle_look_shy_precia,3,"",0.3,""
0,clear_wish_talk_joy_look,13064,1,13,2,talk2ToWish_look,3,0,0.2,""
0,0,13065,"",13,vo_asb,vo_asb_1529,21,"","",""
10,1,13066,1,13,1,"……고맙습니다!",11,0,0,0
0,0,13067,"",13,0,"",91,"","",""
1,"",13068,"",13,1,idle_look_shy_riri,3,"",0.2,""
1,"",13069,"",13,2,idle_look_shy,3,"",0.2,""
0,doya_talk_precia,13070,1,13,3,doya_in_precia,3,0,0.2,""
0,0,13071,"",13,vo_asb,vo_asb_1530,21,"","",""
10,1,13072,1,13,3,"당당한\n모험기.",11,0,0,0
0,0,13073,"",13,0,"",91,"","",""
1,"",13074,"",13,3,idle_look_normal_precia,3,"",0.4,""
1,"",13075,"",13,1,riri_talk_look_shy,3,"",0.2,""
0,0,13076,"",13,vo_asb,vo_asb_1531,21,"","",""
10,1,13077,1,13,1,"보시다시피 무슨 일이든 서투르고,\n미숙한 저희지만……",11,0,0,0
0,0,13078,"",13,0,"",91,"","",""
1,"",13079,"",13,1,riri_idle_look_normal_shy,3,"",0.2,""
1,"",13080,"",13,2,clear_talk3_look,3,"",0.2,""
0,0,13081,"",13,vo_asb,vo_asb_1532,21,"","",""
10,1,13082,1,13,2,"이렇게 오빠가\n따뜻하게 지켜봐 주는 덕분에\n멋진 모험가가 된다는 꿈을\n계속 좇을 수 있어요.",11,0,0,0
0,0,13083,"",13,0,"",91,"","",""
1,"",13084,"",13,2,clear_wish_talk_joy_look,3,"",0.2,""
0,0,13085,"",13,vo_asb,vo_asb_1533,21,"","",""
