dungeon_area_id,end_time,close_time,teaser_time,start_time,count_start_time
32001,"2023/06/21 4:59:59","2023/06/24 14:59:59","2023/06/14 15:00:00","2023/06/16 5:00:00","2023/06/20 4:59:59"
32002,"2023/08/23 4:59:59","2023/08/26 14:59:59","2023/08/16 15:00:00","2023/08/18 5:00:00","2023/08/22 4:59:59"
32003,"2023/10/23 4:59:59","2023/10/26 14:59:59","2023/10/16 15:00:00","2023/10/18 5:00:00","2023/10/22 4:59:59"
32004,"2023/12/18 4:59:59","2023/12/21 14:59:59","2023/12/11 15:00:00","2023/12/13 5:00:00","2023/12/17 4:59:59"
32005,"2024/02/21 4:59:59","2024/02/24 14:59:59","2024/02/14 15:00:00","2024/02/16 5:00:00","2024/02/20 4:59:59"
32006,"2024/05/21 4:59:59","2024/05/24 14:59:59","2024/05/14 15:00:00","2024/05/16 5:00:00","2024/05/20 4:59:59"
32007,"2024/08/20 4:59:59","2024/08/23 14:59:59","2024/08/13 15:00:00","2024/08/15 5:00:00","2024/08/19 4:59:59"
32008,"2024/11/21 4:59:59","2024/11/24 14:59:59","2024/11/14 15:00:00","2024/11/16 5:00:00","2024/11/20 4:59:59"
32009,"2025/02/18 4:59:59","2025/02/21 14:59:59","2025/02/11 15:00:00","2025/02/13 5:00:00","2025/02/17 4:59:59"
32010,"2025/07/21 4:59:59","2025/07/24 14:59:59","2025/07/14 15:00:00","2025/07/16 5:00:00","2025/07/20 4:59:59"
32011,"2025/10/20 4:59:59","2025/10/23 14:59:59","2025/10/13 15:00:00","2025/10/15 5:00:00","2025/10/19 4:59:59"
32012,"2026/02/21 4:59:59","2026/02/24 14:59:59","2026/02/14 15:00:00","2026/02/16 5:00:00","2026/02/20 4:59:59"
