legion_boss_id,description,legion_battle_bonus_id,condition_hp,legion_battle_effect_id,title,type,duration
1005,"배틀 시작 시 아군의 TP가 250 증가",1005,0,1005,"TP 250 증가",2,0
1006,"배틀 시작 시 아군의 TP가 250 증가",1006,0,1006,"TP 250 증가",2,0
1007,"배틀 시작 시 아군의 TP가 250 증가",1007,0,1007,"TP 250 증가",2,0
1008,"배틀 시작 시 아군의 TP가 250 증가",1008,0,1008,"TP 250 증가",2,0
1005,"배틀 시작부터 90초간 적의 물리 공격력이 감소",100501,1561700000000,100501,"물리 공격 감소 90초",1,36000
1005,"배틀 시작부터 90초간 적의 물리 공격력이 감소",100502,1497300000000,100502,"물리 공격 감소 90초",1,36000
1005,"배틀 시작부터 90초간 적의 물리 방어력이 감소",100503,1449000000000,100503,"물리 방어 감소 90초",1,36000
1005,"배틀 시작부터 90초간 적의 마법 방어력이 감소",100504,1400700000000,100504,"마법 방어 감소 90초",1,36000
1005,"배틀 시작부터 90초간 적의 물리 공격력이 감소",100505,1352400000000,100505,"물리 공격 감소 90초",1,36000
1005,"배틀 시작부터 90초간 적의 물리 공격력이 감소",100506,1288000000000,100506,"물리 공격 감소 90초",1,36000
1005,"배틀 시작부터 90초간 적의 물리 방어력이 감소",100507,1239700000000,100507,"물리 방어 감소 90초",1,36000
1005,"배틀 시작부터 90초간 적의 마법 방어력이 감소",100508,1191400000000,100508,"마법 방어 감소 90초",1,36000
1005,"배틀 시작부터 90초간 적의 물리 공격력이 감소",100509,1127000000000,100509,"물리 공격 감소 90초",1,36000
1005,"배틀 시작부터 90초간 적의 물리 공격력이 감소",100510,1078700000000,100510,"물리 공격 감소 90초",1,36000
1005,"배틀 시작부터 90초간 적의 물리 공격력이 감소",100511,1030400000000,100511,"물리 공격 감소 90초",1,36000
1005,"배틀 시작부터 90초간 적의 물리 공격력이 감소",100512,966000000000,100512,"물리 공격 감소 90초",1,36000
1005,"배틀 시작부터 90초간 적의 물리 방어력이 감소",100513,917700000000,100513,"물리 방어 감소 90초",1,36000
1005,"배틀 시작부터 90초간 적의 마법 방어력이 감소",100514,869400000000,100514,"마법 방어 감소 90초",1,36000
