condition_time_from,condition_mission_id,condition_quest_id,quiz_id,id,condition_quiz_id,event_id,condition_unit_id
0,0,10012103,1001201,1,0,10012,0
0,0,10012107,1001202,2,0,10012,0
0,0,10012109,1001203,3,0,10012,0
0,0,10012114,1001204,4,1001201,10012,0
0,0,10012114,1001204,5,1001202,10012,0
0,0,10012114,1001204,6,1001203,10012,0
0,0,20012103,2001201,7,0,20012,0
0,0,20012107,2001202,8,0,20012,0
0,0,20012109,2001203,9,0,20012,0
0,0,20012114,2001204,10,2001201,20012,0
0,0,20012114,2001204,11,2001202,20012,0
0,0,20012114,2001204,12,2001203,20012,0
