story_seq,condition_boss_count,adv_flg,story_phase,title,read_condition_time,story_id,adv_id,sub_title,condition_quest_id
1,0,1,1,"",0,11,5038600,"",20023105
2,0,0,1,"고등부 1학년 치에루",0,12,0,"다음 세대로 계승해야 할 새로운 언어",20023105
3,0,0,1,"고등부 2학년 클로에",0,13,0,"저는 작문을 엄청 못합니다",20023107
4,0,0,1,"고등부 3학년 유니",0,14,0,"비상에 다다를 때까지",20023109
5,0,2,2,"",0,21,5038601,"",20023111
6,0,0,2,"기입 담당 아키노",0,22,0,"떠올랐어요!",20023111
7,0,0,2,"기입 담당 타마키",0,23,0,"조립이다냥!",20023112
8,0,0,2,"기입 담당 유카리",0,24,0,"내가 이런 걸 썼던가…?",20023113
9,0,0,2,"기입 담당 미후유",0,25,0,"이대로 둘 수는 없어",20023114
10,0,0,2,"총괄",0,26,0,"특별 강좌를 마치며",20023115
11,1,2,3,"",0,31,5038602,"",20023115
12,1,0,3,"낭만 계승 계획",0,32,0,"개발기 - 고찰",20023115
13,2,0,3,"완전히 충족되지 않은 계획",0,33,0,"개발기 - 시제품 완성",20023115
14,3,0,3,"화룡점정 계획",0,34,0,"개발기 - 최종 공정",20023115
15,3,3,3,"","2023/02/14 15:00:00",35,5038603,"",20023115
