id,ttk_score,mission_detail,reward_type_1,reward_id_1,reward_count_1,reward_type_2,reward_id_2,reward_count_2,reward_type_3,reward_id_3,reward_count_3,reward_type_4,reward_id_4,reward_count_4,reward_type_5,reward_id_5,reward_count_5
1,32000,"누적 점수 32,000점을 획득하자",12,94002,20000,0,0,0,0,0,0,0,0,0,0,0,0
2,64000,"누적 점수 64,000점을 획득하자",12,94002,30000,0,0,0,0,0,0,0,0,0,0,0,0
3,96000,"누적 점수 96,000점을 획득하자",12,94002,40000,0,0,0,0,0,0,0,0,0,0,0,0
4,128000,"누적 점수 128,000점을 획득하자",12,94002,50000,0,0,0,0,0,0,0,0,0,0,0,0
5,160000,"누적 점수 160,000점을 획득하자",8,91002,25,0,0,0,0,0,0,0,0,0,0,0,0
6,192000,"누적 점수 192,000점을 획득하자",15,11001071,1,0,0,0,0,0,0,0,0,0,0,0,0
7,224000,"누적 점수 224,000점을 획득하자",2,23001,20,0,0,0,0,0,0,0,0,0,0,0,0
8,256000,"누적 점수 256,000점을 획득하자",8,91002,50,0,0,0,0,0,0,0,0,0,0,0,0
9,288000,"누적 점수 288,000점을 획득하자",12,94002,70000,0,0,0,0,0,0,0,0,0,0,0,0
10,320000,"누적 점수 320,000점을 획득하자",12,94002,80000,0,0,0,0,0,0,0,0,0,0,0,0
11,352000,"누적 점수 352,000점을 획득하자",8,91002,75,0,0,0,0,0,0,0,0,0,0,0,0
12,384000,"누적 점수 384,000점을 획득하자",12,94002,100000,0,0,0,0,0,0,0,0,0,0,0,0
13,416000,"누적 점수 416,000점을 획득하자",2,23001,45,0,0,0,0,0,0,0,0,0,0,0,0
14,448000,"누적 점수 448,000점을 획득하자",8,91002,100,0,0,0,0,0,0,0,0,0,0,0,0
15,480000,"누적 점수 480,000점을 획득하자",15,11001072,1,0,0,0,0,0,0,0,0,0,0,0,0
