id,name,reset_value,value,rarity,appraise_flag,new_line_name,description
53001,"평범한 미감정 트레저",100,200,1,1,"평범한\n미감정 트레저","정체불명인 수수께끼의 보물. 출장 길드 관리 협회로 가져가면 카린에게 감정을 받을 수 있다. 감정 결과, 레어도가 상승할 수 있다."
53002,"귀중한 미감정 트레저",200,400,2,1,"귀중한\n미감정 트레저","정체불명인 수수께끼의 보물. 출장 길드 관리 협회로 가져가면 카린에게 감정을 받을 수 있다. 감정 결과, 레어도가 상승할 수 있다."
53003,"최고의 미감정 트레저",400,800,3,1,"최고의\n미감정 트레저","정체불명인 수수께끼의 보물. 출장 길드 관리 협회로 가져가면 카린에게 감정을 받을 수 있다."
53004,"평범한 젬 스톤",100,200,1,0,"평범한 젬 스톤","평범한 트레저. 출장 길드 관리 협회로 가져가면 소액의 캐러밴 코인으로 바꿀 수 있다."
53005,"귀중한 젬 스톤",200,400,2,0,"귀중한 젬 스톤","진귀한 트레저. 출장 길드 관리 협회로 가져가면 캐러밴 코인으로 바꿀 수 있다."
53006,"최고의 젬 스톤",400,800,3,0,"최고의 젬 스톤","상당히 진귀한 트레저. 출장 길드 관리 협회로 가져가면 고액의 캐러밴 코인으로 바꿀 수 있다."
53007,"평범한 잉곳",100,200,1,0,"평범한 잉곳","평범한 트레저. 출장 길드 관리 협회로 가져가면 소액의 캐러밴 코인으로 바꿀 수 있다."
53008,"귀중한 잉곳",200,400,2,0,"귀중한 잉곳","진귀한 트레저. 출장 길드 관리 협회로 가져가면 캐러밴 코인으로 바꿀 수 있다."
53009,"최고의 잉곳",400,800,3,0,"최고의 잉곳","상당히 진귀한 트레저. 출장 길드 관리 협회로 가져가면 고액의 캐러밴 코인으로 바꿀 수 있다."
53010,"평범한 스크롤",100,200,1,0,"평범한 스크롤","평범한 트레저. 출장 길드 관리 협회로 가져가면 소액의 캐러밴 코인으로 바꿀 수 있다."
53011,"귀중한 스크롤",200,400,2,0,"귀중한 스크롤","진귀한 트레저. 출장 길드 관리 협회로 가져가면 캐러밴 코인으로 바꿀 수 있다."
53012,"최고의 스크롤",400,800,3,0,"최고의 스크롤","상당히 진귀한 트레저. 출장 길드 관리 협회로 가져가면 고액의 캐러밴 코인으로 바꿀 수 있다."
53013,"평범한 티아라",100,200,1,0,"평범한 티아라","평범한 트레저. 출장 길드 관리 협회로 가져가면 소액의 캐러밴 코인으로 바꿀 수 있다."
53014,"귀중한 티아라",200,400,2,0,"귀중한 티아라","진귀한 트레저. 출장 길드 관리 협회로 가져가면 캐러밴 코인으로 바꿀 수 있다."
53015,"최고의 티아라",400,800,3,0,"최고의 티아라","상당히 진귀한 트레저. 출장 길드 관리 협회로 가져가면 고액의 캐러밴 코인으로 바꿀 수 있다."
53016,"평범한 룬",100,200,1,0,"평범한 룬","평범한 트레저. 출장 길드 관리 협회로 가져가면 소액의 캐러밴 코인으로 바꿀 수 있다."
53017,"귀중한 룬",200,400,2,0,"귀중한 룬","진귀한 트레저. 출장 길드 관리 협회로 가져가면 캐러밴 코인으로 바꿀 수 있다."
53018,"최고의 룬",400,800,3,0,"최고의 룬","상당히 진귀한 트레저. 출장 길드 관리 협회로 가져가면 고액의 캐러밴 코인으로 바꿀 수 있다."
53019,"평범한 크라운",100,200,1,0,"평범한 크라운","평범한 트레저. 출장 길드 관리 협회로 가져가면 소액의 캐러밴 코인으로 바꿀 수 있다."
53020,"귀중한 크라운",200,400,2,0,"귀중한 크라운","진귀한 트레저. 출장 길드 관리 협회로 가져가면 캐러밴 코인으로 바꿀 수 있다."
53021,"최고의 크라운",400,800,3,0,"최고의 크라운","상당히 진귀한 트레저. 출장 길드 관리 협회로 가져가면 고액의 캐러밴 코인으로 바꿀 수 있다."
53022,"평범한 아티팩트",100,200,1,0,"평범한 아티팩트","평범한 트레저. 출장 길드 관리 협회로 가져가면 소액의 캐러밴 코인으로 바꿀 수 있다."
53023,"귀중한 아티팩트",200,400,2,0,"귀중한 아티팩트","진귀한 트레저. 출장 길드 관리 협회로 가져가면 캐러밴 코인으로 바꿀 수 있다."
53024,"최고의 아티팩트",400,800,3,0,"최고의 아티팩트","상당히 진귀한 트레저. 출장 길드 관리 협회로 가져가면 고액의 캐러밴 코인으로 바꿀 수 있다."
