name,cue_id,sheet_id,listen_start_time,total_playing_time,music_id,detail
"Lost Princess",bgm_M152,bgm_M152,00:58,01:33,1,"캐릭터 송\n\n시간 / 01:33\n노래 / 페코린느(MㆍAㆍO)\n콧코로(이토 미쿠)\n캬루(타치바나 리카)\n작사 / 시보리\n작곡 / 타나카 코헤이\n편곡 / 네기시 타카유키"
"Connecting Happy!!",bgm_M153,bgm_M153,01:01,01:56,2,"캐릭터 송\n\n시간 / 01:56\n노래 / 페코린느(Ｍ・Ａ・Ｏ)\n콧코로(이토 미쿠)\n캬루(타치바나 리카)\n작사 / 하타 아키\n작곡 / 타카오 소노스케(F.M.F)\n편곡 / 나라 유우키"
"여행의 시작",bgm_M61_juke,bgm_M61,00:00,01:48,3,"메인 퀘스트\n\n시간 / 01:48\n작곡 / 혼다 아키히로(Cygames)\n편곡 / 이토 츠바사"
"숲에 부는 바람",bgm_M62_juke,bgm_M62,00:00,01:35,4,"메인 퀘스트\n\n시간 / 01:35\n작곡 / 혼다 아키히로(Cygames)\n편곡 / 카와이 히데히로"
"메사르팀",bgm_M90_juke,bgm_M90,00:00,01:18,5,"클랜전 \n\n시간 / 01:18\n작곡 / 니시키 야스노리\n편곡 / 니시키 야스노리"
"하츠네의 선물 대작전",bgm_M32_juke,bgm_M32,00:00,01:02,6,"스토리 이벤트 테마\n-｢Smiley Contrast｣ 어레인지-\n\n시간 / 01:02\n작곡 / 와타나베 체루\n편곡 / 카토 케이"
"지즈",bgm_M47_juke,bgm_M47,00:00,02:34,7,"스토리 이벤트 보스 배틀\n\n시간 / 02:34\n작곡 / 타다 아키후미\n편곡 / 타다 아키후미"
"Smiley Contrast",bgm_M149,bgm_M149,00:57,01:40,8,"캐릭터 송\n\n시간 / 01:40\n노래 / 하츠네(오오하시 아야카)\n시오리(코시미즈 아미)\n작사 / 이소가이 요시에\n작곡 / 와타나베 체루\n편곡 / 와타나베 체루"
"미노타우로스",bgm_M97_juke,bgm_M97,00:00,00:59,9,"클랜전 \n\n시간 / 00:59\n작곡 / 히가시오지 켄타\n편곡 / 히가시오지 켄타"
"리틀 리리컬 어드벤쳐",bgm_M98_juke,bgm_M98,00:00,01:00,10,"스토리 이벤트 테마\n-｢리틀 어드벤쳐｣ 어레인지-\n\n시간 / 01:00\n작곡 / 이케다 켄토\n편곡 / 니시무라 신고"
"알마",bgm_M102_juke,bgm_M102,00:00,02:31,11,"스토리 이벤트 보스 배틀\n\n시간 / 02:31\n작곡 / 니시키 야스노리\n편곡 / 니시키 야스노리"
"리틀 어드벤쳐",bgm_M145,bgm_M145,00:45,01:22,12,"캐릭터 송\n\n시간 / 01:22\n노래 / 쿄우카(오구라 유이)\n미소기(모로호시 스미레)\n미미(히다카 리나)\n작사 / Mitsu\n작곡 / 이케다 켄토\n편곡 / 이케다 켄토"
"글러튼",bgm_M139_juke,bgm_M139,00:00,01:07,13,"클랜전 \n\n시간 / 01:07\n작곡 / 에하라 다이스케\n편곡 / 에하라 다이스케"
"트릭 오어 푸딩! 약속의 할로윈 파티",bgm_M135_juke,bgm_M135,00:00,01:01,14,"스토리 이벤트 테마\n-｢좀 더! 두 사람의 파티 나이트｣ 어레인지-\n\n시간 / 01:01\n작곡 / TAKT\n편곡 / 니시무라 신고"
"잭 오 푸딩",bgm_M138_juke,bgm_M138,00:00,02:26,15,"스토리 이벤트 보스 배틀\n\n시간 / 02:26\n작곡 / 히가시오지 켄타\n편곡 / 히가시오지 켄타"
"좀 더! 두 사람의 파티 나이트",bgm_M161,bgm_M161,00:46,01:21,16,"캐릭터 송\n\n시간 / 01:21\n노래 / 시노부(오오츠보 유카)\n미야코(아마미야 소라)\n작사 / 카메이 히로유키(Cygames)\n작곡 / TAKT\n편곡 / TAKT"
"빛나는 얼음 수정",bgm_M140_juke,bgm_M140,00:00,01:31,17,"메인 퀘스트\n\n시간 / 01:31\n작곡 / 히가시오지 켄타\n편곡 / 히가시오지 켄타"
