score,reward_image_name,reward_type_2,reward_id_1,reward_num_1,abyss_id,reward_id_2,reward_id_4,reward_num_3,reward_num_5,reward_type_5,reward_num_4,reward_id_5,reward_num_2,id,reward_id_3,reward_type_3,reward_type_1,reward_type_4
1000000000,abyss_reward_icon_masterpieces_piece,2,25102,10,92407,25021,25015,1000,0,0,1000,0,200,240701,25014,2,2,2
2000000000,abyss_reward_icon_astralshard,2,25021,300,92407,25011,25013,1000,0,0,1000,0,1000,240702,25012,2,2,2
3000000000,abyss_reward_icon_masterpieces_piece,2,25102,10,92407,25021,25015,1000,0,0,1000,0,500,240703,25014,2,2,2
4000000000,abyss_reward_icon_astralshard,2,25021,500,92407,25011,25013,1000,0,0,1000,0,1000,240704,25012,2,2,2
5000000000,abyss_reward_icon_masterpieces_piece,2,25102,10,92407,25021,25015,1000,0,0,1000,0,1000,240705,25014,2,2,2
6000000000,abyss_reward_icon_astralshard,2,25021,1000,92407,25011,25013,1000,0,0,1000,0,1000,240706,25012,2,2,2
7000000000,abyss_reward_icon_masterpieces_piece,2,25102,10,92407,25021,25015,3000,0,0,3000,0,1000,240707,25014,2,2,2
8000000000,abyss_reward_icon_astralshard,2,25021,1000,92407,25011,25013,3000,0,0,3000,0,3000,240708,25012,2,2,2
9000000000,abyss_reward_icon_masterpieces_piece,2,25102,10,92407,25021,25015,3000,0,0,3000,0,1000,240709,25014,2,2,2
10000000000,abyss_reward_icon_masterpieces_piece,2,25102,10,92407,25021,25012,3000,0,0,3000,0,1000,240710,25011,2,2,2
12000000000,abyss_reward_icon_masterpieces_piece,2,25102,10,92407,25021,25015,3000,0,0,3000,0,1000,240711,25013,2,2,2
16000000000,abyss_reward_icon_astralshard,2,25021,1000,92407,25011,25014,3000,0,0,3000,0,3000,240712,25012,2,2,2
20000000000,abyss_reward_icon_astralshard,2,25021,1000,92407,25013,25015,3000,0,0,3000,0,3000,240713,25014,2,2,2
25000000000,abyss_reward_icon_astralshard,2,25021,1000,92407,25011,25013,3000,0,0,3000,0,3000,240714,25012,2,2,2
30000000000,abyss_reward_icon_hiseki,0,90005,10,92407,0,0,0,0,0,0,0,0,240715,0,0,2,0
35000000000,abyss_reward_icon_hiseki,0,90005,20,92407,0,0,0,0,0,0,0,0,240716,0,0,2,0
40000000000,abyss_reward_icon_hiseki,0,90005,30,92407,0,0,0,0,0,0,0,0,240717,0,0,2,0
50000000000,abyss_reward_icon_hiseki,0,90005,50,92407,0,0,0,0,0,0,0,0,240718,0,0,2,0
1000000000,abyss_reward_icon_masterpieces_piece,2,25102,10,92408,25021,25015,1000,0,0,1000,0,200,240801,25014,2,2,2
2000000000,abyss_reward_icon_astralshard,2,25021,300,92408,25011,25013,1000,0,0,1000,0,1000,240802,25012,2,2,2
3000000000,abyss_reward_icon_masterpieces_piece,2,25102,10,92408,25021,25015,1000,0,0,1000,0,500,240803,25014,2,2,2
4000000000,abyss_reward_icon_astralshard,2,25021,500,92408,25011,25013,1000,0,0,1000,0,1000,240804,25012,2,2,2
5000000000,abyss_reward_icon_masterpieces_piece,2,25102,10,92408,25021,25015,1000,0,0,1000,0,1000,240805,25014,2,2,2
