sre_id,disp_group,sre_boss_id,start_time,mission_condition,sre_mission_id,condition_value,category_id,condition_num,mission_reward_id,end_time,description
3,10,0,"2024/01/15 16:00:00",7003,31000101,0,1000,1,31000101,"2024/01/22 15:59:59","1회 배틀하자"
3,10,0,"2024/01/15 16:00:00",7003,31000102,0,1000,5,31000102,"2024/01/22 15:59:59","5회 배틀하자"
3,10,0,"2024/01/15 16:00:00",7003,31000103,0,1000,10,31000103,"2024/01/22 15:59:59","10회 배틀하자"
3,10,0,"2024/01/15 16:00:00",7003,31000104,0,1000,15,31000104,"2024/01/22 15:59:59","15회 배틀하자"
3,10,0,"2024/01/15 16:00:00",7003,31000105,0,1000,20,31000105,"2024/01/22 15:59:59","20회 배틀하자"
3,10,0,"2024/01/15 16:00:00",7003,31000106,0,1000,25,31000106,"2024/01/22 15:59:59","25회 배틀하자"
3,10,0,"2024/01/15 16:00:00",7003,31000107,0,1000,30,31000107,"2024/01/22 15:59:59","30회 배틀하자"
3,10,0,"2024/01/15 16:00:00",7003,31000108,0,1000,35,31000108,"2024/01/22 15:59:59","35회 배틀하자"
3,10,0,"2024/01/15 16:00:00",7003,31000109,0,1000,40,31000109,"2024/01/22 15:59:59","40회 배틀하자"
3,10,3001,"2024/01/15 16:00:00",7004,31001101,0,1001,5000000,31001101,"2024/01/22 15:59:59","흑의 왕 재버워크에게 누적 500만 데미지를 주자"
3,10,3001,"2024/01/15 16:00:00",7004,31001102,0,1001,7500000,31001102,"2024/01/22 15:59:59","흑의 왕 재버워크에게 누적 750만 데미지를 주자"
3,10,3001,"2024/01/15 16:00:00",7004,31001103,0,1001,10000000,31001103,"2024/01/22 15:59:59","흑의 왕 재버워크에게 누적 1000만 데미지를 주자"
3,11,3001,"2024/01/15 16:00:00",7005,31001111,2500000,1001,1,31001111,"2024/01/22 15:59:59","흑의 왕 재버워크에게 1번의 배틀에서 250만 데미지를 주자"
3,11,3001,"2024/01/15 16:00:00",7005,31001112,5000000,1001,1,31001112,"2024/01/22 15:59:59","흑의 왕 재버워크에게 1번의 배틀에서 500만 데미지를 주자"
3,20,3002,"2024/01/15 16:00:00",7004,31001201,0,1001,5000000,31001201,"2024/01/22 15:59:59","폭주한 이노센트 보우에게 누적 500만 데미지를 주자"
3,20,3002,"2024/01/15 16:00:00",7004,31001202,0,1001,7500000,31001202,"2024/01/22 15:59:59","폭주한 이노센트 보우에게 누적 750만 데미지를 주자"
3,20,3002,"2024/01/15 16:00:00",7004,31001203,0,1001,10000000,31001203,"2024/01/22 15:59:59","폭주한 이노센트 보우에게 누적 1000만 데미지를 주자"
3,21,3002,"2024/01/15 16:00:00",7005,31001211,2500000,1001,1,31001211,"2024/01/22 15:59:59","폭주한 이노센트 보우에게 1번의 배틀에서 250만 데미지를 주자"
3,21,3002,"2024/01/15 16:00:00",7005,31001212,5000000,1001,1,31001212,"2024/01/22 15:59:59","폭주한 이노센트 보우에게 1번의 배틀에서 500만 데미지를 주자"
3,30,3003,"2024/01/15 16:00:00",7004,31001301,0,1001,5000000,31001301,"2024/01/22 15:59:59","팬텀바론에게 누적 500만 데미지를 주자"
3,30,3003,"2024/01/15 16:00:00",7004,31001302,0,1001,7500000,31001302,"2024/01/22 15:59:59","팬텀바론에게 누적 750만 데미지를 주자"
3,30,3003,"2024/01/15 16:00:00",7004,31001303,0,1001,10000000,31001303,"2024/01/22 15:59:59","팬텀바론에게 누적 1000만 데미지를 주자"
3,31,3003,"2024/01/15 16:00:00",7005,31001311,2500000,1001,1,31001311,"2024/01/22 15:59:59","팬텀바론에게 1번의 배틀에서 250만 데미지를 주자"
3,31,3003,"2024/01/15 16:00:00",7005,31001312,5000000,1001,1,31001312,"2024/01/22 15:59:59","팬텀바론에게 1번의 배틀에서 500만 데미지를 주자"
3,40,3004,"2024/01/15 16:00:00",7004,31001401,0,1001,5000000,31001401,"2024/01/22 15:59:59","텐타퍼스에게 누적 500만 데미지를 주자"
3,40,3004,"2024/01/15 16:00:00",7004,31001402,0,1001,7500000,31001402,"2024/01/22 15:59:59","텐타퍼스에게 누적 750만 데미지를 주자"
3,40,3004,"2024/01/15 16:00:00",7004,31001403,0,1001,10000000,31001403,"2024/01/22 15:59:59","텐타퍼스에게 누적 1000만 데미지를 주자"
3,41,3004,"2024/01/15 16:00:00",7005,31001411,2500000,1001,1,31001411,"2024/01/22 15:59:59","텐타퍼스에게 1번의 배틀에서 250만 데미지를 주자"
3,41,3004,"2024/01/15 16:00:00",7005,31001412,5000000,1001,1,31001412,"2024/01/22 15:59:59","텐타퍼스에게 1번의 배틀에서 500만 데미지를 주자"
3,10,3005,"2024/01/15 16:00:00",7004,31002101,0,1002,5000000,31002101,"2024/01/22 15:59:59","고우신에게 누적 500만 데미지를 주자"
3,10,3005,"2024/01/15 16:00:00",7004,31002102,0,1002,7500000,31002102,"2024/01/22 15:59:59","고우신에게 누적 750만 데미지를 주자"
3,10,3005,"2024/01/15 16:00:00",7004,31002103,0,1002,10000000,31002103,"2024/01/22 15:59:59","고우신에게 누적 1000만 데미지를 주자"
3,10,3005,"2024/01/15 16:00:00",7004,31002104,0,1002,110000000,31002104,"2024/01/22 15:59:59","고우신에게 누적 1억 1000만 데미지를 주자"
3,11,3005,"2024/01/15 16:00:00",7005,31002111,2500000,1002,1,31002111,"2024/01/22 15:59:59","고우신에게 1번의 배틀에서 250만 데미지를 주자"
3,11,3005,"2024/01/15 16:00:00",7005,31002112,5000000,1002,1,31002112,"2024/01/22 15:59:59","고우신에게 1번의 배틀에서 500만 데미지를 주자"
3,11,3005,"2024/01/15 16:00:00",7005,31002113,22000000,1002,1,31002113,"2024/01/22 15:59:59","고우신에게 1번의 배틀에서 2200만 데미지를 주자"
3,10,3006,"2024/01/15 16:00:00",7004,31003101,0,1003,5000000,31003101,"2024/01/22 15:59:59","알마＆올램에게 누적 500만 데미지를 주자"
3,10,3006,"2024/01/15 16:00:00",7004,31003102,0,1003,7500000,31003102,"2024/01/22 15:59:59","알마＆올램에게 누적 750만 데미지를 주자"
3,10,3006,"2024/01/15 16:00:00",7004,31003103,0,1003,10000000,31003103,"2024/01/22 15:59:59","알마＆올램에게 누적 1000만 데미지를 주자"
3,10,3006,"2024/01/15 16:00:00",7004,31003104,0,1003,100000000,31003104,"2024/01/22 15:59:59","알마＆올램에게 누적 1억 데미지를 주자"
3,11,3006,"2024/01/15 16:00:00",7005,31003111,2500000,1003,1,31003111,"2024/01/22 15:59:59","알마＆올램에게 1번의 배틀에서 250만 데미지를 주자"
3,11,3006,"2024/01/15 16:00:00",7005,31003112,5000000,1003,1,31003112,"2024/01/22 15:59:59","알마＆올램에게 1번의 배틀에서 500만 데미지를 주자"
3,11,3006,"2024/01/15 16:00:00",7005,31003113,20000000,1003,1,31003113,"2024/01/22 15:59:59","알마＆올램에게 1번의 배틀에서 2000만 데미지를 주자"
3,20,3007,"2024/01/15 16:00:00",7004,31003201,0,1003,5000000,31003201,"2024/01/22 15:59:59","단짝X＆이름도 없는 예술에게 누적 500만 데미지를 주자"
3,20,3007,"2024/01/15 16:00:00",7004,31003202,0,1003,7500000,31003202,"2024/01/22 15:59:59","단짝X＆이름도 없는 예술에게 누적 750만 데미지를 주자"
3,20,3007,"2024/01/15 16:00:00",7004,31003203,0,1003,10000000,31003203,"2024/01/22 15:59:59","단짝X＆이름도 없는 예술에게 누적 1000만 데미지를 주자"
3,20,3007,"2024/01/15 16:00:00",7004,31003204,0,1003,120000000,31003204,"2024/01/22 15:59:59","단짝X＆이름도 없는 예술에게 누적 1억 2000만 데미지를 주자"
3,21,3007,"2024/01/15 16:00:00",7005,31003211,2500000,1003,1,31003211,"2024/01/22 15:59:59","단짝X＆이름도 없는 예술에게 1번의 배틀에서 250만 데미지를 주자"
3,21,3007,"2024/01/15 16:00:00",7005,31003212,5000000,1003,1,31003212,"2024/01/22 15:59:59","단짝X＆이름도 없는 예술에게 1번의 배틀에서 500만 데미지를 주자"
