wave_bgm_que_id_3,wave_group_id_1,reward_image_5,enemy_image_1,enemy_image_2,quest_id,wave_bgm_sheet_id_1,team_exp,wave_bgm_sheet_id_3,end_time,unit_exp,training_quest_detail_bg_position,wave_bgm_sheet_id_2,reward_image_3,wave_bgm_que_id_1,stamina,rank_reward_group,enemy_image_3,background_1,enemy_image_4,limit_time,unlock_quest_id_2,start_time,wave_group_id_3,area_id,wave_bgm_que_id_2,unlock_quest_id_1,reward_image_2,limit_team_level,background_2,reward_image_1,quest_name,training_quest_detail_bg_id,background_3,enemy_image_5,stamina_start,wave_group_id_2,reward_image_4
bgm_M06,210010011,0,201010105,201010103,21001001,bgm_M06,0,bgm_M06,"2030/12/17 14:59:59",80,0,bgm_M06,0,bgm_M06,0,221001001,201010106,100051,201010104,90,0,"2015/12/17 15:00:00",210010013,21001,bgm_M06,0,23001,1,100052,94002,"마나 퀘스트 Lv1",100052,100053,0,0,210010012,0
bgm_M06,210010021,0,201010204,201010204,21001002,bgm_M06,0,bgm_M06,"2030/12/17 14:59:59",100,0,bgm_M06,0,bgm_M06,0,221001002,201010206,100051,201010207,90,11004001,"2015/12/17 15:00:00",210010023,21001,bgm_M06,21001001,23001,1,100052,94002,"마나 퀘스트 Lv2",100052,100053,0,0,210010022,0
bgm_M06,210010031,0,201010306,201010307,21001003,bgm_M06,0,bgm_M06,"2030/12/17 14:59:59",140,0,bgm_M06,0,bgm_M06,0,221001003,201010305,100051,201010305,90,11006001,"2015/12/17 15:00:00",210010033,21001,bgm_M06,21001002,23001,1,100052,94002,"마나 퀘스트 Lv3",100052,100053,0,0,210010032,0
bgm_M06,210010041,0,201010409,201010401,21001004,bgm_M06,0,bgm_M06,"2030/12/17 14:59:59",180,0,bgm_M06,0,bgm_M06,0,221001004,201010407,100051,201010406,90,11007001,"2015/12/17 15:00:00",210010043,21001,bgm_M06,21001003,23001,1,100052,94002,"마나 퀘스트 Lv4",100052,100053,201010408,0,210010042,0
bgm_M06,210010051,0,201010507,201010501,21001005,bgm_M06,0,bgm_M06,"2030/12/17 14:59:59",200,0,bgm_M06,0,bgm_M06,0,221001005,201010505,100051,201010502,90,11008001,"2015/12/17 15:00:00",210010053,21001,bgm_M06,21001004,23001,1,100052,94002,"마나 퀘스트 Lv5",100052,100053,201010508,0,210010052,0
bgm_M06,210010061,0,201010609,201010607,21001006,bgm_M06,0,bgm_M06,"2030/12/17 14:59:59",250,0,bgm_M06,0,bgm_M06,0,221001006,201010608,100051,201010602,90,11010001,"2018/11/29 5:00:00",210010063,21001,bgm_M06,21001005,23001,1,100052,94002,"마나 퀘스트 Lv6",100052,100053,201010603,0,210010062,0
bgm_M06,210010071,0,201010701,201010702,21001007,bgm_M06,0,bgm_M06,"2030/12/17 14:59:59",300,0,bgm_M06,0,bgm_M06,0,221001007,201010707,100051,201010703,90,11011001,"2019/02/16 12:00:00",210010073,21001,bgm_M06,21001006,23001,1,100052,94002,"마나 퀘스트 Lv7",100052,100053,201010708,0,210010072,0
bgm_M06,210010081,0,201010807,201010803,21001008,bgm_M06,0,bgm_M06,"2030/12/17 14:59:59",350,0,bgm_M06,0,bgm_M06,0,221001008,201010802,100051,201010806,90,11013001,"2019/11/15 15:00:00",210010083,21001,bgm_M06,21001007,23001,1,100052,94002,"마나 퀘스트 Lv8",100052,100053,201010808,0,210010082,0
bgm_M06,210010091,0,201010908,201010901,21001009,bgm_M06,0,bgm_M06,"2030/12/17 14:59:59",400,0,bgm_M06,0,bgm_M06,0,221001009,201010903,100051,201010909,90,11015001,"2021/03/16 15:00:00",210010093,21001,bgm_M06,21001008,23001,1,100052,94002,"마나 퀘스트 Lv9",100052,100053,201010907,0,210010092,0
bgm_M06,210010101,0,201011001,201011002,21001010,bgm_M06,0,bgm_M06,"2030/12/17 14:59:59",450,0,bgm_M06,0,bgm_M06,0,221001010,201011007,100051,201011009,90,11020001,"2021/09/16 15:00:00",210010103,21001,bgm_M06,21001009,23001,1,100052,94002,"마나 퀘스트 Lv10",100052,100053,201011004,0,210010102,0
